SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2015-16,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,46.9,0.0,4.1,0.0,10.2,16.4,15.4,18.4,49.1,0.0,0.0,3.1,3.1,69.1,1,947,947,947,3,788,433,639,551,1184,1275,1498,454,563,1,788,956,146,1.0,46:54
2015-16,2544,LeBron James,LeBron,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,46.82,5.1,1.0,4.1,14.4,10.3,6.2,7.2,26.7,3.1,2.1,1.0,7.2,68.4,1,1,1,1,5,375,719,385,305,675,547,698,1514,202,1564,392,321,151,1.0,46:49
2015-16,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,38.916666666666664,0.0,2.5,2.5,4.9,9.9,4.9,8.6,27.1,0.0,1.2,3.7,0.0,25.7,1,1,1,1,189,788,630,573,1011,638,477,800,1490,563,1379,924,1307,1367,1.0,38:55
2015-16,202697,Iman Shumpert,Iman,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,19.163333333333334,0.0,10.0,0.0,0.0,12.5,5.0,0.0,30.1,0.0,0.0,0.0,7.5,18.0,1,1,1,1,1074,788,103,639,1276,882,479,1,1362,563,1,1,284,1584,1.0,19:10
2015-16,2733,Shaun Livingston,Shaun,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,16.06,6.0,6.0,6.0,12.0,12.0,35.9,12.0,41.8,0.0,0.0,3.0,3.0,33.5,1,947,947,947,1207,312,275,234,430,839,1869,1099,774,563,1,775,975,1072,1.0,16:04
2015-16,2590,Mo Williams,Mo,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,4.75,20.2,0.0,20.2,20.2,0.0,20.2,0.0,40.4,0.0,0.0,10.1,0.0,10.1,1,1,1,1,1672,14,720,8,122,1,1577,1,841,563,1,1707,1307,1712,1.0,4:45
2015-16,2760,Anderson Varejao,Anderson,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,8.476666666666667,0.0,0.0,0.0,0.0,28.3,17.0,45.3,56.6,0.0,5.7,17.0,11.3,14.2,1,947,947,947,1529,788,720,639,1276,1721,1392,1867,230,563,1852,1849,88,1656,1.0,8:29
2015-16,203105,Festus Ezeli,Festus,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,10.75,0.0,0.0,0.0,0.0,22.3,8.9,8.9,53.6,0.0,8.9,8.9,4.5,12.1,1,947,947,947,1435,788,720,639,1276,1545,737,825,308,563,1881,1650,708,1683,1.0,10:45
2015-16,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,31.81,0.0,1.5,0.0,9.1,3.0,9.1,10.6,27.2,3.0,0.0,6.0,3.0,28.1,1,1,1,1,521,788,700,639,661,302,750,974,1489,209,1,1395,967,1283,1.0,31:49
2015-16,201578,Marreese Speights,Marreese,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,4.566666666666666,0.0,0.0,0.0,0.0,21.0,0.0,21.0,42.0,21.0,0.0,0.0,10.5,113.5,1,947,947,947,1683,788,720,639,1276,1471,1,1614,763,1,1,1,114,16,1.0,4:34
2015-16,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,37.88333333333333,0.0,0.0,0.0,5.1,15.2,13.9,17.7,43.1,2.5,1.3,3.8,3.8,41.6,1,947,947,947,222,788,720,639,999,1107,1178,1466,718,268,1388,944,819,772,1.0,37:53
2015-16,202681,Kyrie Irving,Kyrie,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,43.0,7.8,2.2,8.9,15.6,11.2,4.5,7.8,29.0,1.1,1.1,3.3,6.7,43.2,1,1,1,1,33,200,681,107,236,768,458,744,1413,550,1320,848,361,710,1.0,43:00
