close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
202083,Wesley Matthews,1610612742,DAL,G-F,29.0,78,76,0.394,107,307,0.349,0.357,-0.009
101114,Deron Williams,1610612742,DAL,G,32.0,65,65,0.429,91,283,0.322,0.356,-0.034
101109,Raymond Felton,1610612742,DAL,G,32.0,80,77,0.407,95,279,0.341,0.362,-0.022
1717,Dirk Nowitzki,1610612742,DAL,F,38.0,75,71,0.247,85,248,0.343,0.354,-0.011
200826,J.J. Barea,1610612742,DAL,G,32.0,74,70,0.441,78,215,0.363,0.355,0.008
202718,Chandler Parsons,1610612742,DAL,F,27.0,61,56,0.39,68,196,0.347,0.355,-0.008
2734,Devin Harris,1610612742,DAL,G,33.0,64,60,0.418,61,157,0.389,0.357,0.032
203939,Dwight Powell,1610612742,DAL,F-C,24.0,65,44,0.216,24,93,0.258,0.342,-0.084
1626147,Justin Anderson,1610612742,DAL,G-F,22.0,46,33,0.432,34,83,0.41,0.36,0.05
2585,Zaza Pachulia,1610612742,DAL,C,32.0,76,48,0.092,21,81,0.259,0.343,-0.084
101111,Charlie Villanueva,1610612742,DAL,F,31.0,52,38,0.311,26,79,0.329,0.344,-0.015
101135,David Lee,1610612742,DAL,F-C,33.0,52,37,0.18,29,72,0.403,0.36,0.042
202379,Jeremy Evans,1610612742,DAL,F,28.0,23,16,0.431,14,47,0.298,0.362,-0.064
1626257,Salah Mejri,1610612742,DAL,C,30.0,31,18,0.15,10,29,0.345,0.353,-0.008
201580,JaVale McGee,1610612742,DAL,C,28.0,33,10,0.079,7,12,0.583,0.351,0.233
