season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2019-20,1610612749,41900101,2020-08-18,ORL,MIL,ORL,1610612753,110,122,L,-12,rnd1,1
2019-20,1610612749,41900102,2020-08-20,ORL,MIL,ORL,1610612753,111,96,W,15,rnd1,2
2019-20,1610612749,41900103,2020-08-22,MIL,ORL,ORL,1610612753,121,107,W,14,rnd1,3
2019-20,1610612749,41900104,2020-08-24,MIL,ORL,ORL,1610612753,121,106,W,15,rnd1,4
2019-20,1610612749,41900105,2020-08-29,ORL,MIL,ORL,1610612753,118,104,W,14,rnd1,5
2019-20,1610612749,41900201,2020-08-31,MIA,MIL,MIA,1610612748,104,115,L,-11,sf,1
2019-20,1610612749,41900202,2020-09-02,MIA,MIL,MIA,1610612748,114,116,L,-2,sf,2
2019-20,1610612749,41900203,2020-09-04,MIL,MIA,MIA,1610612748,100,115,L,-15,sf,3
2019-20,1610612749,41900204,2020-09-06,MIL,MIA,MIA,1610612748,118,115,W,3,sf,4
2019-20,1610612749,41900205,2020-09-08,MIA,MIL,MIA,1610612748,94,103,L,-9,sf,5
