TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612738,Boston Celtics,4,3,1,0.75,48.7,62.5,100.0,0.625,18.8,43.8,0.429,12.5,18.8,0.667,6.3,31.3,37.5,37.5,0.0,6.3,6.3,0.0,12.5,18.8,156.3,93.8,7,5,2,2,12,1,2,2,3,3,6,10,10,12,12,8,10,1,1,9,7,1,1,10,1,1
1610612751,Brooklyn Nets,1,0,1,0.0,46.1,27.3,72.7,0.375,9.1,18.2,0.5,0.0,0.0,0.0,18.2,9.1,27.3,27.3,45.5,18.2,0.0,0.0,18.2,0.0,63.6,-81.8,15,13,2,13,14,12,12,11,13,14,3,13,13,13,2,14,13,3,15,1,12,1,3,14,15,14
1610612743,Denver Nuggets,7,3,4,0.429,52.2,35.3,82.4,0.429,8.2,30.6,0.269,24.7,28.2,0.875,14.1,35.3,49.4,20.0,18.8,3.5,9.4,4.7,22.4,21.2,103.5,-7.1,5,5,11,9,5,6,7,6,14,10,14,7,8,4,7,4,4,8,13,13,2,7,6,7,9,9
1610612744,Golden State Warriors,13,8,5,0.615,49.5,34.2,88.0,0.388,14.5,39.3,0.37,26.5,30.8,0.861,18.8,32.5,51.3,24.8,15.4,6.0,6.8,5.1,23.1,23.9,109.4,10.3,1,1,14,3,8,9,6,10,5,5,7,6,7,7,1,6,3,6,7,10,6,8,7,6,6,5
1610612745,Houston Rockets,8,4,4,0.5,50.8,26.5,75.0,0.353,10.3,30.9,0.333,35.3,44.1,0.8,14.7,39.7,54.4,11.8,17.6,4.4,4.4,7.4,25.0,32.4,98.5,-22.1,4,4,11,6,7,14,10,14,9,9,9,4,3,8,6,3,2,14,9,12,10,11,9,3,11,12
1610612754,Indiana Pacers,3,0,3,0.0,70.3,27.3,81.8,0.333,27.3,45.5,0.6,0.0,0.0,0.0,0.0,45.5,45.5,18.2,18.2,0.0,0.0,9.1,27.3,9.1,81.8,-145.5,9,13,9,13,1,12,8,15,1,2,2,13,13,13,15,1,5,9,12,14,12,12,12,12,14,15
1610612746,LA Clippers,2,2,0,1.0,50.9,47.1,64.7,0.727,11.8,23.5,0.5,41.2,52.9,0.778,5.9,23.5,29.4,17.6,17.6,17.6,5.9,5.9,23.5,47.1,147.1,47.1,12,7,1,1,6,3,15,1,6,12,3,2,1,9,13,10,12,10,9,3,8,9,8,1,2,2
1610612749,Milwaukee Bucks,5,2,3,0.4,56.9,35.3,88.2,0.4,9.8,31.4,0.313,23.5,33.3,0.706,17.6,41.2,58.8,21.6,17.6,7.8,5.9,5.9,45.1,19.6,103.9,-21.6,6,7,9,10,2,6,5,8,12,8,11,8,6,11,3,2,1,7,9,8,8,9,15,8,8,11
1610612760,Oklahoma City Thunder,3,1,2,0.333,38.4,38.5,69.2,0.556,15.4,23.1,0.667,7.7,7.7,1.0,7.7,15.4,23.1,30.8,15.4,0.0,7.7,0.0,38.5,0.0,100.0,-69.2,9,10,5,11,15,5,14,3,4,13,1,12,12,1,11,13,14,2,7,14,4,1,13,14,10,13
1610612753,Orlando Magic,2,1,1,0.5,55.7,54.5,109.1,0.5,27.3,54.5,0.5,0.0,0.0,0.0,9.1,9.1,18.2,27.3,9.1,18.2,9.1,0.0,18.2,9.1,136.4,0.0,12,10,2,6,3,2,1,4,1,1,3,13,13,13,10,14,15,3,3,1,3,1,3,12,3,7
