season,team,team_id,team_hca,team_rcp,win_pct,opp_win_pct,opp_opp_win_pct,sos_v0
2023-24,ATL,1610612737,1.12,-5.49,0.439,0.494,0.498,0.111
2023-24,BOS,1610612738,15.22,7.46,0.78,0.483,0.499,-0.07
2023-24,CLE,1610612739,3.95,0.88,0.585,0.486,0.498,-0.198
2023-24,NOP,1610612740,3.45,5.33,0.598,0.503,0.503,-0.233
2023-24,CHI,1610612741,-0.12,-2.76,0.476,0.49,0.498,-0.196
2023-24,DAL,1610612742,3.63,0.78,0.61,0.499,0.503,-0.204
2023-24,DEN,1610612743,9.78,0.73,0.695,0.496,0.503,-0.34
2023-24,GSW,1610612744,0.68,4.54,0.561,0.506,0.502,-0.184
2023-24,HOU,1610612745,5.34,-3.1,0.5,0.505,0.502,0.202
2023-24,LAC,1610612746,2.98,3.59,0.622,0.504,0.502,0.059
2023-24,LAL,1610612747,4.43,-3.42,0.573,0.512,0.502,0.018
2023-24,MIA,1610612748,1.93,1.59,0.561,0.48,0.499,0.016
2023-24,MIL,1610612749,6.33,-1.27,0.598,0.494,0.498,-0.125
2023-24,MIN,1610612750,8.24,4.66,0.683,0.499,0.503,-0.103
2023-24,BKN,1610612751,1.27,-7.05,0.39,0.496,0.498,0.134
2023-24,NYK,1610612752,5.93,3.24,0.61,0.495,0.498,0.191
2023-24,ORL,1610612753,7.56,-3.51,0.573,0.483,0.499,0.135
2023-24,IND,1610612754,6.83,-0.73,0.573,0.492,0.498,0.351
2023-24,PHI,1610612755,4.9,1.2,0.573,0.483,0.499,-0.08
2023-24,PHX,1610612756,3.0,3.12,0.598,0.5,0.503,-0.308
2023-24,POR,1610612757,-6.63,-11.41,0.256,0.522,0.501,0.135
2023-24,SAC,1610612758,2.27,1.22,0.561,0.517,0.501,0.029
2023-24,SAS,1610612759,-4.15,-8.83,0.268,0.523,0.501,0.399
2023-24,OKC,1610612760,12.95,1.88,0.695,0.499,0.503,-0.276
2023-24,TOR,1610612761,-6.07,-6.8,0.305,0.5,0.498,0.071
2023-24,UTA,1610612762,1.73,-11.51,0.378,0.52,0.501,-0.04
2023-24,MEM,1610612763,-7.39,-6.61,0.329,0.511,0.502,-0.495
2023-24,WAS,1610612764,-9.07,-9.51,0.183,0.502,0.497,0.123
2023-24,DET,1610612765,-8.02,-10.14,0.171,0.505,0.497,0.509
2023-24,CHA,1610612766,-8.05,-12.44,0.256,0.502,0.497,0.37
