team_id,team_name,gp,w,l,w_pct,travel,double_dribble,discontinued_dribble,off_three_sec,five_sec,eight_sec,shot_clock,inbound,backcourt,off_goaltending,palming,off_foul,def_three_sec,charge,delay_of_game,def_goaltending,lane,jump_ball,kicked_ball,gp_rank,w_rank,l_rank,w_pct_rank,travel_rank,double_dribble_rank,discontinued_dribble_rank,off_three_sec_rank,five_sec_rank,eight_sec_rank,shot_clock_rank,inbound_rank,backcourt_rank,off_goaltending_rank,palming_rank,off_foul_rank,def_three_sec_rank,charge_rank,delay_of_game_rank,def_goaltending_rank,lane_rank,jump_ball_rank,kicked_ball_rank,team
1610612738,Boston Celtics,19,11,8,0.579,0.5,0.0,0.0,0.1,0.0,0.0,0.8,0.1,0.1,0.1,0.0,1.5,0.2,0.4,0.1,0.3,0.0,0.0,0.4,3,3,15,3,7,6,1,5,3,3,5,1,5,3,4,8,1,11,6,4,3,1,7,BOSTON CELTICS
1610612739,Cleveland Cavaliers,22,12,10,0.545,0.5,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.1,1.8,0.0,0.6,0.3,0.1,0.0,0.0,0.4,1,2,16,5,7,6,1,5,3,3,6,2,11,5,2,4,7,6,2,11,3,1,7,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,21,16,5,0.762,0.4,0.1,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.1,0.2,0.3,0.0,0.3,0.0,0.0,0.6,2,1,10,1,10,1,1,5,3,3,11,2,11,5,4,14,1,12,9,4,3,1,5,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,17,11,6,0.647,0.5,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,1.5,0.1,0.2,0.2,0.3,0.0,0.0,0.4,4,3,12,2,7,1,1,9,3,3,4,2,5,5,4,8,4,15,4,4,3,1,7,HOUSTON ROCKETS
1610612754,Indiana Pacers,7,3,4,0.429,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,1.6,0.0,0.6,0.0,0.3,0.1,0.0,0.7,9,9,1,8,1,1,1,9,3,3,2,2,5,5,4,7,7,6,9,4,1,1,4,INDIANA PACERS
1610612748,Miami Heat,5,1,4,0.2,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.2,2.6,0.0,1.0,0.0,0.2,0.0,0.0,0.8,13,13,1,13,1,6,1,9,1,3,7,2,11,1,1,2,7,2,9,8,3,1,1,MIAMI HEAT
1610612749,Milwaukee Bucks,7,3,4,0.429,0.4,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,1.9,0.0,0.9,0.0,0.6,0.0,0.0,0.3,9,9,1,8,10,1,1,9,3,3,7,2,5,5,4,3,7,3,9,2,3,1,12,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,5,1,4,0.2,1.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.4,0.0,0.8,0.2,0.0,0.0,0.0,0.4,13,13,1,13,1,6,1,1,3,3,7,2,11,5,4,11,7,4,4,13,3,1,7,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,9,5,4,0.556,0.3,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,1.4,0.1,0.6,0.1,0.1,0.0,0.0,0.6,8,5,1,4,13,6,1,9,3,1,14,2,5,5,4,11,4,6,6,11,3,1,5,NEW ORLEANS PELICANS
1610612760,Oklahoma City Thunder,6,2,4,0.333,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,1.0,0.0,0.3,0.0,0.7,0.0,0.0,0.8,11,11,1,11,14,6,1,9,3,3,13,2,2,5,4,15,7,12,9,1,3,1,1,OKLAHOMA CITY THUNDER
1610612755,Philadelphia 76ers,10,5,5,0.5,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.8,0.0,0.5,0.1,0.0,0.0,0.0,0.3,6,5,10,6,5,6,1,9,3,3,2,2,11,5,2,4,7,9,6,13,3,1,12,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.8,16,16,1,16,16,6,1,9,3,3,16,2,1,5,4,8,7,12,9,13,3,1,1,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,5,1,4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,13,13,1,13,10,6,1,1,3,3,7,2,11,1,4,16,7,15,9,8,3,1,15,SAN ANTONIO SPURS
