game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42300171,2024-04-21,DAL,LAC,97,109.0,rnd1,1
42300172,2024-04-23,DAL,LAC,96,93.0,rnd1,2
42300173,2024-04-26,LAC,DAL,101,90.0,rnd1,3
42300174,2024-04-28,LAC,DAL,111,116.0,rnd1,4
42300175,2024-05-01,DAL,LAC,123,93.0,rnd1,5
42300176,2024-05-03,LAC,DAL,114,101.0,rnd1,6
42300221,2024-05-07,DAL,OKC,95,117.0,sf,1
42300222,2024-05-09,DAL,OKC,119,110.0,sf,2
42300223,2024-05-11,OKC,DAL,105,101.0,sf,3
42300224,2024-05-13,OKC,DAL,96,100.0,sf,4
42300225,2024-05-15,DAL,OKC,104,92.0,sf,5
42300226,2024-05-18,OKC,DAL,117,116.0,sf,6
42300311,2024-05-22,DAL,MIN,108,105.0,conf,1
42300312,2024-05-24,DAL,MIN,109,108.0,conf,2
42300313,2024-05-26,MIN,DAL,116,107.0,conf,3
42300314,2024-05-28,MIN,DAL,100,105.0,conf,4
42300315,2024-05-30,DAL,MIN,124,103.0,conf,5
42300401,2024-06-06,DAL,BOS,89,107.0,finals,1
42300402,2024-06-09,DAL,BOS,98,105.0,finals,2
42300403,2024-06-12,BOS,DAL,99,106.0,finals,3
42300404,2024-06-14,BOS,DAL,122,84.0,finals,4
42300405,2024-06-17,DAL,BOS,88,106.0,finals,5
