GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
Players,203460,Andre Roberson,Andre,1610612760,OKC,24.0,24,11,13,0.458,2.1,102.4,94.7,94.7,125.3,122.0,122.0,-22.8,-27.2,-27.2,0.0,0.0,0.0,0.103,0.14,0.122,12.5,12.7,0.917,0.799,0.059,0.064,105.04,110.54,92.12,110.54,0.093,114,5,6,0.2,0.3,0.833,163,157,281,248,281,255,298,298,372,391,391,348,375,375,287,238,287,52,155,90,335,339,27,40,370,373,96,105,105,180,179,255,241,345,25
Players,201627,Anthony Morrow,Anthony,1610612760,OKC,30.0,18,7,11,0.389,1.2,111.5,114.3,114.3,131.3,113.8,113.8,-19.7,0.5,0.5,0.045,0.0,20.0,0.0,0.043,0.02,0.0,0.0,0.5,0.694,0.058,0.063,131.95,139.02,115.85,139.02,0.041,63,1,3,0.1,0.2,0.333,211,215,251,302,371,151,62,62,389,332,332,340,192,192,252,238,72,270,338,361,1,1,133,74,373,374,26,31,31,276,279,296,333,363,255
Players,1626166,Cameron Payne,Cameron,1610612760,OKC,21.0,4,3,1,0.75,2.9,49.5,55.6,55.6,81.5,72.7,72.7,-32.0,-17.2,-17.2,0.333,1.0,12.5,0.063,0.0,0.037,12.5,12.5,0.167,0.167,0.292,0.289,82.67,83.0,69.16,83.0,-0.688,18,1,6,0.3,1.5,0.167,339,293,31,44,195,408,403,403,50,37,37,376,340,340,32,131,159,109,356,336,335,333,332,355,39,45,411,424,424,435,279,255,214,63,324
Players,203079,Dion Waiters,Dion,1610612760,OKC,24.0,38,20,18,0.526,3.4,108.4,105.3,105.3,116.4,111.2,111.2,-8.1,-6.0,-6.0,0.033,0.75,9.7,0.039,0.062,0.05,12.9,12.6,0.326,0.363,0.084,0.089,100.88,104.72,87.26,104.72,0.008,285,7,23,0.2,0.6,0.304,38,45,361,173,120,185,179,179,313,312,312,269,273,273,269,193,208,163,324,288,343,336,290,311,330,325,179,176,176,323,149,116,256,220,282
Players,202683,Enes Freedom,Enes,1610612760,OKC,24.0,20,13,7,0.65,1.8,96.3,98.6,98.6,126.2,115.7,115.7,-29.9,-17.1,-17.1,0.0,0.0,0.0,0.071,0.2,0.125,10.0,10.4,0.667,0.752,0.118,0.118,90.79,93.45,77.87,93.45,0.127,72,4,6,0.2,0.3,0.667,196,129,188,80,311,318,266,266,377,357,357,372,338,338,287,238,287,93,57,80,291,301,61,52,275,282,380,398,398,114,197,255,243,335,45
Players,203962,Josh Huestis,Josh,1610612760,OKC,24.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.71,571.43,685.71,0.0,0,0,0,0.0,0.0,0.0,404,408,31,408,428,415,415,415,1,1,1,199,198,198,287,238,287,270,356,370,1,1,342,359,390,391,432,7,7,329,342,379,342,379,342
Players,201142,Kevin Durant,Kevin,1610612760,OKC,27.0,37,20,17,0.541,3.9,109.7,106.6,106.6,114.9,110.9,110.9,-5.3,-4.3,-4.3,0.156,1.43,6.5,0.006,0.153,0.079,4.5,4.6,0.465,0.546,0.389,0.402,101.06,104.31,86.92,104.31,0.185,316,47,114,1.3,3.1,0.412,51,45,341,158,55,178,159,159,295,308,308,246,256,256,107,112,249,265,128,201,178,179,178,177,13,14,173,184,184,46,2,4,7,3,179
Players,202713,Kyle Singler,Kyle,1610612760,OKC,28.0,9,5,4,0.556,1.8,89.8,75.0,75.0,135.2,130.8,130.8,-45.4,-55.8,-55.8,0.1,0.0,33.3,0.045,0.1,0.071,0.0,0.0,0.0,0.0,0.043,0.051,103.48,114.94,95.79,114.94,0.007,40,0,2,0.0,0.2,0.0,289,252,127,142,309,360,384,384,403,412,412,397,410,410,152,238,24,142,226,214,1,1,342,359,383,384,123,76,76,324,342,316,342,354,342
Players,2555,Nick Collison,Nick,1610612760,OKC,35.0,4,2,2,0.5,0.6,84.1,70.0,70.0,105.0,100.0,100.0,-20.9,-30.0,-30.0,0.5,0.0,50.0,0.143,0.2,0.167,0.0,0.0,0.0,0.0,0.077,0.088,168.13,188.48,157.07,188.48,0.071,10,0,1,0.0,0.3,0.0,339,326,75,188,400,374,392,392,214,171,171,344,382,382,6,238,5,23,57,29,1,1,342,359,340,328,16,17,17,221,342,337,342,345,342
Players,200751,Randy Foye,Randy,1610612760,OKC,32.0,24,11,13,0.458,2.5,100.6,94.7,94.7,100.7,94.1,94.1,0.0,0.6,0.6,0.05,2.0,13.3,0.0,0.087,0.043,6.7,7.1,0.188,0.406,0.087,0.087,101.45,108.2,90.16,108.2,0.025,131,1,8,0.0,0.3,0.125,163,157,281,248,242,273,301,301,158,119,119,208,191,191,240,64,148,270,261,315,215,229,331,295,324,329,163,126,126,306,279,226,338,316,337
