TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612738,Boston Celtics,19,16,3,0.842,917.0,108.2,24.9,0.762,4.7,4.0,10.0,7.1,7.3,35.5,2,1,1,1,2,3,3,2,9,4,6,3,3,12
1610612739,Cleveland Cavaliers,12,5,7,0.417,576.0,111.1,23.3,0.699,5.0,3.4,9.6,9.9,9.5,29.9,6,8,13,9,6,8,10,9,6,8,4,9,9,1
1610612742,Dallas Mavericks,22,13,9,0.591,1056.0,110.7,24.2,0.722,4.7,4.0,11.1,8.1,8.8,31.2,1,2,15,3,1,5,8,7,8,5,9,6,8,4
1610612743,Denver Nuggets,12,7,5,0.583,576.0,110.9,24.4,0.757,4.8,3.2,11.0,8.1,10.8,37.5,6,5,11,4,6,6,7,5,7,11,8,5,12,14
1610612754,Indiana Pacers,17,8,9,0.471,826.0,118.8,23.0,0.682,4.1,3.6,10.2,10.9,8.2,34.9,3,4,15,7,3,13,12,14,14,7,7,13,5,11
1610612746,LA Clippers,6,2,4,0.333,288.0,115.9,23.1,0.683,4.6,2.4,13.5,10.4,11.6,32.5,10,10,2,10,12,10,11,12,10,14,14,12,15,6
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,113.4,24.9,0.72,4.5,3.0,8.1,10.1,11.3,41.4,13,13,2,13,13,9,2,8,11,13,1,10,13,16
1610612748,Miami Heat,5,1,4,0.2,240.0,117.7,23.0,0.727,3.5,1.1,12.2,8.9,6.6,30.6,13,13,2,13,13,12,13,6,16,16,13,7,1,2
1610612749,Milwaukee Bucks,6,2,4,0.333,293.0,119.4,24.5,0.697,3.9,2.3,9.2,10.1,8.7,33.9,10,10,2,10,10,14,6,10,15,15,3,11,7,9
1610612750,Minnesota Timberwolves,16,9,7,0.563,768.0,110.9,23.9,0.762,5.4,3.4,11.8,7.2,8.2,33.0,4,3,13,5,4,7,9,3,5,9,12,4,6,7
1610612740,New Orleans Pelicans,4,0,4,0.0,192.0,109.6,24.9,0.797,6.6,3.4,14.8,6.4,13.3,33.0,15,15,2,15,15,4,1,1,1,10,15,1,16,7
1610612752,New York Knicks,13,7,6,0.538,629.0,120.6,21.9,0.694,4.2,4.0,11.2,9.4,9.6,34.8,5,5,12,6,5,15,15,11,12,3,11,8,10,10
1610612760,Oklahoma City Thunder,10,6,4,0.6,480.0,104.5,24.6,0.683,5.9,4.7,8.6,12.0,7.7,30.9,8,7,2,2,8,2,5,13,3,2,2,14,4,3
1610612753,Orlando Magic,7,3,4,0.429,336.0,100.0,24.8,0.757,6.0,3.9,11.1,7.1,10.5,36.2,9,9,2,8,9,1,4,4,2,6,10,2,11,13
1610612755,Philadelphia 76ers,6,2,4,0.333,293.0,116.7,22.5,0.63,4.1,4.7,10.0,14.1,11.5,31.7,10,10,2,10,10,11,14,15,13,1,5,16,14,5
1610612756,Phoenix Suns,4,0,4,0.0,192.0,123.2,18.9,0.608,5.6,3.2,14.8,12.9,7.1,37.9,15,15,2,15,15,16,16,16,4,11,15,15,2,15
