team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612738,Boston Celtics,17,10,7,0.588,831.0,106.3,26.9,0.747,4.9,3.6,11.0,8.4,6.7,29.3,4,3,13,4,4,2,4,9,10,4,5,8,4,6,BOSTON CELTICS
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,122.9,26.3,0.764,3.8,3.4,13.1,9.4,13.9,33.4,14,14,1,14,14,16,6,5,15,5,14,12,16,13,BROOKLYN NETS
1610612742,Dallas Mavericks,6,2,4,0.333,293.0,121.4,26.2,0.779,4.8,2.7,12.3,7.9,9.6,34.9,11,11,1,11,11,15,7,4,11,12,9,4,13,15,DALLAS MAVERICKS
1610612743,Denver Nuggets,19,9,10,0.474,917.0,115.0,23.4,0.722,4.6,3.0,11.2,8.3,9.1,34.2,3,4,16,7,3,12,15,13,12,8,6,7,10,14,DENVER NUGGETS
1610612745,Houston Rockets,12,5,7,0.417,581.0,106.8,23.9,0.733,6.8,2.6,10.1,9.4,7.8,30.9,6,7,13,10,6,3,13,10,2,14,2,11,8,10,HOUSTON ROCKETS
1610612754,Indiana Pacers,4,0,4,0.0,192.0,112.7,23.1,0.71,6.9,4.1,12.6,9.9,6.8,30.8,14,14,1,14,14,10,16,15,1,1,11,14,5,8,INDIANA PACERS
1610612746,LA Clippers,13,7,6,0.538,629.0,110.1,25.7,0.762,5.6,2.7,10.4,6.9,6.4,30.8,5,5,12,5,5,7,8,6,4,11,3,2,3,9,LA CLIPPERS
1610612747,Los Angeles Lakers,21,16,5,0.762,1008.0,108.7,25.1,0.76,6.0,4.0,12.8,8.1,6.3,30.4,1,1,10,1,2,6,10,7,3,3,13,6,2,7,LOS ANGELES LAKERS
1610612748,Miami Heat,21,14,7,0.667,1018.0,110.8,24.9,0.731,5.1,2.9,11.4,9.4,9.3,31.3,1,2,13,2,1,8,11,11,8,10,7,13,12,11,MIAMI HEAT
1610612749,Milwaukee Bucks,10,5,5,0.5,485.0,107.3,27.7,0.791,5.3,3.1,12.6,8.5,7.9,23.0,8,7,10,6,8,4,2,2,6,7,12,9,9,1,MILWAUKEE BUCKS
1610612760,Oklahoma City Thunder,7,3,4,0.429,341.0,108.3,30.2,0.816,3.9,3.0,14.8,7.2,7.4,28.9,9,9,1,8,9,5,1,1,14,9,15,3,7,4,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,5,1,4,0.2,240.0,111.5,27.3,0.78,5.1,2.4,12.5,10.1,7.2,32.7,12,12,1,12,12,9,3,3,9,15,10,15,6,12,ORLANDO MAGIC
1610612755,Philadelphia 76ers,4,0,4,0.0,192.0,117.2,25.3,0.725,3.8,3.4,12.2,8.1,12.6,29.3,14,14,1,14,14,14,9,12,15,5,8,5,15,5,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,5,1,4,0.2,240.0,114.5,24.8,0.704,5.6,2.7,15.9,10.2,10.7,37.5,12,12,1,12,12,11,12,16,5,13,16,16,14,16,PORTLAND TRAIL BLAZERS
1610612761,Toronto Raptors,11,7,4,0.636,538.0,104.9,26.8,0.759,5.2,4.0,10.9,6.9,9.2,28.0,7,5,1,3,7,1,5,8,7,2,4,1,11,3,TORONTO RAPTORS
1610612762,Utah Jazz,7,3,4,0.429,341.0,116.8,23.5,0.712,4.5,2.3,9.7,9.2,6.2,25.5,9,9,1,8,9,13,14,14,13,16,1,10,1,2,UTAH JAZZ
