SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400404,2025-06-13T00:00:00,OKC @ IND,W,48.0,25.0,23.0,10.0,50.0,23.0,11.0,9.0,36.0,0,0,0,1,11,12,9,101,41,135,38,42,32,1
2024-25,1610612754,IND,Indiana Pacers,0042400404,2025-06-13T00:00:00,IND vs. OKC,L,48.0,23.0,11.0,9.0,36.0,25.0,23.0,10.0,50.0,0,0,0,82,11,24,114,113,127,145,149,51,110,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400403,2025-06-11T00:00:00,OKC @ IND,L,48.0,14.0,7.0,10.0,48.0,21.0,13.0,17.0,50.0,0,0,0,82,11,89,150,101,54,123,64,126,110,1
2024-25,1610612754,IND,Indiana Pacers,0042400403,2025-06-11T00:00:00,IND vs. OKC,W,48.0,21.0,13.0,17.0,50.0,14.0,7.0,10.0,48.0,0,0,0,1,11,36,89,36,41,63,9,51,91,1
2024-25,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,48.0,17.0,10.0,9.0,34.0,14.0,9.0,4.0,42.0,0,0,0,82,11,60,126,113,132,63,16,8,54,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,48.0,14.0,9.0,4.0,42.0,17.0,10.0,9.0,34.0,0,0,0,1,11,89,134,150,99,95,30,42,23,1
2024-25,1610612754,IND,Indiana Pacers,0042400401,2025-06-05T00:00:00,IND @ OKC,W,48.0,4.0,12.0,10.0,34.0,11.0,11.0,11.0,46.0,0,0,0,1,11,160,100,101,132,33,38,63,75,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400401,2025-06-05T00:00:00,OKC vs. IND,L,48.0,11.0,11.0,11.0,46.0,4.0,12.0,10.0,34.0,0,0,0,82,11,121,114,90,73,2,50,51,23,1
2024-25,1610612754,IND,Indiana Pacers,0042400306,2025-05-31T00:00:00,IND vs. NYK,W,48.0,34.0,12.0,25.0,50.0,13.0,15.0,10.0,54.0,0,0,0,1,11,3,100,7,41,52,89,51,128,1
2024-25,1610612752,NYK,New York Knicks,0042400306,2025-05-31T00:00:00,NYK @ IND,L,48.0,13.0,15.0,10.0,54.0,34.0,12.0,25.0,50.0,0,0,0,82,11,101,63,101,24,159,50,155,110,1
2024-25,1610612754,IND,Indiana Pacers,0042400305,2025-05-29T00:00:00,IND @ NYK,L,48.0,20.0,7.0,16.0,34.0,15.0,13.0,15.0,60.0,0,0,0,82,11,41,150,38,132,75,64,108,151,1
2024-25,1610612752,NYK,New York Knicks,0042400305,2025-05-29T00:00:00,NYK vs. IND,W,48.0,15.0,13.0,15.0,60.0,20.0,7.0,16.0,34.0,0,0,0,1,11,78,89,50,9,116,9,114,23,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400315,2025-05-28T00:00:00,OKC vs. MIN,W,48.0,18.0,9.0,19.0,54.0,19.0,9.0,11.0,42.0,0,0,0,1,11,54,134,22,24,110,16,63,54,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400315,2025-05-28T00:00:00,MIN @ OKC,L,48.0,19.0,9.0,11.0,42.0,18.0,9.0,19.0,54.0,0,0,0,82,11,48,134,90,99,104,16,137,128,1
2024-25,1610612752,NYK,New York Knicks,0042400304,2025-05-27T00:00:00,NYK @ IND,L,48.0,9.0,15.0,9.0,44.0,20.0,16.0,22.0,50.0,0,0,0,82,11,139,63,113,89,116,101,148,110,1
2024-25,1610612754,IND,Indiana Pacers,0042400304,2025-05-27T00:00:00,IND vs. NYK,W,48.0,20.0,16.0,22.0,50.0,9.0,15.0,9.0,44.0,0,0,0,1,11,41,57,13,41,18,89,42,65,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400314,2025-05-26T00:00:00,MIN vs. OKC,L,48.0,25.0,30.0,13.0,46.0,22.0,24.0,5.0,42.0,0,0,0,82,11,12,2,67,73,128,155,14,54,1
