SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2018-19,1610612744,GSW,Golden State Warriors,0041800406,2019-06-13T00:00:00,GSW vs. TOR,L,49.5,40.2,82.5,0.488,11.3,32.0,0.355,21.6,30.9,0.7,11.3,32.0,43.3,28.9,17.5,9.3,6.2,2.1,23.7,23.7,113.4,-4.1,1,83,83,83,64,69,133,36,86,92,81,63,30,128,57,119,104,24,139,29,43,25,108,55,58,96,1
2018-19,1610612761,TOR,Toronto Raptors,0041800406,2019-06-13T00:00:00,TOR @ GSW,W,50.0,40.6,85.4,0.476,13.5,34.4,0.394,24.0,30.2,0.793,11.5,29.2,40.6,26.0,12.5,8.3,2.1,6.3,24.0,24.0,118.8,4.2,1,1,1,1,55,66,108,48,46,71,46,39,35,78,52,142,129,47,60,52,138,122,111,53,33,69,1
2018-19,1610612744,GSW,Golden State Warriors,0041800405,2019-06-10T00:00:00,GSW @ TOR,W,51.6,40.9,88.2,0.463,21.5,45.2,0.476,10.8,15.1,0.714,6.5,33.3,39.8,29.0,17.2,5.4,7.5,5.4,23.7,20.4,114.0,1.1,1,1,1,1,17,63,74,63,1,7,6,151,152,122,145,103,137,22,137,117,27,106,107,123,56,82,1
2018-19,1610612761,TOR,Toronto Raptors,0041800405,2019-06-10T00:00:00,TOR vs. GSW,L,50.5,40.0,89.5,0.447,8.4,33.7,0.25,22.1,28.4,0.778,13.7,31.6,45.3,20.0,13.7,6.3,5.3,7.4,20.0,23.2,110.5,-1.1,1,83,83,83,41,72,58,81,129,78,140,61,48,85,30,122,87,119,86,91,64,136,31,65,69,83,1
2018-19,1610612744,GSW,Golden State Warriors,0041800404,2019-06-07T00:00:00,GSW vs. TOR,L,50.5,36.8,82.1,0.449,8.4,28.4,0.296,14.7,22.1,0.667,8.4,35.8,44.2,27.4,20.0,6.3,6.3,4.2,24.2,22.1,96.8,-13.7,1,83,83,83,41,103,137,78,129,124,121,134,112,141,104,71,95,33,158,91,41,70,117,87,143,134,1
2018-19,1610612761,TOR,Toronto Raptors,0041800404,2019-06-07T00:00:00,TOR @ GSW,W,51.1,38.3,91.5,0.419,10.6,34.0,0.313,24.5,25.5,0.958,7.4,34.0,41.5,23.4,11.7,12.8,4.3,6.4,22.3,24.5,111.7,13.8,1,1,1,1,25,89,44,106,101,74,111,34,75,1,122,94,122,76,48,5,86,124,83,43,67,31,1
2018-19,1610612744,GSW,Golden State Warriors,0041800403,2019-06-05T00:00:00,GSW vs. TOR,L,48.5,36.4,91.9,0.396,12.1,36.4,0.333,25.3,30.3,0.833,13.1,28.3,41.4,25.3,15.2,8.1,3.0,10.1,21.2,22.2,110.1,-14.1,1,83,83,83,90,108,40,130,69,54,90,23,34,51,36,148,123,53,111,60,126,156,55,83,74,135,1
2018-19,1610612761,TOR,Toronto Raptors,0041800403,2019-06-05T00:00:00,TOR @ GSW,W,48.5,43.4,82.8,0.524,17.2,38.4,0.447,20.2,21.2,0.952,5.1,35.4,40.4,30.3,16.2,9.1,10.1,3.0,22.2,21.2,124.2,14.1,1,1,1,1,90,25,128,12,10,35,12,77,120,4,158,77,132,13,122,37,9,40,77,107,13,30,1
2018-19,1610612744,GSW,Golden State Warriors,0041800402,2019-06-02T00:00:00,GSW @ TOR,W,48.0,38.0,82.0,0.463,13.0,34.0,0.382,20.0,23.0,0.87,6.0,36.0,42.0,34.0,16.0,7.0,5.0,2.0,26.0,22.0,109.0,5.0,1,1,1,1,110,91,138,63,52,76,60,78,103,35,152,69,118,2,121,81,72,16,145,89,83,62,1
2018-19,1610612761,TOR,Toronto Raptors,0041800402,2019-06-02T00:00:00,TOR vs. GSW,L,47.5,34.7,93.1,0.372,10.9,37.6,0.289,22.8,25.7,0.885,14.9,33.7,48.5,16.8,14.9,7.9,2.0,5.0,21.8,25.7,103.0,-5.0,1,83,83,83,121,132,34,147,95,40,129,50,73,28,20,99,47,152,106,67,147,89,71,20,111,102,1
2018-19,1610612761,TOR,Toronto Raptors,0041800401,2019-05-30T00:00:00,TOR vs. GSW,W,49.5,40.2,79.4,0.506,13.4,34.0,0.394,27.8,33.0,0.844,7.2,29.9,37.1,25.8,10.3,6.2,6.2,2.1,26.8,27.8,121.6,9.3,1,1,1,1,64,69,151,21,47,75,46,12,19,50,129,133,150,49,31,95,43,25,151,9,19,41,1
2018-19,1610612744,GSW,Golden State Warriors,0041800401,2019-05-30T00:00:00,GSW @ TOR,L,49.5,35.1,80.4,0.436,12.4,32.0,0.387,29.9,32.0,0.935,9.3,29.9,39.2,29.9,17.5,6.2,2.1,6.2,27.8,26.8,112.4,-9.3,1,83,83,83,64,127,147,90,65,92,56,5,25,9,93,133,140,17,139,95,139,120,156,15,62,124,1
2018-19,1610612761,TOR,Toronto Raptors,0041800306,2019-05-25T00:00:00,TOR vs. MIL,W,55.2,41.4,85.1,0.486,13.8,31.0,0.444,18.4,25.3,0.727,6.9,36.8,43.7,23.0,12.6,8.0,4.6,8.0,27.6,25.3,114.9,6.9,1,1,1,1,1,52,115,37,42,103,13,94,80,116,137,60,100,83,65,62,81,145,155,24,52,52,1
2018-19,1610612749,MIL,Milwaukee Bucks,0041800306,2019-05-25T00:00:00,MIL @ TOR,L,55.2,34.5,86.2,0.4,13.8,39.1,0.353,25.3,35.6,0.71,13.8,34.5,48.3,21.8,12.6,8.0,8.0,4.6,25.3,27.6,108.0,-6.9,1,83,83,83,1,135,98,120,42,28,82,21,7,124,28,87,54,96,65,62,21,83,142,11,87,113,1
2018-19,1610612761,TOR,Toronto Raptors,0041800305,2019-05-23T00:00:00,TOR @ MIL,W,50.5,32.6,88.4,0.369,18.9,45.3,0.419,26.3,32.6,0.806,10.5,36.8,47.4,20.0,6.3,6.3,4.2,2.1,16.8,23.2,110.5,6.3,1,1,1,1,41,148,70,153,3,6,34,20,21,68,73,59,66,119,5,91,91,31,10,65,69,54,1
2018-19,1610612749,MIL,Milwaukee Bucks,0041800305,2019-05-23T00:00:00,MIL vs. TOR,L,50.5,40.0,88.4,0.452,10.5,32.6,0.323,13.7,18.9,0.722,8.4,47.4,55.8,27.4,11.6,2.1,2.1,4.2,23.2,16.8,104.2,-6.3,1,83,83,83,41,72,70,76,102,88,99,141,135,117,104,4,7,33,45,163,134,70,97,155,105,110,1
