TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1610612738,Boston Celtics,19,16,3,0.842,51.8,108.2,35.8,0.762,6.7,5.8,14.4,10.2,10.6,51.1,2,1,1,1,5,3,1,2,9,4,5,4,3,13
1610612739,Cleveland Cavaliers,12,5,7,0.417,51.2,111.1,33.2,0.699,7.1,4.9,13.6,14.1,13.5,42.5,6,8,13,9,10,8,12,9,6,8,4,10,9,1
1610612742,Dallas Mavericks,22,13,9,0.591,51.3,110.7,34.5,0.722,6.7,5.6,15.8,11.6,12.5,44.4,1,2,15,3,8,5,6,7,10,5,10,6,7,3
1610612743,Denver Nuggets,12,7,5,0.583,51.4,110.9,34.9,0.757,6.9,4.6,15.7,11.5,15.4,53.6,6,5,11,4,7,6,3,5,7,11,9,5,12,15
1610612754,Indiana Pacers,17,8,9,0.471,51.2,118.8,32.7,0.682,5.8,5.1,14.4,15.5,11.7,49.6,3,4,15,7,11,13,14,14,14,7,6,13,5,10
1610612746,LA Clippers,6,2,4,0.333,52.4,115.9,33.6,0.683,6.7,3.5,19.6,15.1,16.9,47.3,10,10,2,10,3,10,10,12,8,14,14,12,14,8
1610612747,Los Angeles Lakers,5,1,4,0.2,49.5,113.4,34.2,0.72,6.2,4.1,11.1,13.8,15.5,56.9,13,13,2,13,16,9,8,8,11,13,1,9,13,16
1610612748,Miami Heat,5,1,4,0.2,52.4,117.7,33.4,0.727,5.0,1.5,17.7,12.9,9.6,44.5,13,13,2,13,2,12,11,6,16,16,13,7,1,4
1610612749,Milwaukee Bucks,6,2,4,0.333,51.8,119.4,35.2,0.697,5.7,3.4,13.3,14.5,12.5,48.8,10,10,2,10,6,14,2,10,15,15,3,11,8,9
1610612750,Minnesota Timberwolves,16,9,7,0.563,51.3,110.9,34.0,0.762,7.7,4.9,16.8,10.2,11.7,47.0,4,3,13,5,9,7,9,3,5,9,12,3,6,7
1610612740,New Orleans Pelicans,4,0,4,0.0,50.1,109.6,34.7,0.797,9.1,4.7,20.6,8.9,18.5,46.0,15,15,2,15,15,4,4,1,1,10,15,1,16,5
1610612752,New York Knicks,13,7,6,0.538,52.0,120.6,31.6,0.694,6.1,5.8,16.2,13.6,13.9,50.2,5,5,12,6,4,15,15,11,12,3,11,8,10,11
1610612760,Oklahoma City Thunder,10,6,4,0.6,50.4,104.5,34.4,0.683,8.2,6.5,12.1,16.8,10.7,43.2,8,7,2,2,13,2,7,13,3,2,2,14,4,2
1610612753,Orlando Magic,7,3,4,0.429,50.2,100.0,34.5,0.757,8.4,5.4,15.5,9.9,14.6,50.5,9,9,2,8,14,1,5,4,2,6,8,2,11,12
1610612755,Philadelphia 76ers,6,2,4,0.333,52.8,116.7,33.0,0.63,5.9,6.8,14.6,20.7,16.9,46.5,10,10,2,10,1,11,13,15,13,1,7,16,15,6
1610612756,Phoenix Suns,4,0,4,0.0,50.8,123.2,26.7,0.608,7.9,4.5,20.9,18.3,10.1,53.4,15,15,2,15,12,16,16,16,4,12,16,15,2,14
