team_id,team_name,team,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1610612766,Charlotte Hornets,CHA,82,82,0.321,10.02,26.23,0.382,0.439,0.216,7.05,17.63,0.4,0.105,2.98,8.6,0.346
1610612757,Portland Trail Blazers,POR,82,82,0.32,10.59,26.13,0.405,0.47,0.203,7.17,16.57,0.433,0.117,3.41,9.56,0.357
1610612760,Oklahoma City Thunder,OKC,80,80,0.303,9.24,25.21,0.366,0.41,0.215,7.03,17.93,0.392,0.087,2.21,7.29,0.304
1610612742,Dallas Mavericks,DAL,82,82,0.307,8.89,25.0,0.356,0.411,0.193,6.1,15.73,0.388,0.114,2.79,9.27,0.301
1610612744,Golden State Warriors,GSW,82,82,0.299,10.46,24.29,0.431,0.498,0.189,7.2,15.34,0.469,0.11,3.27,8.95,0.365
1610612750,Minnesota Timberwolves,MIN,82,82,0.291,9.05,23.68,0.382,0.422,0.212,7.15,17.28,0.414,0.079,1.9,6.4,0.297
1610612758,Sacramento Kings,SAC,82,82,0.291,8.94,23.62,0.378,0.428,0.207,6.59,16.78,0.392,0.084,2.35,6.84,0.344
1610612745,Houston Rockets,HOU,82,82,0.296,9.28,23.61,0.393,0.515,0.094,3.51,7.54,0.466,0.202,5.77,16.07,0.359
1610612741,Chicago Bulls,CHI,81,81,0.283,8.68,23.6,0.368,0.425,0.185,5.98,15.46,0.387,0.098,2.7,8.15,0.332
1610612752,New York Knicks,NYK,81,81,0.281,8.9,23.27,0.382,0.415,0.218,7.41,18.05,0.41,0.063,1.49,5.22,0.286
1610612754,Indiana Pacers,IND,82,82,0.283,9.6,22.87,0.42,0.466,0.207,7.48,16.73,0.447,0.076,2.12,6.13,0.346
1610612759,San Antonio Spurs,SAS,82,82,0.278,8.98,22.66,0.396,0.428,0.222,7.52,18.09,0.416,0.056,1.45,4.57,0.317
1610612764,Washington Wizards,WAS,82,82,0.278,8.66,22.37,0.387,0.426,0.208,6.9,16.74,0.412,0.07,1.76,5.62,0.312
1610612749,Milwaukee Bucks,MIL,81,81,0.281,9.02,22.05,0.409,0.442,0.219,7.59,17.14,0.443,0.063,1.43,4.91,0.291
1610612756,Phoenix Suns,PHX,82,82,0.272,7.84,22.05,0.356,0.408,0.179,5.51,14.51,0.38,0.093,2.33,7.54,0.309
1610612738,Boston Celtics,BOS,79,79,0.271,8.81,21.9,0.402,0.466,0.176,6.0,14.23,0.422,0.095,2.81,7.67,0.366
1610612762,Utah Jazz,UTA,82,82,0.281,8.29,21.9,0.379,0.445,0.165,5.39,12.88,0.419,0.116,2.9,9.02,0.322
1610612765,Detroit Pistons,DET,82,82,0.267,8.57,21.84,0.393,0.436,0.196,6.67,16.01,0.417,0.071,1.9,5.83,0.326
1610612739,Cleveland Cavaliers,CLE,82,82,0.267,8.05,21.51,0.374,0.442,0.162,5.15,13.1,0.393,0.104,2.9,8.41,0.345
1610612746,LA Clippers,LAC,81,81,0.269,8.16,21.48,0.38,0.457,0.153,4.83,12.2,0.396,0.116,3.33,9.28,0.359
1610612740,New Orleans Pelicans,NOP,82,82,0.241,8.15,20.18,0.404,0.453,0.171,6.17,14.3,0.431,0.07,1.98,5.88,0.336
1610612737,Atlanta Hawks,ATL,81,81,0.25,7.6,20.01,0.38,0.439,0.157,5.26,12.58,0.418,0.093,2.35,7.43,0.316
1610612751,Brooklyn Nets,BKN,80,80,0.234,6.66,19.04,0.35,0.421,0.126,3.95,10.25,0.385,0.108,2.71,8.79,0.309
1610612743,Denver Nuggets,DEN,81,81,0.232,7.06,19.0,0.372,0.438,0.136,4.54,11.15,0.408,0.096,2.52,7.85,0.321
1610612747,Los Angeles Lakers,LAL,81,81,0.227,6.49,18.78,0.346,0.396,0.148,4.62,12.3,0.376,0.078,1.88,6.48,0.29
1610612763,Memphis Grizzlies,MEM,82,82,0.241,6.65,18.62,0.357,0.417,0.153,4.43,11.85,0.373,0.087,2.22,6.77,0.328
1610612761,Toronto Raptors,TOR,82,82,0.224,7.1,18.43,0.385,0.456,0.131,4.49,10.8,0.415,0.093,2.61,7.62,0.342
1610612753,Orlando Magic,ORL,82,82,0.228,6.61,18.35,0.36,0.413,0.15,4.67,12.07,0.387,0.078,1.94,6.28,0.309
1610612748,Miami Heat,MIA,81,81,0.217,6.42,17.51,0.367,0.412,0.153,4.84,12.31,0.393,0.064,1.58,5.2,0.304
1610612755,Philadelphia 76ers,PHI,81,81,0.21,6.93,17.14,0.404,0.441,0.161,5.65,13.12,0.431,0.049,1.27,4.01,0.317
