season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end
2016-17,1610612740,NOP,New Orleans Pelicans,21601215,2017-04-11T00:00:00,NOP @ LAL,L,48.0,0.513,0.253,0.167,0.152,0.523,0.261,0.129,0.229,0,0,0,0,141,1212,1354,1812,2339,1376,1175,1539,657,2,2016,2017
2016-17,1610612760,OKC,Oklahoma City Thunder,21601213,2017-04-11T00:00:00,OKC @ MIN,W,48.0,0.471,0.291,0.185,0.49,0.471,0.291,0.12,0.302,0,0,0,0,141,1821,985,2099,6,631,1463,1764,1586,1,2016,2017
2016-17,1610612743,DEN,Denver Nuggets,21601214,2017-04-11T00:00:00,DEN @ DAL,W,48.0,0.595,0.167,0.173,0.261,0.466,0.125,0.133,0.167,0,0,0,0,141,281,2164,1937,1365,565,98,1403,169,1,2016,2017
2016-17,1610612750,MIN,Minnesota Timberwolves,21601213,2017-04-11T00:00:00,MIN vs. OKC,L,48.0,0.471,0.291,0.12,0.302,0.471,0.291,0.185,0.49,0,0,0,0,141,1821,985,681,858,631,1463,356,2455,1,2016,2017
2016-17,1610612765,DET,Detroit Pistons,21601208,2017-04-10T00:00:00,DET vs. WAS,L,48.0,0.511,0.053,0.101,0.196,0.548,0.193,0.173,0.244,0,0,0,0,141,1286,2457,315,2075,1727,484,519,844,2,2016,2017
2016-17,1610612739,CLE,Cleveland Cavaliers,21601205,2017-04-10T00:00:00,CLE @ MIA,L,53.0,0.573,0.247,0.189,0.213,0.526,0.358,0.117,0.241,0,0,0,0,17,468,1413,2170,1945,1431,2019,1829,825,1,2016,2017
2016-17,1610612748,MIA,Miami Heat,21601205,2017-04-10T00:00:00,MIA vs. CLE,W,53.0,0.526,0.358,0.117,0.241,0.573,0.247,0.189,0.213,0,0,0,0,17,1023,442,631,1626,1990,1042,291,507,1,2016,2017
2016-17,1610612738,BOS,Boston Celtics,21601204,2017-04-10T00:00:00,BOS vs. BKN,W,48.0,0.527,0.231,0.133,0.192,0.407,0.453,0.113,0.228,0,0,0,0,141,1010,1591,1061,2107,105,2351,1913,650,1,2016,2017
2016-17,1610612757,POR,Portland Trail Blazers,21601209,2017-04-10T00:00:00,POR vs. SAS,W,48.0,0.483,0.169,0.098,0.273,0.506,0.241,0.163,0.327,0,0,0,0,141,1653,2155,266,1195,1121,971,701,1863,1,2016,2017
2016-17,1610612754,IND,Indiana Pacers,21601203,2017-04-10T00:00:00,IND @ PHI,W,48.0,0.606,0.247,0.153,0.395,0.553,0.413,0.188,0.268,0,0,0,0,141,209,1420,1522,125,1793,2257,306,1180,1,2016,2017
2016-17,1610612749,MIL,Milwaukee Bucks,21601207,2017-04-10T00:00:00,MIL vs. CHA,W,48.0,0.551,0.064,0.186,0.25,0.438,0.16,0.106,0.2,0,0,0,0,141,691,2454,2118,1488,280,246,2057,390,2,2016,2017
2016-17,1610612766,CHA,Charlotte Hornets,21601207,2017-04-10T00:00:00,CHA @ MIL,L,48.0,0.438,0.16,0.106,0.2,0.551,0.064,0.186,0.25,0,0,0,0,141,2179,2215,404,2037,1766,7,341,898,2,2016,2017
2016-17,1610612762,UTA,Utah Jazz,21601211,2017-04-10T00:00:00,UTA @ GSW,W,48.0,0.516,0.163,0.129,0.34,0.544,0.213,0.14,0.2,0,0,0,0,141,1184,2194,923,476,1669,669,1266,390,1,2016,2017
2016-17,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10T00:00:00,SAS @ POR,L,48.0,0.506,0.241,0.163,0.327,0.483,0.169,0.098,0.273,0,0,0,0,141,1336,1483,1755,588,802,303,2187,1237,1,2016,2017
2016-17,1610612741,CHI,Chicago Bulls,21601206,2017-04-10T00:00:00,CHI vs. ORL,W,48.0,0.607,0.18,0.133,0.333,0.375,0.19,0.177,0.196,0,0,0,0,141,200,2065,1028,495,28,467,462,387,2,2016,2017
2016-17,1610612745,HOU,Houston Rockets,21601210,2017-04-10T00:00:00,HOU @ LAC,L,48.0,0.446,0.321,0.149,0.222,0.56,0.308,0.1,0.313,0,0,0,0,141,2118,701,1410,1867,1864,1638,2147,1715,1,2016,2017
2016-17,1610612744,GSW,Golden State Warriors,21601211,2017-04-10T00:00:00,GSW vs. UTA,L,48.0,0.544,0.213,0.14,0.2,0.516,0.163,0.129,0.34,0,0,0,0,141,790,1789,1181,2037,1275,263,1519,1978,1,2016,2017
2016-17,1610612764,WAS,Washington Wizards,21601208,2017-04-10T00:00:00,WAS @ DET,W,48.0,0.548,0.193,0.173,0.244,0.511,0.053,0.101,0.196,0,0,0,0,141,729,1973,1937,1612,1170,4,2130,378,2,2016,2017
