season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2019-20,1610612746,41900151,2020-08-17,DAL,LAC,DAL,1610612742,118,110,W,8,rnd1,1
2019-20,1610612746,41900152,2020-08-19,DAL,LAC,DAL,1610612742,114,127,L,-13,rnd1,2
2019-20,1610612746,41900153,2020-08-21,LAC,DAL,DAL,1610612742,130,122,W,8,rnd1,3
2019-20,1610612746,41900154,2020-08-23,LAC,DAL,DAL,1610612742,133,135,L,-2,rnd1,4
2019-20,1610612746,41900155,2020-08-25,DAL,LAC,DAL,1610612742,154,111,W,43,rnd1,5
2019-20,1610612746,41900156,2020-08-30,LAC,DAL,DAL,1610612742,111,97,W,14,rnd1,6
2019-20,1610612746,41900231,2020-09-03,DEN,LAC,DEN,1610612743,120,97,W,23,sf,1
2019-20,1610612746,41900232,2020-09-05,DEN,LAC,DEN,1610612743,101,110,L,-9,sf,2
2019-20,1610612746,41900233,2020-09-07,LAC,DEN,DEN,1610612743,113,107,W,6,sf,3
2019-20,1610612746,41900234,2020-09-09,LAC,DEN,DEN,1610612743,96,85,W,11,sf,4
2019-20,1610612746,41900235,2020-09-11,DEN,LAC,DEN,1610612743,105,111,L,-6,sf,5
2019-20,1610612746,41900236,2020-09-13,LAC,DEN,DEN,1610612743,98,111,L,-13,sf,6
2019-20,1610612746,41900237,2020-09-15,DEN,LAC,DEN,1610612743,89,104,L,-15,sf,7
