season,team_id,team,sos_v0
2023-24,1610612737,ATL,-1.3887566924449732
2023-24,1610612738,BOS,-1.5701963117192146
2023-24,1610612739,CLE,-1.6983938132064245
2023-24,1610612740,NOP,-1.733194527067222
2023-24,1610612741,CHI,-1.695865556216538
2023-24,1610612742,DAL,-1.7035990481856038
2023-24,1610612743,DEN,-1.839678762641285
2023-24,1610612744,GSW,-1.6839678762641286
2023-24,1610612745,HOU,-1.2978881618084472
2023-24,1610612746,LAC,-1.4414039262343843
2023-24,1610612747,LAL,-1.4824509220701962
2023-24,1610612748,MIA,-1.4842355740630577
2023-24,1610612749,MIL,-1.6253718024985129
2023-24,1610612750,MIN,-1.6030636525877453
2023-24,1610612751,BKN,-1.3657049375371801
2023-24,1610612752,NYK,-1.3093396787626412
2023-24,1610612753,ORL,-1.3654074955383702
2023-24,1610612754,IND,-1.148720999405116
2023-24,1610612755,PHI,-1.579565734681737
2023-24,1610612756,PHX,-1.8082986317668055
2023-24,1610612757,POR,-1.3652587745389648
2023-24,1610612758,SAC,-1.4708506841165974
2023-24,1610612759,SAS,-1.1006841165972634
2023-24,1610612760,OKC,-1.7764723378941105
2023-24,1610612761,TOR,-1.4293575252825699
2023-24,1610612762,UTA,-1.5401546698393813
2023-24,1610612763,MEM,-1.9947947650208209
2023-24,1610612764,WAS,-1.377007733491969
2023-24,1610612765,DET,-0.9906305770374777
2023-24,1610612766,CHA,-1.1296847114812612
