SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2021-22,1610612744,GSW,Golden State Warriors,0042100406,2022-06-16T00:00:00,GSW @ BOS,W,48.0,28.5,69.0,0.413,14.3,34.5,0.413,6.0,6.0,1.0,11.3,21.8,33.0,20.3,12.8,9.8,5.3,6.0,15.0,12.0,77.3,9.8,1,1,1,1,3,85,16,136,10,7,44,168,173,1,14,122,62,30,134,5,20,156,64,158,101,34,1
2021-22,1610612738,BOS,Boston Celtics,0042100406,2022-06-16T00:00:00,BOS vs. GSW,L,48.0,25.5,60.0,0.425,8.3,21.0,0.393,8.3,9.0,0.917,8.3,22.5,30.8,20.3,17.3,6.0,6.0,5.3,12.0,15.0,67.5,-9.8,1,88,88,88,3,135,120,122,98,146,60,150,165,16,48,107,88,30,172,49,11,141,13,98,156,138,1
2021-22,1610612744,GSW,Golden State Warriors,0042100405,2022-06-13T00:00:00,GSW vs. BOS,W,48.0,30.8,66.0,0.466,6.8,30.0,0.225,9.8,11.3,0.867,3.0,26.3,29.3,17.3,5.3,6.8,1.5,1.5,21.0,12.0,78.0,7.5,1,1,1,1,3,46,41,74,129,32,161,131,143,34,159,54,102,79,4,36,134,15,159,158,98,43,1
2021-22,1610612738,BOS,Boston Celtics,0042100405,2022-06-13T00:00:00,BOS @ GSW,L,48.0,23.3,56.3,0.413,8.3,24.0,0.344,15.8,23.3,0.677,6.0,29.3,35.3,13.5,13.5,1.5,1.5,1.5,12.0,21.0,70.5,-7.5,1,88,88,88,3,155,155,135,98,106,100,42,22,148,91,18,42,139,146,168,134,15,13,7,147,127,1
2021-22,1610612738,BOS,Boston Celtics,0042100404,2022-06-10T00:00:00,BOS vs. GSW,L,48.0,25.5,63.8,0.4,11.3,28.5,0.395,10.5,14.3,0.737,8.3,23.3,31.5,16.5,12.0,6.0,4.5,3.8,12.8,15.8,72.8,-7.5,1,88,88,88,3,135,68,143,37,46,58,121,116,127,48,99,80,87,115,49,35,95,18,83,133,127,1
2021-22,1610612744,GSW,Golden State Warriors,0042100404,2022-06-10T00:00:00,GSW @ BOS,W,48.0,30.0,68.3,0.44,11.3,32.3,0.349,9.0,11.3,0.8,12.0,29.3,41.3,15.0,12.0,7.5,3.8,4.5,15.8,12.8,80.3,7.5,1,1,1,1,3,58,24,108,37,16,98,144,143,74,9,18,5,123,115,20,60,116,77,146,87,43,1
2021-22,1610612738,BOS,Boston Celtics,0042100403,2022-06-08T00:00:00,BOS vs. GSW,W,48.0,32.3,66.8,0.483,9.8,26.3,0.371,12.8,18.0,0.708,11.3,24.0,35.3,21.0,9.0,5.3,5.3,3.8,12.8,17.3,87.0,12.0,1,1,1,1,3,20,35,55,67,71,79,82,59,140,14,88,42,20,55,74,20,95,18,54,33,24,1
2021-22,1610612744,GSW,Golden State Warriors,0042100403,2022-06-08T00:00:00,GSW @ BOS,L,48.0,27.0,58.5,0.462,11.3,30.0,0.375,9.8,11.3,0.867,4.5,18.8,23.3,16.5,12.8,5.3,3.8,5.3,17.3,12.8,75.0,-12.0,1,88,88,88,3,111,136,83,37,32,74,131,143,34,127,162,167,87,134,74,60,141,108,146,120,148,1
2021-22,1610612738,BOS,Boston Celtics,0042100402,2022-06-05T00:00:00,BOS @ GSW,L,48.0,22.5,60.0,0.375,11.3,27.8,0.405,9.8,12.8,0.765,4.5,27.8,32.3,18.0,14.3,3.8,5.3,1.5,13.5,12.8,66.0,-14.3,1,88,88,88,3,163,120,164,37,52,47,131,132,103,127,30,71,66,156,114,20,15,30,146,160,152,1
2021-22,1610612744,GSW,Golden State Warriors,0042100402,2022-06-05T00:00:00,GSW vs. BOS,W,48.0,29.3,64.5,0.453,11.3,27.8,0.405,10.5,15.0,0.7,4.5,27.0,31.5,18.8,9.0,11.3,1.5,5.3,12.8,13.5,80.3,14.3,1,1,1,1,3,73,58,89,37,52,47,121,103,142,127,40,80,51,55,3,134,141,18,130,87,23,1
