team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,team
1610612738,Boston Celtics,11,6,5,0.545,533.0,0.528,0.273,0.143,0.308,0.491,0.268,0.132,0.331,7,6,10,6,7,7,7,7,9,1,9,10,13,BOSTON CELTICS
1610612739,Cleveland Cavaliers,9,5,4,0.556,432.0,0.551,0.318,0.124,0.33,0.561,0.231,0.156,0.236,8,7,1,4,8,3,3,2,5,14,3,4,2,CLEVELAND CAVALIERS
1610612743,Denver Nuggets,14,7,7,0.5,682.0,0.514,0.273,0.161,0.339,0.537,0.251,0.119,0.279,5,5,12,7,5,11,8,12,3,11,6,13,3,DENVER NUGGETS
1610612765,Detroit Pistons,6,2,4,0.333,288.0,0.511,0.337,0.169,0.325,0.512,0.266,0.132,0.301,11,11,1,11,11,12,2,14,6,4,8,11,6,DETROIT PISTONS
1610612744,Golden State Warriors,12,5,7,0.417,576.0,0.511,0.24,0.152,0.313,0.534,0.303,0.164,0.346,6,7,12,10,6,13,13,10,8,10,14,2,15,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,7,3,4,0.429,336.0,0.51,0.347,0.145,0.358,0.522,0.201,0.133,0.292,9,9,1,8,10,14,1,9,1,6,1,9,5,HOUSTON ROCKETS
1610612754,Indiana Pacers,23,15,8,0.652,1114.0,0.562,0.292,0.144,0.263,0.515,0.337,0.141,0.314,1,2,15,2,1,1,5,8,15,5,16,8,10,INDIANA PACERS
1610612746,LA Clippers,7,3,4,0.429,341.0,0.557,0.231,0.128,0.284,0.549,0.231,0.148,0.338,9,9,1,8,9,2,15,3,12,13,4,5,14,LA CLIPPERS
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,0.525,0.269,0.159,0.275,0.51,0.28,0.122,0.365,12,12,1,12,13,8,9,11,13,3,11,12,16,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,0.476,0.236,0.187,0.293,0.525,0.258,0.103,0.292,15,15,1,15,15,15,14,16,10,7,7,16,4,MEMPHIS GRIZZLIES
1610612748,Miami Heat,4,0,4,0.0,192.0,0.529,0.163,0.172,0.267,0.63,0.246,0.108,0.316,15,15,1,15,15,6,16,15,14,16,5,15,11,MIAMI HEAT
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,0.535,0.255,0.131,0.256,0.581,0.227,0.11,0.222,12,12,1,12,12,5,11,5,16,15,2,14,1,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,15,9,6,0.6,720.0,0.539,0.256,0.163,0.343,0.527,0.272,0.157,0.306,4,4,11,3,4,4,10,13,2,8,10,3,9,MINNESOTA TIMBERWOLVES
1610612752,New York Knicks,18,10,8,0.556,874.0,0.519,0.3,0.142,0.33,0.53,0.294,0.146,0.305,3,3,15,4,3,10,4,6,4,9,13,6,8,NEW YORK KNICKS
1610612760,Oklahoma City Thunder,23,16,7,0.696,1109.0,0.522,0.29,0.123,0.292,0.507,0.288,0.179,0.324,1,1,12,1,2,9,6,1,11,2,12,1,12,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,5,1,4,0.2,240.0,0.47,0.244,0.129,0.318,0.545,0.331,0.143,0.302,12,12,1,12,13,16,12,4,7,12,15,7,7,ORLANDO MAGIC
