player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
1627747,Caris LeVert,Caris,1610612751,BKN,25.0,45,21,24,0.467,1330.0,0.284,0.274,0.295,0.223,0.222,0.285,0.296,0.153,0.139,0.142,0.308,0.28,0.293,0.091,0.287,0.135,0.282,0.27,284,235,299,273,177,24,42,20,173,186,63,63,271,400,366,73,469,52,368,453,44,67,46,BKN
1629185,Chris Chiozza,Chris,1610612751,BKN,24.0,28,14,14,0.5,401.0,0.175,0.164,0.183,0.214,0.195,0.032,0.025,0.106,0.151,0.141,0.371,0.276,0.288,0.091,0.171,0.192,0.093,0.149,371,339,168,217,364,245,314,256,188,252,494,502,367,364,370,40,465,59,368,250,220,452,373,BKN
201599,DeAndre Jordan,DeAndre,1610612751,BKN,31.0,56,27,29,0.482,1234.0,0.136,0.193,0.127,0.0,0.0,0.17,0.192,0.496,0.414,0.432,0.182,0.169,0.118,0.5,0.145,0.22,0.24,0.169,206,181,365,251,205,422,198,464,463,503,232,195,36,10,12,197,271,442,40,203,303,111,286,BKN
1629743,Donta Hall,Donta,1610612751,BKN,22.0,9,4,5,0.444,133.0,0.109,0.153,0.092,0.0,0.0,0.17,0.257,0.5,0.273,0.328,0.063,0.119,0.143,0.6,0.063,0.319,0.234,0.135,461,450,71,297,436,491,353,514,463,503,234,100,26,93,62,502,108,402,17,73,481,118,413,BKN
1629058,Dzanan Musa,Dzanan,1610612751,BKN,21.0,40,20,20,0.5,487.0,0.193,0.163,0.19,0.165,0.205,0.23,0.231,0.196,0.178,0.182,0.173,0.226,0.211,0.02,0.264,0.149,0.231,0.175,310,250,242,217,343,180,317,216,280,233,135,130,205,292,270,209,406,201,475,424,73,124,251,BKN
202066,Garrett Temple,Garrett,1610612751,BKN,34.0,62,30,32,0.484,1730.0,0.162,0.158,0.183,0.273,0.279,0.108,0.1,0.078,0.139,0.126,0.187,0.111,0.225,0.18,0.141,0.141,0.12,0.164,123,152,397,247,108,311,336,254,102,92,375,411,431,398,410,191,87,168,224,199,52,390,307,BKN
1627740,Henry Ellenson,Henry,1610612751,BKN,23.0,5,2,3,0.4,15.0,0.159,0.111,0.259,0.0,0.286,0.0,0.0,0.333,0.25,0.273,0.2,0.0,0.0,0.0,0.5,0.167,0.0,0.065,487,480,37,339,513,322,481,62,463,71,502,505,117,126,115,172,1,500,480,521,123,513,518,BKN
202697,Iman Shumpert,Iman,1610612751,BKN,30.0,13,9,4,0.692,241.0,0.134,0.12,0.15,0.129,0.174,0.056,0.074,0.161,0.147,0.15,0.109,0.112,0.375,0.087,0.037,0.196,0.092,0.112,431,386,55,67,408,434,459,376,339,294,472,451,252,374,345,375,95,19,385,57,236,454,473,BKN
2037,Jamal Crawford,Jamal,1610612751,BKN,40.0,1,1,0,1.0,6.0,0.235,0.25,0.25,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.25,524,501,1,1,525,80,66,74,133,239,502,505,504,522,524,6,1,500,480,1,525,1,66,BKN
1628386,Jarrett Allen,Jarrett,1610612751,BKN,22.0,70,33,37,0.471,1852.0,0.148,0.19,0.134,0.0,0.004,0.268,0.309,0.536,0.33,0.376,0.114,0.145,0.165,0.511,0.221,0.205,0.347,0.179,29,125,452,266,83,376,209,442,463,498,79,52,20,42,33,359,195,324,36,351,265,27,231,BKN
