season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2024-25,1610612764,WAS,Washington Wizards,22401190,2025-04-13,WAS @ MIA,W,48.0,11.0,6.0,11.0,46.0,13.0,8.0,25.0,76.0,0,0,0,0,121,2021,2264,1760,1390,569,275,2231,2434,1,2024,2025,False,MIA,WAS,APR
2024-25,1610612764,WAS,Washington Wizards,22401176,2025-04-11,WAS @ CHI,L,48.0,14.0,8.0,6.0,36.0,23.0,13.0,21.0,52.0,0,0,0,0,121,1591,2061,2287,2168,1938,1027,1933,1433,1,2024,2025,False,CHI,WAS,APR
2024-25,1610612764,WAS,Washington Wizards,22401157,2025-04-09,WAS vs. PHI,L,48.0,12.0,13.0,17.0,40.0,13.0,18.0,15.0,32.0,0,0,0,0,121,1893,1250,857,1902,569,1817,1139,86,1,2024,2025,True,WAS,PHI,APR
2024-25,1610612764,WAS,Washington Wizards,22401148,2025-04-08,WAS @ IND,L,48.0,9.0,11.0,3.0,46.0,14.0,18.0,17.0,36.0,0,0,0,0,121,2197,1610,2426,1390,704,1817,1461,200,1,2024,2025,False,IND,WAS,APR
2024-25,1610612764,WAS,Washington Wizards,22401137,2025-04-06,WAS @ BOS,L,48.0,15.0,6.0,11.0,42.0,16.0,32.0,15.0,42.0,0,0,0,0,121,1425,2264,1760,1749,1037,2444,1139,560,1,2024,2025,False,BOS,WAS,APR
2024-25,1610612764,WAS,Washington Wizards,22401112,2025-04-03,WAS vs. ORL,L,48.0,14.0,11.0,8.0,40.0,18.0,15.0,13.0,50.0,0,0,0,0,121,1591,1610,2095,1902,1310,1365,846,1257,1,2024,2025,True,WAS,ORL,APR
2024-25,1610612764,WAS,Washington Wizards,22401105,2025-04-02,WAS vs. SAC,W,48.0,14.0,12.0,17.0,40.0,13.0,21.0,14.0,46.0,0,0,0,0,121,1591,1435,857,1902,569,2136,989,886,1,2024,2025,True,WAS,SAC,APR
2024-25,1610612764,WAS,Washington Wizards,22401092,2025-03-31,WAS vs. MIA,L,48.0,15.0,8.0,12.0,36.0,23.0,14.0,23.0,68.0,0,0,0,0,121,1425,2061,1616,2168,1938,1212,2108,2354,1,2024,2025,True,WAS,MIA,MAR
2024-25,1610612764,WAS,Washington Wizards,22401075,2025-03-29,WAS vs. BKN,L,48.0,13.0,5.0,12.0,46.0,9.0,10.0,13.0,38.0,0,0,0,0,121,1758,2356,1616,1390,196,528,846,294,1,2024,2025,True,WAS,BKN,MAR
2024-25,1610612764,WAS,Washington Wizards,22401061,2025-03-27,WAS vs. IND,L,48.0,14.0,10.0,9.0,48.0,22.0,18.0,14.0,56.0,0,0,0,0,121,1591,1787,1994,1205,1844,1817,989,1772,1,2024,2025,True,WAS,IND,MAR
2024-25,1610612764,WAS,Washington Wizards,22401053,2025-03-26,WAS @ PHI,W,48.0,6.0,16.0,20.0,58.0,16.0,20.0,17.0,52.0,0,0,0,0,121,2371,786,529,411,1037,2050,1461,1433,1,2024,2025,False,PHI,WAS,MAR
2024-25,1610612764,WAS,Washington Wizards,22401039,2025-03-24,WAS vs. TOR,L,48.0,15.0,12.0,17.0,42.0,25.0,20.0,27.0,52.0,0,0,0,0,121,1425,1435,857,1749,2100,2050,2316,1433,1,2024,2025,True,WAS,TOR,MAR
2024-25,1610612764,WAS,Washington Wizards,22401026,2025-03-22,WAS @ NYK,L,48.0,20.0,18.0,17.0,56.0,26.0,14.0,21.0,52.0,0,0,0,0,121,723,514,857,553,2171,1212,1933,1433,1,2024,2025,False,NYK,WAS,MAR
2024-25,1610612764,WAS,Washington Wizards,22401014,2025-03-21,WAS vs. ORL,L,48.0,21.0,7.0,25.0,38.0,20.0,13.0,24.0,48.0,0,0,0,0,121,618,2187,190,2057,1593,1027,2180,1072,1,2024,2025,True,WAS,ORL,MAR
2024-25,1610612764,WAS,Washington Wizards,22400627,2025-03-19,WAS @ UTA,L,48.0,30.0,19.0,15.0,58.0,21.0,18.0,13.0,56.0,0,0,0,0,121,89,412,1155,411,1739,1817,846,1772,1,2024,2025,False,UTA,WAS,MAR
2024-25,1610612764,WAS,Washington Wizards,22400995,2025-03-17,WAS @ POR,L,48.0,8.0,11.0,18.0,48.0,20.0,24.0,23.0,52.0,0,0,0,0,121,2266,1610,729,1205,1593,2306,2108,1433,1,2024,2025,False,POR,WAS,MAR
2024-25,1610612764,WAS,Washington Wizards,22400975,2025-03-15,WAS @ DEN,W,48.0,21.0,18.0,18.0,46.0,20.0,16.0,17.0,58.0,0,0,0,0,121,618,514,729,1390,1593,1523,1461,1909,1,2024,2025,False,DEN,WAS,MAR
