team_id,team_name,team,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
1610612754,Indiana Pacers,IND,4,4,0.417,76,138,0.551,0.589,-0.038
1610612761,Toronto Raptors,TOR,10,10,0.417,177,328,0.54,0.576,-0.036
1610612744,Golden State Warriors,GSW,17,17,0.439,356,665,0.535,0.568,-0.033
1610612757,Portland Trail Blazers,POR,4,4,0.398,82,139,0.59,0.62,-0.03
1610612749,Milwaukee Bucks,MIL,6,6,0.44,103,195,0.528,0.555,-0.027
1610612759,San Antonio Spurs,SAS,16,16,0.42,302,554,0.545,0.57,-0.025
1610612739,Cleveland Cavaliers,CLE,18,18,0.417,373,660,0.565,0.577,-0.011
1610612763,Memphis Grizzlies,MEM,6,6,0.38,98,176,0.557,0.565,-0.008
1610612745,Houston Rockets,HOU,11,11,0.451,249,444,0.561,0.564,-0.003
1610612764,Washington Wizards,WAS,13,13,0.43,265,467,0.567,0.556,0.011
1610612738,Boston Celtics,BOS,18,18,0.44,384,664,0.578,0.564,0.014
1610612762,Utah Jazz,UTA,11,11,0.381,208,333,0.625,0.602,0.023
1610612737,Atlanta Hawks,ATL,6,6,0.373,114,194,0.588,0.563,0.025
1610612760,Oklahoma City Thunder,OKC,5,5,0.484,124,203,0.611,0.586,0.025
1610612741,Chicago Bulls,CHI,6,6,0.419,131,211,0.621,0.569,0.052
1610612746,LA Clippers,LAC,7,7,0.383,132,203,0.65,0.573,0.077
