GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK
Players,203458,Alex Len,Alex,1610612756,PHX,23.0,22,7,15,0.318,46.0,0.112,0.194,0.128,0.0,0.0,0.0,0.0,0.2,0.194,0.196,0.0,0.167,0.0,0.429,0.0,0.29,0.0,0.141,182,215,313,362,200,286,164,256,209,275,299,312,146,184,187,287,275,237,55,1,356,326,225
Players,203462,Archie Goodwin,Archie,1610612756,PHX,21.0,10,3,7,0.3,13.0,0.344,0.444,0.45,1.0,0.8,0.5,0.5,0.0,0.0,0.0,0.5,0.333,0.0,0.5,0.0,0.167,0.0,0.478,277,293,188,363,306,21,17,11,1,3,16,12,270,356,370,22,380,237,37,1,171,326,9
Players,202688,Brandon Knight,Brandon,1610612756,PHX,24.0,30,9,21,0.3,100.0,0.276,0.238,0.307,0.308,0.375,0.293,0.26,0.118,0.18,0.158,0.276,0.219,0.167,0.0,0.308,0.187,0.26,0.259,107,182,402,363,103,50,110,43,75,41,70,95,195,201,236,92,330,158,200,363,215,86,83
Players,201978,Chase Budinger,Chase,1610612756,PHX,28.0,19,7,12,0.368,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,203,215,264,313,341,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,346,326,359
Players,203928,Cory Jefferson,Cory,1610612756,PHX,25.0,3,1,2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357,362,75,330,431,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,1,326,359
Players,1626164,Devin Booker,Devin,1610612756,PHX,19.0,25,8,17,0.32,63.0,0.19,0.163,0.162,0.2,0.089,0.233,0.222,0.08,0.047,0.059,0.368,0.348,0.091,0.0,0.429,0.288,0.227,0.183,151,195,341,360,168,136,200,198,127,237,107,118,229,349,357,58,403,215,200,395,352,115,168
Players,202339,Eric Bledsoe,Eric,1610612756,PHX,26.0,18,6,12,0.333,65.0,0.313,0.293,0.313,0.125,0.2,0.512,0.446,0.211,0.086,0.13,0.471,0.2,0.333,0.111,0.25,0.136,0.351,0.351,211,235,264,330,167,31,75,42,169,156,14,25,142,331,271,39,305,52,165,327,125,41,31
Players,203098,John Jenkins,John,1610612756,PHX,25.0,2,0,2,0.0,2.0,0.286,0.0,0.333,0.0,0.25,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,374,408,75,408,399,43,342,30,209,121,299,312,1,356,8,287,1,237,200,1,299,326,359
Players,202720,Jon Leuer,Jon,1610612756,PHX,27.0,13,3,10,0.231,40.0,0.172,0.129,0.181,0.0,0.2,0.143,0.222,0.091,0.158,0.133,0.125,0.118,0.125,0.333,0.25,0.077,0.188,0.12,250,293,238,395,218,164,233,174,209,156,184,118,222,228,266,188,224,192,70,327,70,155,256
Players,203141,Mirza Teletovic,Mirza,1610612756,PHX,30.0,28,10,18,0.357,59.0,0.188,0.229,0.2,0.429,0.357,0.135,0.13,0.143,0.231,0.2,0.071,0.238,0.0,0.0,0.167,0.128,0.194,0.223,128,176,361,321,175,138,120,144,40,50,191,210,177,137,178,256,346,237,200,285,115,150,118
Players,200782,P.J. Tucker,P.J.,1610612756,PHX,31.0,36,10,26,0.278,106.0,0.119,0.145,0.123,0.25,0.143,0.131,0.141,0.313,0.362,0.347,0.063,0.122,0.462,0.25,0.182,0.141,0.16,0.147,59,176,431,375,96,269,220,268,101,203,196,202,100,31,45,265,231,33,107,295,132,188,213
Players,101179,Ronnie Price,Ronnie,1610612756,PHX,33.0,15,3,12,0.2,18.0,0.114,0.111,0.107,0.0,0.1,0.077,0.071,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.375,0.182,0.086,233,293,264,396,289,282,256,299,209,231,258,273,270,356,370,287,305,15,200,1,400,163,308
Players,201603,Sonny Weems,Sonny,1610612756,PHX,29.0,2,0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,408,75,408,397,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,1,326,359
