game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41800121,2019-04-13,BKN,PHI,102,111.0,rnd1,1
41800122,2019-04-15,BKN,PHI,145,123.0,rnd1,2
41800123,2019-04-18,PHI,BKN,131,115.0,rnd1,3
41800124,2019-04-20,PHI,BKN,112,108.0,rnd1,4
41800125,2019-04-23,BKN,PHI,122,100.0,rnd1,5
41800211,2019-04-27,PHI,TOR,95,108.0,sf,1
41800212,2019-04-29,PHI,TOR,94,89.0,sf,2
41800213,2019-05-02,TOR,PHI,116,95.0,sf,3
41800214,2019-05-05,TOR,PHI,96,101.0,sf,4
41800215,2019-05-07,PHI,TOR,89,125.0,sf,5
41800216,2019-05-09,TOR,PHI,112,101.0,sf,6
41800217,2019-05-12,PHI,TOR,90,92.0,sf,7
