player,team,number,position,height,weight,last_attended,country,birthdate,experience,draft,profile_url,is_active,is_free_agent,is_retired,headshot_url,legacy
Alaa Abdelnaby,,30,Forward,6-10,240,Duke,USA,1968-06-24T00:00:00,5 Years,1990 #25,https://www.nba.com/player/76001/HISTADD-alaa-abdelnaby,False,False,True,,True
Zaid Abdul-Aziz,,54,Center,6-9,235,Iowa State,USA,1946-04-07T00:00:00,10 Years,1968 #5,https://www.nba.com/player/76002/HISTADD-zaid-abdul-aziz,False,False,True,,True
Kareem Abdul-Jabbar,,33,Center,7-2,225,UCLA,USA,1947-04-16T00:00:00,20 Years,1969 #1,https://www.nba.com/player/76003/HISTADD-kareem-abdul-jabbar,False,False,True,,True
Mahmoud Abdul-Rauf,,1,Guard,6-1,162,Louisiana State,USA,"March 9, 1969",9 Years,1990 R1 Pick 3,https://www.nba.com/player/51/mahmoud-abdul-rauf,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/51.png,False
Tariq Abdul-Wahad,,9,Forward-Guard,6-6,235,San Jose State,France,"November 3, 1974",7 Years,1997 R1 Pick 11,https://www.nba.com/player/1505/tariq-abdul-wahad,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1505.png,False
Shareef Abdur-Rahim,,3,Forward,6-9,245,California,USA,"December 11, 1976",13 Years,1996 R1 Pick 3,https://www.nba.com/player/949/shareef-abdur-rahim,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Tom Abernethy,,5,Forward,6-7,220,Indiana,USA,1954-05-06T00:00:00,5 Years,1976 #43,https://www.nba.com/player/76005/HISTADD-tom-abernethy,False,False,True,,True
Forest Able,,6,Guard,6-3,180,Western Kentucky,USA,1932-07-27,1 Years,1956,https://www.nba.com/player/76006/HISTADD-frosty-able,False,False,True,,True
John Abramovic,,,Forward,6-3,195,Salem,USA,1919-02-09T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76007/HISTADD-brooms-abramovic,False,False,True,,True
Alex Abrines,,,Guard,6-6,200,FC Barcelona,Spain,"August 1, 1993",3 Years,2013 R2 Pick 32,https://www.nba.com/player/203518/alex-abrines,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203518.png,False
Precious Achiuwa,NYK,5,Forward,6-8,243,Memphis,Nigeria,"September 19, 1999",4 Years,2020 R1 Pick 20,https://www.nba.com/player/1630173/precious-achiuwa,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png,False
Alex Acker,,3,Guard,6-5,185,Pepperdine,USA,"January 21, 1983",3 Years,2005 R2 Pick 60,https://www.nba.com/player/101165/alex-acker,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101165.png,False
