team_id,team_name,team,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1610612760,Oklahoma City Thunder,OKC,5,5,0.425,21.6,35.0,0.617,0.617,0.425,21.6,35.0,0.617,0.0,0.0,0.0,
1610612759,San Antonio Spurs,SAS,16,16,0.418,21.25,34.5,0.616,0.616,0.418,21.25,34.5,0.616,0.0,0.0,0.0,
1610612737,Atlanta Hawks,ATL,6,6,0.444,22.17,34.17,0.649,0.649,0.444,22.17,34.17,0.649,0.0,0.0,0.0,
1610612741,Chicago Bulls,CHI,6,6,0.431,20.67,34.0,0.608,0.608,0.431,20.67,34.0,0.608,0.0,0.0,0.0,
1610612764,Washington Wizards,WAS,13,13,0.393,20.46,32.69,0.626,0.626,0.393,20.46,32.69,0.626,0.0,0.0,0.0,
1610612749,Milwaukee Bucks,MIL,6,6,0.438,18.5,32.17,0.575,0.575,0.438,18.5,32.17,0.575,0.0,0.0,0.0,
1610612745,Houston Rockets,HOU,11,11,0.407,21.36,31.73,0.673,0.673,0.407,21.36,31.73,0.673,0.0,0.0,0.0,
1610612739,Cleveland Cavaliers,CLE,18,18,0.389,20.11,30.83,0.652,0.652,0.389,20.11,30.83,0.652,0.0,0.0,0.0,
1610612761,Toronto Raptors,TOR,10,10,0.414,18.6,30.8,0.604,0.604,0.414,18.6,30.8,0.604,0.0,0.0,0.0,
1610612763,Memphis Grizzlies,MEM,6,6,0.418,18.0,30.67,0.587,0.587,0.418,18.0,30.67,0.587,0.0,0.0,0.0,
1610612744,Golden State Warriors,GSW,17,17,0.365,21.06,30.35,0.694,0.694,0.365,21.06,30.35,0.694,0.0,0.0,0.0,
1610612754,Indiana Pacers,IND,4,4,0.375,18.75,30.25,0.62,0.62,0.375,18.75,30.25,0.62,0.0,0.0,0.0,
1610612738,Boston Celtics,BOS,18,18,0.377,20.06,29.78,0.674,0.674,0.377,20.06,29.78,0.674,0.0,0.0,0.0,
1610612762,Utah Jazz,UTA,11,11,0.392,19.27,29.45,0.654,0.654,0.392,19.27,29.45,0.654,0.0,0.0,0.0,
1610612746,LA Clippers,LAC,7,7,0.383,19.14,28.29,0.677,0.677,0.383,19.14,28.29,0.677,0.0,0.0,0.0,
1610612757,Portland Trail Blazers,POR,4,4,0.331,16.0,26.25,0.61,0.61,0.331,16.0,26.25,0.61,0.0,0.0,0.0,
