season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away
2021-22,1610612748,MIA,Miami Heat,42100307,2022-05-29,MIA vs. BOS,L,48.0,37,88,0.42,6,30,0.2,16,24,0.667,7,37,44,16,10.0,4,5,6,18,26,96,-4.0,1,88,88,88,3,101,41,127,165,131,163,98,59,149,108,30,63,154,25,142,60,116,30,22,140,101,1,2021,2022,True,MIA,BOS
2021-22,1610612738,BOS,Boston Celtics,42100307,2022-05-29,BOS @ MIA,W,48.0,35,85,0.412,11,32,0.344,19,24,0.792,10,41,51,22,13.0,4,6,5,26,18,100,4.0,1,1,1,1,3,128,69,137,98,107,100,57,59,85,64,12,18,88,70,142,35,95,144,130,122,71,1,2021,2022,False,MIA,BOS
2021-22,1610612748,MIA,Miami Heat,42100306,2022-05-27,MIA @ BOS,W,48.0,36,78,0.462,15,35,0.429,24,25,0.96,11,26,37,25,19.0,10,2,4,27,28,111,8.0,1,1,1,1,3,113,137,83,37,71,32,28,51,5,48,151,118,51,156,20,134,65,155,7,57,54,1,2021,2022,False,BOS,MIA
2021-22,1610612738,BOS,Boston Celtics,42100306,2022-05-27,BOS vs. MIA,L,48.0,32,72,0.444,11,33,0.333,28,31,0.903,6,28,34,22,18.0,10,4,2,28,27,103,-8.0,1,88,88,88,3,150,167,101,98,96,107,9,22,21,127,134,148,88,146,20,81,15,159,17,102,116,1,2021,2022,True,BOS,MIA
2021-22,1610612742,DAL,Dallas Mavericks,42100315,2022-05-26,DAL @ GSW,L,48.0,37,82,0.451,17,42,0.405,19,25,0.76,6,28,34,22,8.0,6,4,3,18,20,110,-10.0,1,88,88,88,3,101,101,93,19,23,49,57,51,112,127,134,148,88,9,96,81,42,30,100,64,127,1,2021,2022,False,GSW,DAL
2021-22,1610612744,GSW,Golden State Warriors,42100315,2022-05-26,GSW vs. DAL,W,48.0,45,88,0.511,14,36,0.389,16,16,1.0,14,37,51,36,11.0,6,3,4,20,18,120,10.0,1,1,1,1,3,11,41,29,51,60,64,98,137,1,20,30,18,2,39,96,111,65,62,130,18,43,1,2021,2022,True,GSW,DAL
2021-22,1610612748,MIA,Miami Heat,42100305,2022-05-25,MIA vs. BOS,L,48.0,30,94,0.319,7,45,0.156,13,14,0.929,19,30,49,14,12.0,7,2,7,19,19,80,-13.0,1,88,88,88,3,163,10,174,152,8,171,131,154,14,3,107,27,167,55,74,134,141,46,114,171,138,1,2021,2022,True,MIA,BOS
2021-22,1610612738,BOS,Boston Celtics,42100305,2022-05-25,BOS @ MIA,W,48.0,33,71,0.465,10,33,0.303,17,23,0.739,6,40,46,24,15.0,5,7,2,19,19,93,13.0,1,1,1,1,3,144,168,77,116,96,126,82,70,124,127,14,50,66,100,114,20,15,46,114,151,34,1,2021,2022,False,MIA,BOS
2021-22,1610612742,DAL,Dallas Mavericks,42100314,2022-05-24,DAL vs. GSW,W,48.0,41,82,0.5,20,43,0.465,17,22,0.773,4,41,45,30,8.0,4,6,4,19,18,119,10.0,1,1,1,1,3,46,101,37,5,16,23,82,81,98,159,12,57,14,9,142,35,65,46,130,21,43,1,2021,2022,True,DAL,GSW
2021-22,1610612744,GSW,Golden State Warriors,42100314,2022-05-24,GSW @ DAL,L,48.0,41,84,0.488,10,28,0.357,17,26,0.654,6,36,42,26,8.0,5,4,6,18,19,109,-10.0,1,88,88,88,3,46,80,50,116,146,91,82,48,157,127,41,81,41,9,114,81,116,30,114,74,127,1,2021,2022,False,DAL,GSW
