player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
203458,Alex Len,Alex,1610612758,SAC,30.0,7,3,4,0.429,54.0,0.129,0.13,0.078,0.0,0.0,0.333,0.3,0.333,0.317,0.323,0.037,0.35,0.0,0.6,0.2,0.441,0.261,0.13,81,88,71,109,147,157,146,202,153,182,23,34,42,32,34,181,202,159,11,144,201,56,148,SAC
1629002,Chimezie Metu,Chimezie,1610612758,SAC,26.0,3,1,2,0.333,6.0,0.176,0.0,0.077,0.0,0.0,1.0,1.0,0.25,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.133,175,132,36,127,196,91,189,203,153,182,1,1,52,198,156,184,211,159,147,1,1,2,141,SAC
1630558,Davion Mitchell,Davion,1610612758,SAC,24.0,7,3,4,0.429,140.0,0.145,0.179,0.166,0.206,0.248,0.089,0.086,0.061,0.059,0.06,0.194,0.14,0.261,0.111,0.111,0.111,0.094,0.166,81,88,71,109,106,135,95,114,94,76,133,139,146,193,195,73,103,49,107,106,42,150,109,SAC
1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,25.0,7,3,4,0.429,270.0,0.305,0.295,0.31,0.309,0.28,0.261,0.268,0.171,0.138,0.147,0.429,0.35,0.349,0.167,0.241,0.172,0.273,0.29,81,88,71,109,49,13,22,15,35,51,45,49,90,149,138,10,202,13,86,163,88,49,21,SAC
1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,7,3,4,0.429,243.0,0.221,0.243,0.205,0.02,0.027,0.167,0.215,0.47,0.271,0.326,0.306,0.4,0.244,0.286,0.333,0.269,0.259,0.209,81,88,71,109,54,56,46,75,152,176,77,65,18,51,32,40,206,62,45,193,166,58,65,SAC
203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,7,3,4,0.429,197.0,0.148,0.158,0.155,0.182,0.179,0.211,0.218,0.182,0.106,0.128,0.063,0.058,0.211,0.111,0.0,0.06,0.192,0.171,81,88,71,109,65,132,121,125,107,126,62,64,86,171,154,166,48,76,107,1,32,84,102,SAC
1631099,Keegan Murray,Keegan,1610612758,SAC,22.0,7,3,4,0.429,194.0,0.128,0.153,0.146,0.267,0.192,0.053,0.061,0.268,0.227,0.239,0.058,0.074,0.1,0.095,0.318,0.205,0.079,0.148,81,88,71,109,66,160,124,135,60,116,153,149,49,68,62,173,60,145,118,192,115,156,131,SAC
1630556,Kessler Edwards,Kessler,1610612758,SAC,22.0,6,2,4,0.333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,105,71,127,192,211,189,208,153,182,162,164,165,56,156,184,1,159,147,1,1,182,194,SAC
1628989,Kevin Huerter,Kevin,1610612758,SAC,24.0,7,3,4,0.429,183.0,0.167,0.163,0.19,0.211,0.264,0.088,0.088,0.018,0.229,0.165,0.095,0.085,0.083,0.45,0.095,0.274,0.096,0.155,81,88,71,109,78,104,114,90,90,61,134,137,162,67,124,146,69,149,25,99,169,149,118,SAC
1628370,Malik Monk,Malik,1610612758,SAC,25.0,7,3,4,0.429,205.0,0.243,0.209,0.231,0.22,0.229,0.478,0.412,0.103,0.215,0.184,0.245,0.215,0.217,0.214,0.296,0.146,0.337,0.258,81,88,71,109,63,40,66,59,87,89,7,13,126,75,98,57,153,73,69,187,66,21,38,SAC
1628408,PJ Dozier,PJ,1610612758,SAC,26.0,3,1,2,0.333,6.0,0.353,0.6,0.462,0.667,0.5,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.533,175,132,36,127,196,7,2,3,4,2,162,164,52,56,57,184,1,159,147,1,1,2,2,SAC
1629056,Terence Davis,Terence,1610612758,SAC,26.0,4,2,2,0.5,58.0,0.159,0.154,0.187,0.261,0.293,0.087,0.063,0.154,0.179,0.173,0.207,0.105,0.167,0.0,0.143,0.4,0.067,0.16,155,105,36,71,144,114,123,94,62,42,136,148,102,111,108,66,83,100,147,119,197,163,113,SAC
1626168,Trey Lyles,Trey,1610612758,SAC,27.0,7,3,4,0.429,118.0,0.147,0.16,0.175,0.205,0.243,0.067,0.085,0.273,0.352,0.331,0.083,0.068,0.154,0.0,0.083,0.19,0.175,0.153,81,88,71,109,114,133,117,103,95,81,145,140,47,19,31,154,55,112,147,95,103,93,125,SAC
