TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,5,1,4,0.2,51.3,42.5,91.5,0.465,14.1,41.0,0.344,17.7,22.6,0.783,8.8,34.0,42.7,27.1,14.1,10.0,3.2,2.6,25.0,23.1,116.9,12.8,13,13,1,13,5,13,16,10,12,15,6,5,6,7,7,9,6,13,9,16,3,16,14,7,12,15
1610612738,Boston Celtics,24,14,10,0.583,50.2,39.3,90.1,0.436,11.7,35.1,0.332,16.3,20.9,0.78,10.7,33.6,44.2,21.8,13.9,8.5,4.9,6.5,22.7,21.6,106.5,-3.7,1,2,16,3,10,7,14,2,5,5,3,3,3,6,11,8,12,3,10,13,10,3,8,13,2,3
1610612751,Brooklyn Nets,4,0,4,0.0,50.7,43.5,88.9,0.49,12.9,36.4,0.355,19.8,24.0,0.824,11.6,30.1,41.7,27.2,14.8,9.2,4.2,6.9,25.9,26.1,119.8,4.7,16,16,1,16,8,15,13,14,7,9,8,12,10,15,14,3,4,14,6,14,6,2,16,1,15,10
1610612741,Chicago Bulls,5,1,4,0.2,47.6,40.3,85.3,0.472,13.9,36.5,0.38,14.5,21.0,0.689,8.1,43.3,51.4,23.2,15.3,6.3,4.8,3.2,17.7,18.5,108.9,14.5,13,13,1,13,14,8,6,11,11,10,13,1,4,1,5,16,16,6,5,3,8,14,1,16,5,16
1610612742,Dallas Mavericks,18,9,9,0.5,51.4,41.7,87.4,0.477,10.9,31.1,0.352,18.7,23.4,0.799,10.9,37.4,48.2,25.2,14.3,5.4,3.8,3.0,23.6,22.6,113.1,-0.8,3,4,15,6,4,12,10,12,3,3,7,8,8,9,13,15,15,11,7,1,4,15,11,9,9,6
1610612743,Denver Nuggets,5,1,4,0.2,49.7,43.5,84.5,0.515,15.7,37.3,0.422,19.5,27.7,0.701,7.2,29.8,37.1,29.6,13.5,9.7,6.4,3.5,24.0,25.9,122.2,8.3,13,13,1,13,11,14,4,15,15,12,16,11,15,2,2,2,1,16,12,15,15,13,13,3,16,13
1610612744,Golden State Warriors,22,16,6,0.727,49.1,38.4,87.4,0.439,14.5,38.7,0.375,18.0,23.6,0.761,10.1,32.5,42.7,24.7,14.2,7.5,5.0,5.1,19.7,22.0,109.3,-5.2,2,1,10,1,12,4,9,3,13,13,12,7,9,4,10,6,5,9,8,8,11,6,2,12,6,1
1610612763,Memphis Grizzlies,12,6,6,0.5,46.8,38.1,84.5,0.451,13.3,36.7,0.364,17.8,22.2,0.802,9.3,34.8,44.1,24.4,17.5,6.7,6.6,5.9,23.2,20.2,107.4,-2.4,6,7,10,6,15,3,3,6,8,11,10,6,5,10,9,12,11,8,1,5,16,4,10,14,4,4
1610612748,Miami Heat,18,11,7,0.611,51.0,36.8,82.6,0.446,12.2,36.1,0.338,20.8,25.4,0.817,8.6,34.4,43.0,21.8,16.5,6.6,4.9,3.9,22.8,22.8,106.7,-4.1,3,3,14,2,7,2,1,5,6,8,4,13,12,14,6,10,8,4,2,4,9,11,9,8,3,2
1610612749,Milwaukee Bucks,12,7,5,0.583,48.3,36.8,87.4,0.421,13.6,39.9,0.34,14.7,18.2,0.806,7.9,35.6,43.5,24.1,12.9,6.7,5.5,4.5,20.3,19.3,101.8,-1.5,6,5,9,3,13,1,8,1,10,14,5,2,1,12,3,14,10,7,13,6,13,8,3,15,1,5
