group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
Players,1629001,De'Anthony Melton,De'Anthony,1610612756,PHX,21.0,8,2,6,0.25,30.0,0.192,0.16,0.2,0.0,0.25,0.111,0.091,0.444,0.167,0.259,0.133,0.222,0.0,0.143,0.2,0.111,0.091,0.141,292,331,179,388,252,120,202,127,234,107,217,248,44,218,112,198,339,242,171,306,122,269,241
Players,1629028,Deandre Ayton,Deandre,1610612756,PHX,20.0,25,10,15,0.4,97.0,0.11,0.13,0.086,0.0,0.0,0.182,0.203,0.4,0.361,0.372,0.105,0.226,0.154,0.214,0.083,0.329,0.189,0.133,135,167,354,308,91,293,247,344,234,314,149,137,55,42,40,227,344,177,127,242,373,160,253
Players,1626164,Devin Booker,Devin,1610612756,PHX,22.0,26,10,16,0.385,114.0,0.416,0.389,0.442,0.409,0.472,0.339,0.29,0.174,0.153,0.158,0.386,0.459,0.167,0.111,0.385,0.193,0.274,0.38,127,167,368,320,58,9,29,6,32,13,55,79,164,238,237,45,431,164,186,401,247,84,27
Players,1627733,Dragan Bender,Dragan,1610612756,PHX,21.0,8,2,6,0.25,35.0,0.1,0.185,0.117,0.0,0.095,0.0,0.059,0.375,0.32,0.333,0.071,0.091,0.0,0.75,0.0,0.192,0.125,0.133,292,331,179,388,231,311,162,296,234,269,295,282,69,68,48,265,206,242,15,1,244,228,253
Players,1629059,Elie Okobo,Elie,1610612756,PHX,21.0,3,1,2,0.333,4.0,0.111,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,371,365,72,354,395,283,348,267,234,314,295,308,276,365,378,17,1,242,217,1,420,329,364
Players,2037,Jamal Crawford,Jamal,1610612756,PHX,39.0,14,3,11,0.214,53.0,0.15,0.184,0.179,0.091,0.111,0.238,0.25,0.0,0.133,0.095,0.6,0.0,0.182,0.0,0.0,0.095,0.231,0.185,240,301,280,403,188,198,167,164,214,253,109,96,276,275,327,7,1,158,217,1,111,119,159
Players,202690,Jimmer Fredette,Jimmer,1610612756,PHX,30.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,417,19,417,436,403,348,393,234,314,295,308,276,365,378,297,1,242,217,1,1,329,364
Players,1628367,Josh Jackson,Josh,1610612756,PHX,22.0,17,6,11,0.353,54.0,0.231,0.298,0.253,0.5,0.346,0.217,0.276,0.063,0.219,0.167,0.182,0.125,0.167,0.091,0.286,0.316,0.25,0.299,207,240,280,344,181,81,63,75,10,38,125,84,253,161,224,149,241,164,197,349,369,101,61
Players,1626162,Kelly Oubre Jr.,Kelly,1610612756,PHX,23.0,26,11,15,0.423,116.0,0.161,0.192,0.183,0.286,0.233,0.172,0.148,0.129,0.182,0.165,0.038,0.118,0.182,0.174,0.167,0.118,0.182,0.197,127,149,354,295,56,178,153,159,77,129,160,183,206,200,229,289,236,158,154,283,131,165,139
Players,1628969,Mikal Bridges,Mikal,1610612756,PHX,22.0,30,10,20,0.333,104.0,0.102,0.063,0.111,0.118,0.148,0.143,0.136,0.182,0.137,0.147,0.231,0.065,0.529,0.118,0.333,0.145,0.089,0.087,90,167,421,354,74,308,324,304,189,224,181,200,154,268,259,118,190,20,182,372,164,276,312
