season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2023-24,1610612738,BOS,10.74,-0.597,0.044
2023-24,1610612760,OKC,7.36,-0.054,0.433
2023-24,1610612750,MIN,6.38,-0.067,0.424
2023-24,1610612743,DEN,5.23,-0.029,0.451
2023-24,1610612740,NOP,4.52,0.043,0.502
2023-24,1610612752,NYK,4.36,-0.23,0.307
2023-24,1610612746,LAC,3.41,0.131,0.565
2023-24,1610612756,PHX,3.08,0.015,0.482
2023-24,1610612744,GSW,2.77,0.156,0.584
2023-24,1610612754,IND,2.75,-0.298,0.258
2023-24,1610612755,PHI,2.51,-0.541,0.085
2023-24,1610612749,MIL,2.39,-0.175,0.346
2023-24,1610612742,DAL,2.3,0.092,0.537
2023-24,1610612758,SAC,2.29,0.55,0.865
2023-24,1610612739,CLE,1.98,-0.438,0.159
2023-24,1610612753,ORL,1.48,-0.548,0.08
2023-24,1610612745,HOU,1.24,0.118,0.556
2023-24,1610612748,MIA,1.1,-0.659,0.0
2023-24,1610612747,LAL,1.01,0.479,0.814
2023-24,1610612741,CHI,-1.76,-0.326,0.238
2023-24,1610612737,ATL,-2.38,-0.194,0.333
2023-24,1610612751,BKN,-3.02,-0.13,0.379
2023-24,1610612762,UTA,-4.22,0.675,0.955
2023-24,1610612759,SAS,-5.8,0.691,0.966
2023-24,1610612761,TOR,-6.44,-0.006,0.467
2023-24,1610612763,MEM,-6.57,0.432,0.781
2023-24,1610612757,POR,-8.29,0.739,1.0
2023-24,1610612765,DET,-9.0,0.047,0.505
2023-24,1610612764,WAS,-9.29,-0.0,0.472
2023-24,1610612766,CHA,-10.12,0.126,0.562
