season,team_id,team,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2020-21,1610612737,ATL,42000131,2021-05-23,ATL,NYK,NYK,1610612752,107,105,W,2,rnd1,1
2020-21,1610612737,ATL,42000132,2021-05-26,ATL,NYK,NYK,1610612752,92,101,L,-9,rnd1,2
2020-21,1610612737,ATL,42000133,2021-05-28,NYK,ATL,NYK,1610612752,105,94,W,11,rnd1,3
2020-21,1610612737,ATL,42000134,2021-05-30,NYK,ATL,NYK,1610612752,113,96,W,17,rnd1,4
2020-21,1610612737,ATL,42000135,2021-06-02,ATL,NYK,NYK,1610612752,103,89,W,14,rnd1,5
2020-21,1610612737,ATL,42000201,2021-06-06,ATL,PHI,PHI,1610612755,128,124,W,4,sf,1
2020-21,1610612737,ATL,42000202,2021-06-08,ATL,PHI,PHI,1610612755,102,118,L,-16,sf,2
2020-21,1610612737,ATL,42000203,2021-06-11,PHI,ATL,PHI,1610612755,111,127,L,-16,sf,3
2020-21,1610612737,ATL,42000204,2021-06-14,PHI,ATL,PHI,1610612755,103,100,W,3,sf,4
2020-21,1610612737,ATL,42000205,2021-06-16,ATL,PHI,PHI,1610612755,109,106,W,3,sf,5
2020-21,1610612737,ATL,42000206,2021-06-18,PHI,ATL,PHI,1610612755,99,104,L,-5,sf,6
2020-21,1610612737,ATL,42000207,2021-06-20,ATL,PHI,PHI,1610612755,103,96,W,7,sf,7
2020-21,1610612737,ATL,42000301,2021-06-23,ATL,MIL,MIL,1610612749,116,113,W,3,conf,1
2020-21,1610612737,ATL,42000302,2021-06-25,ATL,MIL,MIL,1610612749,91,125,L,-34,conf,2
2020-21,1610612737,ATL,42000303,2021-06-27,MIL,ATL,MIL,1610612749,102,113,L,-11,conf,3
2020-21,1610612737,ATL,42000304,2021-06-29,MIL,ATL,MIL,1610612749,110,88,W,22,conf,4
2020-21,1610612737,ATL,42000305,2021-07-01,ATL,MIL,MIL,1610612749,112,123,L,-11,conf,5
2020-21,1610612737,ATL,42000306,2021-07-03,MIL,ATL,MIL,1610612749,107,118,L,-11,conf,6
2020-21,1610612751,BKN,42000111,2021-05-22,BOS,BKN,BOS,1610612738,104,93,W,11,rnd1,1
2020-21,1610612751,BKN,42000112,2021-05-25,BOS,BKN,BOS,1610612738,130,108,W,22,rnd1,2
2020-21,1610612751,BKN,42000113,2021-05-28,BKN,BOS,BOS,1610612738,119,125,L,-6,rnd1,3
2020-21,1610612751,BKN,42000114,2021-05-30,BKN,BOS,BOS,1610612738,141,126,W,15,rnd1,4
2020-21,1610612751,BKN,42000115,2021-06-01,BOS,BKN,BOS,1610612738,123,109,W,14,rnd1,5
