game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42300121,2024-04-21,IND,MIL,94,109.0,rnd1,1
42300122,2024-04-23,IND,MIL,125,108.0,rnd1,2
42300123,2024-04-26,MIL,IND,121,118.0,rnd1,3
42300124,2024-04-28,MIL,IND,126,113.0,rnd1,4
42300125,2024-04-30,IND,MIL,92,115.0,rnd1,5
42300126,2024-05-02,MIL,IND,120,98.0,rnd1,6
42300211,2024-05-06,IND,NYK,117,121.0,sf,1
42300212,2024-05-08,IND,NYK,121,130.0,sf,2
42300213,2024-05-10,NYK,IND,111,106.0,sf,3
42300214,2024-05-12,NYK,IND,121,89.0,sf,4
42300215,2024-05-14,IND,NYK,91,121.0,sf,5
42300216,2024-05-17,NYK,IND,116,103.0,sf,6
42300217,2024-05-19,IND,NYK,130,109.0,sf,7
42300301,2024-05-21,IND,BOS,128,133.0,conf,1
42300302,2024-05-23,IND,BOS,110,126.0,conf,2
42300303,2024-05-25,BOS,IND,111,114.0,conf,3
42300304,2024-05-27,BOS,IND,102,105.0,conf,4
