season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,201143,Al Horford,Al,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,36.31666666666667,0,4,0,10,3,6,8,26,1,1,4,3,31.5,1,853,853,853,313,745,110,570,137,355,916,1247,1078,149,1166,1326,389,391,1,36:19,2019,2020
2019-20,202699,Tobias Harris,Tobias,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,35.1,3,2,0,4,3,8,10,26,0,0,4,2,28.0,1,853,853,853,380,283,294,570,534,355,1188,1400,1078,511,1,1326,541,488,1,35:06,2019,2020
2019-20,203526,Raul Neto,Raul,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,11.0,0,0,0,0,6,0,2,12,0,1,0,2,6.2,1,853,853,853,1350,745,608,570,1152,646,1,350,446,511,1166,1,541,1371,1,11:00,2019,2020
2019-20,203118,Mike Scott,Mike,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,6.8,0,0,0,0,5,2,0,8,0,0,0,0,2.4,1,853,853,853,1485,745,608,570,1152,558,333,1,286,511,1,1,1171,1527,1,6:48,2019,2020
2019-20,1626196,Josh Richardson,Josh,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,36.43666666666667,8,0,2,0,8,6,10,30,0,2,5,4,23.1,1,853,853,853,305,22,608,291,1152,912,916,1400,1273,511,1553,1553,276,670,1,36:26,2019,2020
2019-20,1627788,Furkan Korkmaz,Furkan,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,4.376666666666667,0,0,0,0,0,2,0,2,0,0,0,0,0.0,1,853,853,853,1561,745,608,570,1152,1,333,1,85,511,1,1,1171,1602,1,4:23,2019,2020
2019-20,203954,Joel Embiid,Joel,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,37.38333333333333,4,0,0,10,9,9,8,28,2,0,5,10,53.0,1,853,853,853,259,193,608,570,137,1002,1293,1247,1193,37,1,1553,7,79,1,37:23,2019,2020
2019-20,202692,Alec Burks,Alec,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,29.8,6,0,0,6,10,6,4,24,2,1,2,1,27.1,1,853,853,853,630,77,608,570,353,1113,916,688,989,37,1166,661,817,519,1,29:48,2019,2020
2019-20,1629003,Shake Milton,Shake,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,33.3,0,0,0,4,4,10,6,24,0,0,5,3,23.3,1,853,853,853,471,745,608,570,534,449,1388,984,989,511,1,1553,389,663,1,33:18,2019,2020
2019-20,1629680,Matisse Thybulle,Matisse,1610612755,PHI,Philadelphia 76ers,41900124,2020-08-23T00:00:00,PHI vs. BOS,L,9.486666666666666,0,0,0,0,2,1,2,10,0,0,0,0,4.2,1,853,853,853,1396,745,608,570,1152,205,292,350,362,511,1,1,1171,1463,1,9:29,2019,2020
