close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
201188,Marc Gasol,1610612763,MEM,C,33.0,73,73,0.436,2.45,6.62,0.371,0.378,-0.008
1628415,Dillon Brooks,1610612763,MEM,F-G,22.0,82,82,0.513,2.32,5.83,0.397,0.375,0.022
203210,JaMychal Green,1610612763,MEM,F,28.0,55,55,0.536,1.98,5.27,0.376,0.376,0.0
201144,Mike Conley,1610612763,MEM,G,30.0,12,12,0.508,1.67,5.17,0.323,0.37,-0.047
203104,Marquis Teague,1610612763,MEM,G,25.0,3,3,0.5,2.33,5.0,0.467,0.362,0.105
201936,Tyreke Evans,1610612763,MEM,G-F,28.0,52,52,0.559,1.73,4.83,0.359,0.367,-0.009
1628504,Xavier Rathan-Mayes,1610612763,MEM,G,24.0,5,5,0.533,2.6,4.8,0.542,0.367,0.175
202705,MarShon Brooks,1610612763,MEM,G-F,29.0,7,6,0.579,1.57,4.71,0.333,0.364,-0.03
1626150,Andrew Harrison,1610612763,MEM,G,23.0,56,55,0.513,1.54,4.39,0.35,0.375,-0.025
1626185,Jarell Martin,1610612763,MEM,F,24.0,72,68,0.434,1.46,3.9,0.374,0.374,0.0
1628397,Ivan Rabb,1610612763,MEM,F,21.0,31,28,0.438,1.58,3.55,0.445,0.362,0.083
1627988,Myke Henry,1610612763,MEM,F,25.0,20,18,0.555,1.05,3.3,0.318,0.378,-0.06
204179,Omari Johnson,1610612763,MEM,F,29.0,4,4,0.65,1.5,3.25,0.462,0.362,0.099
201596,Mario Chalmers,1610612763,MEM,G,32.0,66,63,0.49,1.0,3.24,0.308,0.371,-0.063
203463,Ben McLemore,1610612763,MEM,G,25.0,56,51,0.474,1.3,3.13,0.417,0.373,0.044
1627782,Wayne Selden,1610612763,MEM,G-F,23.0,34,34,0.536,1.06,3.09,0.343,0.367,-0.025
1628424,Kobi Simmons,1610612763,MEM,G,20.0,31,29,0.474,1.39,2.94,0.473,0.38,0.093
202718,Chandler Parsons,1610612763,MEM,F,29.0,35,35,0.503,1.2,2.69,0.447,0.374,0.073
1627738,Deyonta Davis,1610612763,MEM,C-F,21.0,62,52,0.389,1.02,2.66,0.382,0.375,0.007
1627744,Brice Johnson,1610612763,MEM,F,24.0,12,10,0.563,0.75,2.25,0.333,0.318,0.015
1627362,Briante Weber,1610612763,MEM,G,25.0,16,13,0.324,1.06,2.25,0.472,0.36,0.112
1626205,Vincent Hunter,1610612763,MEM,F,23.0,3,2,0.6,0.67,1.0,0.667,0.384,0.282
