PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1629652,Luguentz Dort,1610612760,OKC,26.0,17,17,0.783,35,101,0.347,0.52,0.0,0,0,,0.783,35,101,0.347
1628384,OG Anunoby,1610612752,NYK,27.0,18,18,0.34,27,84,0.321,0.482,0.004,0,1,0.0,0.336,27,83,0.325
1630174,Aaron Nesmith,1610612754,IND,25.0,17,17,0.506,41,83,0.494,0.735,0.018,1,3,0.333,0.488,40,80,0.5
1628969,Mikal Bridges,1610612752,NYK,28.0,18,18,0.308,26,81,0.321,0.463,0.034,3,9,0.333,0.274,23,72,0.319
1626167,Myles Turner,1610612754,IND,29.0,17,17,0.464,38,78,0.487,0.641,0.125,14,21,0.667,0.339,24,57,0.421
1631096,Chet Holmgren,1610612760,OKC,23.0,17,17,0.387,27,77,0.351,0.506,0.03,3,6,0.5,0.357,24,71,0.338
1626157,Karl-Anthony Towns,1610612752,NYK,29.0,18,18,0.267,27,76,0.355,0.5,0.035,5,10,0.5,0.232,22,66,0.333
1628401,Derrick White,1610612738,BOS,30.0,11,11,0.51,33,75,0.44,0.66,0.0,0,0,,0.51,33,75,0.44
1631114,Jalen Williams,1610612760,OKC,24.0,17,17,0.226,21,65,0.323,0.469,0.007,2,2,1.0,0.219,19,63,0.302
1627783,Pascal Siakam,1610612754,IND,31.0,17,17,0.247,29,64,0.453,0.633,0.058,6,15,0.4,0.189,23,49,0.469
1627936,Alex Caruso,1610612760,OKC,31.0,17,16,0.557,26,64,0.406,0.602,0.026,1,3,0.333,0.53,25,61,0.41
1629008,Michael Porter Jr.,1610612743,DEN,26.0,14,14,0.533,20,64,0.313,0.461,0.042,1,5,0.2,0.492,19,59,0.322
203999,Nikola Jokić,1610612743,DEN,30.0,14,14,0.235,24,63,0.381,0.508,0.052,8,14,0.571,0.183,16,49,0.327
1628978,Donte DiVincenzo,1610612750,MIN,28.0,15,15,0.484,23,61,0.377,0.557,0.016,1,2,0.5,0.468,22,59,0.373
203110,Draymond Green,1610612744,GSW,35.0,12,12,0.565,17,61,0.279,0.402,0.037,2,4,0.5,0.528,15,57,0.263
1627741,Buddy Hield,1610612744,GSW,32.0,12,12,0.472,25,59,0.424,0.636,0.008,0,1,0.0,0.464,25,58,0.431
1631128,Christian Braun,1610612743,DEN,24.0,14,13,0.399,16,59,0.271,0.398,0.02,1,3,0.333,0.378,15,56,0.268
203944,Julius Randle,1610612750,MIN,30.0,15,15,0.253,21,58,0.362,0.543,0.013,0,3,0.0,0.24,21,55,0.382
