season,team_id,team,sos_v0
2022-23,1610612737,ATL,-0.1323616894705533
2022-23,1610612738,BOS,-0.28747769185008937
2022-23,1610612739,CLE,-0.07867340868530648
2022-23,1610612740,NOP,-0.035246876859012684
2022-23,1610612741,CHI,0.07986317668054721
2022-23,1610612742,DAL,-0.13950029744199896
2022-23,1610612743,DEN,-0.22813801308744816
2022-23,1610612744,GSW,-0.457614515169542
2022-23,1610612745,HOU,0.34979179060083265
2022-23,1610612746,LAC,-0.026323616894705658
2022-23,1610612747,LAL,0.20538370017846505
2022-23,1610612748,MIA,-0.11555621653777526
2022-23,1610612749,MIL,-0.11466389054134454
2022-23,1610612750,MIN,-0.16389054134443803
2022-23,1610612751,BKN,0.11748958953004154
2022-23,1610612752,NYK,0.10603807257584763
2022-23,1610612753,ORL,0.39009518143961913
2022-23,1610612754,IND,0.07242712671029139
2022-23,1610612755,PHI,-0.07465794170136833
2022-23,1610612756,PHX,-0.27334919690660336
2022-23,1610612757,POR,0.3313503866745983
2022-23,1610612758,SAC,0.2648720999405114
2022-23,1610612759,SAS,-0.138310529446758
2022-23,1610612760,OKC,0.41299821534800696
2022-23,1610612761,TOR,0.0014872099940510747
2022-23,1610612762,UTA,-0.38206424747174317
2022-23,1610612763,MEM,-0.20419393218322443
2022-23,1610612764,WAS,0.16032123735871495
2022-23,1610612765,DET,0.3661511005353955
2022-23,1610612766,CHA,-0.006246281975014986
