SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400404,2025-06-13T00:00:00,OKC @ IND,W,49.0,25.5,23.5,10.2,51.0,23.5,11.2,9.2,36.7,0,0,0,1,11,17,15,107,53,139,43,43,30,1
2024-25,1610612754,IND,Indiana Pacers,0042400404,2025-06-13T00:00:00,IND vs. OKC,L,48.5,23.2,11.1,9.1,36.4,25.3,23.2,10.1,50.5,0,0,0,82,11,25,120,120,133,145,147,54,106,1
2024-25,1610612754,IND,Indiana Pacers,0042400403,2025-06-11T00:00:00,IND vs. OKC,W,48.0,21.0,13.0,17.0,50.0,14.0,7.0,10.0,48.0,0,0,0,1,11,41,96,38,61,64,10,53,88,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400403,2025-06-11T00:00:00,OKC @ IND,L,47.5,13.9,6.9,9.9,47.5,20.8,12.9,16.8,49.5,0,0,0,82,11,99,153,110,79,121,65,123,98,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400402,2025-06-08T00:00:00,OKC vs. IND,W,49.5,14.4,9.3,4.1,43.3,17.5,10.3,9.3,35.1,0,0,0,1,11,94,137,154,102,100,31,46,25,1
2024-25,1610612754,IND,Indiana Pacers,0042400402,2025-06-08T00:00:00,IND @ OKC,L,49.0,17.3,10.2,9.2,34.7,14.3,9.2,4.1,42.9,0,0,0,82,11,63,132,119,139,65,24,8,57,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400401,2025-06-05T00:00:00,OKC vs. IND,L,46.6,10.7,10.7,10.7,44.7,3.9,11.7,9.7,33.0,0,0,0,82,11,131,126,102,96,3,49,49,18,1
2024-25,1610612754,IND,Indiana Pacers,0042400401,2025-06-05T00:00:00,IND @ OKC,W,47.1,3.9,11.8,9.8,33.3,10.8,10.8,10.8,45.1,0,0,0,1,11,160,113,113,145,31,36,62,67,1
2024-25,1610612754,IND,Indiana Pacers,0042400306,2025-05-31T00:00:00,IND vs. NYK,W,49.0,34.7,12.2,25.5,51.0,13.3,15.3,10.2,55.1,0,0,0,1,11,2,105,6,53,53,90,55,135,1
2024-25,1610612752,NYK,New York Knicks,0042400306,2025-05-31T00:00:00,NYK @ IND,L,49.0,13.3,15.3,10.2,55.1,34.7,12.2,25.5,51.0,0,0,0,82,11,110,74,107,27,161,56,158,108,1
2024-25,1610612754,IND,Indiana Pacers,0042400305,2025-05-29T00:00:00,IND @ NYK,L,49.5,20.6,7.2,16.5,35.1,15.5,13.4,15.5,61.9,0,0,0,82,11,44,152,43,137,79,67,110,153,1
2024-25,1610612752,NYK,New York Knicks,0042400305,2025-05-29T00:00:00,NYK vs. IND,W,49.0,15.3,13.3,15.3,61.2,20.4,7.1,16.3,34.7,0,0,0,1,11,83,95,53,11,118,11,120,23,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400315,2025-05-28T00:00:00,OKC vs. MIN,W,45.7,17.1,8.6,18.1,51.4,18.1,8.6,10.5,40.0,0,0,0,1,11,67,144,33,50,104,17,58,41,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400315,2025-05-28T00:00:00,MIN @ OKC,L,45.7,18.1,8.6,10.5,40.0,17.1,8.6,18.1,51.4,0,0,0,82,11,61,144,106,122,97,17,130,112,1
2024-25,1610612752,NYK,New York Knicks,0042400304,2025-05-27T00:00:00,NYK @ IND,L,46.2,8.7,14.4,8.7,42.3,19.2,15.4,21.2,48.1,0,0,0,82,11,147,83,123,106,111,92,146,90,1
2024-25,1610612754,IND,Indiana Pacers,0042400304,2025-05-27T00:00:00,IND vs. NYK,W,46.2,19.2,15.4,21.2,48.1,8.7,14.4,8.7,42.3,0,0,0,1,11,52,72,17,77,16,79,40,55,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400314,2025-05-26T00:00:00,OKC @ MIN,W,49.5,22.7,24.7,5.2,43.3,25.8,30.9,13.4,47.4,0,0,0,1,11,33,8,145,102,147,162,91,83,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400314,2025-05-26T00:00:00,MIN vs. OKC,L,49.5,25.8,30.9,13.4,47.4,22.7,24.7,5.2,43.3,0,0,0,82,11,16,1,73,80,128,155,17,61,1
2024-25,1610612752,NYK,New York Knicks,0042400303,2025-05-25T00:00:00,NYK @ IND,W,50.5,8.4,14.7,2.1,42.1,23.2,10.5,16.8,33.7,0,0,0,1,11,150,79,160,108,136,34,124,20,1
2024-25,1610612754,IND,Indiana Pacers,0042400303,2025-05-25T00:00:00,IND vs. NYK,L,50.5,23.2,10.5,16.8,33.7,8.4,14.7,2.1,42.1,0,0,0,82,11,27,129,39,142,13,83,3,52,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400313,2025-05-24T00:00:00,OKC @ MIN,L,47.1,14.7,6.9,11.8,41.2,15.7,19.6,5.9,54.9,0,0,0,82,11,90,154,92,113,84,126,21,133,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400313,2025-05-24T00:00:00,MIN vs. OKC,W,47.5,15.8,19.8,5.9,55.4,14.9,6.9,11.9,41.6,0,0,0,1,11,77,35,142,26,76,9,73,51,1
2024-25,1610612752,NYK,New York Knicks,0042400302,2025-05-23T00:00:00,NYK vs. IND,L,53.3,13.3,23.3,7.8,48.9,18.9,16.7,15.6,53.3,0,0,0,82,11,109,17,130,72,109,103,112,126,1
2024-25,1610612754,IND,Indiana Pacers,0042400302,2025-05-23T00:00:00,IND @ NYK,W,52.2,18.5,16.3,15.2,52.2,13.0,22.8,7.6,47.8,0,0,0,1,11,56,62,54,44,51,146,31,86,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0042400312,2025-05-22T00:00:00,OKC vs. MIN,W,50.0,22.9,14.6,16.7,60.4,10.4,12.5,9.4,45.8,0,0,0,1,11,32,81,41,13,28,60,47,69,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400312,2025-05-22T00:00:00,MIN @ OKC,L,50.0,10.4,12.5,9.4,45.8,22.9,14.6,16.7,60.4,0,0,0,82,11,135,103,116,94,132,82,122,150,1
2024-25,1610612754,IND,Indiana Pacers,0042400301,2025-05-21T00:00:00,IND @ NYK,W,49.5,25.2,21.5,12.1,46.7,3.7,19.6,4.7,57.9,0,0,0,1,1,18,25,88,86,2,127,15,145,1
2024-25,1610612752,NYK,New York Knicks,0042400301,2025-05-21T00:00:00,NYK vs. IND,L,49.5,3.7,19.6,4.7,57.9,25.2,21.5,12.1,46.7,0,0,0,82,1,161,36,148,17,144,138,74,77,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0042400311,2025-05-20T00:00:00,MIN @ OKC,L,49.5,10.3,12.4,0.0,20.6,32.0,9.3,12.4,55.7,0,0,0,82,11,136,104,162,161,157,26,76,140,1
