team_id,team_name,gp,w,l,w_pct,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,team
1610612754,Indiana Pacers,44,26,18,0.591,155.0,0.48,0.482,0.125,0.391,0.452,0.421,0.162,0.323,12,5,7,6,15,14,13,14,2,6,7,3,20,INDIANA PACERS
1610612746,LA Clippers,41,21,20,0.512,130.0,0.482,0.523,0.102,0.301,0.57,0.502,0.135,0.341,19,15,10,17,25,13,6,6,14,30,23,9,26,LA CLIPPERS
1610612747,Los Angeles Lakers,42,20,22,0.476,184.0,0.484,0.461,0.115,0.262,0.457,0.451,0.09,0.311,16,18,18,20,6,11,18,12,25,9,13,30,16,LOS ANGELES LAKERS
1610612763,Memphis Grizzlies,41,12,29,0.293,149.0,0.369,0.471,0.111,0.299,0.473,0.6,0.172,0.281,19,28,28,29,20,30,16,11,15,16,30,1,6,MEMPHIS GRIZZLIES
1610612748,Miami Heat,53,29,24,0.547,229.0,0.543,0.409,0.15,0.316,0.447,0.398,0.123,0.338,1,3,23,12,1,4,22,24,11,5,3,15,25,MIAMI HEAT
1610612749,Milwaukee Bucks,47,26,21,0.553,179.0,0.5,0.49,0.128,0.253,0.456,0.474,0.147,0.316,5,5,16,10,10,8,12,18,26,8,17,6,18,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,42,22,20,0.524,178.0,0.476,0.503,0.125,0.365,0.493,0.484,0.095,0.314,16,12,10,14,11,16,10,15,4,20,19,28,17,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,50,30,20,0.6,226.0,0.527,0.38,0.105,0.269,0.455,0.34,0.14,0.292,2,1,10,5,2,6,27,7,23,7,1,8,9,NEW ORLEANS PELICANS
1610612752,New York Knicks,35,12,23,0.343,141.0,0.431,0.381,0.109,0.308,0.465,0.473,0.117,0.344,27,28,22,27,23,27,26,10,12,12,16,20,28,NEW YORK KNICKS
1610612760,Oklahoma City Thunder,46,24,22,0.522,188.0,0.464,0.382,0.107,0.4,0.516,0.445,0.121,0.274,6,11,18,16,4,22,25,8,1,27,11,18,5,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,41,14,27,0.341,127.0,0.492,0.421,0.173,0.293,0.5,0.458,0.114,0.305,19,27,26,28,26,9,21,30,19,24,15,21,14,ORLANDO MAGIC
1610612755,Philadelphia 76ers,45,26,19,0.578,148.0,0.566,0.74,0.162,0.306,0.429,0.496,0.124,0.304,8,5,8,7,21,1,1,27,13,1,20,14,13,PHILADELPHIA 76ERS
1610612756,Phoenix Suns,38,16,22,0.421,112.0,0.436,0.586,0.167,0.352,0.484,0.422,0.108,0.346,25,24,18,23,27,25,3,28,7,18,8,25,29,PHOENIX SUNS
1610612757,Portland Trail Blazers,45,25,20,0.556,177.0,0.473,0.48,0.122,0.267,0.463,0.401,0.133,0.323,8,8,10,9,12,18,15,13,24,11,4,11,19,PORTLAND TRAIL BLAZERS
1610612758,Sacramento Kings,42,22,20,0.524,153.0,0.484,0.394,0.097,0.328,0.444,0.558,0.149,0.297,16,12,10,14,17,12,24,3,9,4,28,5,11,SACRAMENTO KINGS
1610612759,San Antonio Spurs,37,20,17,0.541,139.0,0.474,0.545,0.132,0.297,0.5,0.408,0.122,0.308,26,18,5,13,24,17,5,20,17,24,5,16,15,SAN ANTONIO SPURS
1610612761,Toronto Raptors,44,25,19,0.568,161.0,0.473,0.563,0.13,0.295,0.502,0.446,0.143,0.29,12,8,8,8,14,19,4,19,18,26,12,7,8,TORONTO RAPTORS
1610612762,Utah Jazz,29,16,13,0.552,108.0,0.49,0.482,0.128,0.282,0.46,0.484,0.132,0.336,29,24,3,11,29,10,14,17,22,10,18,12,24,UTAH JAZZ
1610612764,Washington Wizards,45,21,24,0.467,186.0,0.423,0.462,0.1,0.298,0.497,0.497,0.157,0.294,8,15,23,21,5,28,17,5,16,22,21,4,10,WASHINGTON WIZARDS
