SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,48.0,0.476,0.157,0.112,0.208,0.439,0.305,0.124,0.308,0,0,0,0,11,101,159,45,143,31,98,107,107,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,48.0,0.439,0.305,0.124,0.308,0.476,0.157,0.112,0.208,0,0,0,0,11,139,74,65,64,72,13,126,30,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500406,2016-06-16T00:00:00,CLE vs. GSW,W,48.0,0.584,0.416,0.122,0.25,0.494,0.354,0.146,0.245,0,0,0,0,11,18,21,61,108,87,126,67,58,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500406,2016-06-16T00:00:00,GSW @ CLE,L,48.0,0.494,0.354,0.146,0.245,0.584,0.416,0.122,0.25,0,0,0,0,11,86,47,105,114,155,152,110,62,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500405,2016-06-13T00:00:00,GSW vs. CLE,L,48.0,0.443,0.295,0.173,0.362,0.59,0.277,0.163,0.267,0,0,0,0,11,131,78,139,30,156,88,44,75,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500405,2016-06-13T00:00:00,CLE @ GSW,W,48.0,0.59,0.277,0.163,0.267,0.443,0.295,0.173,0.362,0,0,0,0,11,17,85,128,98,41,95,34,143,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500404,2016-06-10T00:00:00,CLE vs. GSW,L,48.0,0.506,0.321,0.129,0.388,0.512,0.383,0.105,0.423,0,0,0,0,11,71,61,78,20,107,139,137,168,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500404,2016-06-10T00:00:00,GSW @ CLE,W,48.0,0.512,0.383,0.105,0.423,0.506,0.321,0.129,0.388,0,0,0,0,11,66,33,34,5,102,111,94,153,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500403,2016-06-08T00:00:00,GSW @ CLE,L,48.0,0.48,0.342,0.189,0.204,0.593,0.187,0.147,0.413,0,0,0,0,11,97,53,152,147,157,30,63,165,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500403,2016-06-08T00:00:00,CLE vs. GSW,W,48.0,0.593,0.187,0.147,0.413,0.48,0.342,0.189,0.204,0,0,0,0,11,16,142,110,7,76,119,19,25,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500402,2016-06-05T00:00:00,GSW vs. CLE,W,48.0,0.636,0.123,0.221,0.325,0.386,0.304,0.191,0.291,0,0,0,0,11,6,167,171,55,8,97,16,90,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500402,2016-06-05T00:00:00,CLE @ GSW,L,48.0,0.386,0.304,0.191,0.291,0.636,0.123,0.221,0.325,0,0,0,0,11,164,76,157,82,167,6,2,118,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500401,2016-06-02T00:00:00,GSW vs. CLE,W,48.0,0.546,0.115,0.099,0.222,0.423,0.238,0.185,0.377,0,0,0,0,11,37,168,18,135,20,60,26,147,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500401,2016-06-02T00:00:00,CLE @ GSW,L,48.0,0.423,0.238,0.185,0.377,0.546,0.115,0.099,0.222,0,0,0,0,11,153,112,147,24,136,5,154,37,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500317,2016-05-30T00:00:00,GSW vs. OKC,W,48.0,0.535,0.094,0.126,0.306,0.421,0.191,0.081,0.316,0,0,0,0,11,44,171,74,67,18,34,167,113,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0041500317,2016-05-30T00:00:00,OKC @ GSW,L,48.0,0.421,0.191,0.081,0.316,0.535,0.094,0.126,0.306,0,0,0,0,11,155,138,6,60,129,2,99,104,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500316,2016-05-28T00:00:00,GSW @ OKC,W,48.0,0.528,0.273,0.153,0.357,0.439,0.356,0.156,0.404,0,0,0,0,11,51,88,115,32,30,127,52,159,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0041500316,2016-05-28T00:00:00,OKC vs. GSW,L,48.0,0.439,0.356,0.156,0.404,0.528,0.273,0.153,0.357,0,0,0,0,11,143,46,121,13,122,85,58,140,1.0
2015-16,1610612761,TOR,Toronto Raptors,0041500306,2016-05-27T00:00:00,TOR vs. CLE,L,48.0,0.468,0.215,0.144,0.255,0.655,0.284,0.124,0.143,0,0,0,0,11,107,124,100,104,170,91,107,4,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500306,2016-05-27T00:00:00,CLE @ TOR,W,48.0,0.655,0.284,0.124,0.143,0.468,0.215,0.144,0.255,0,0,0,0,11,3,82,65,169,65,49,69,69,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0041500315,2016-05-26T00:00:00,OKC @ GSW,L,48.0,0.5,0.264,0.163,0.291,0.524,0.4,0.155,0.283,0,0,0,0,11,77,93,130,82,116,142,55,83,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500315,2016-05-26T00:00:00,GSW vs. OKC,W,48.0,0.524,0.4,0.155,0.283,0.5,0.264,0.163,0.291,0,0,0,0,11,57,29,117,89,91,78,43,90,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500305,2016-05-25T00:00:00,CLE vs. TOR,W,48.0,0.636,0.312,0.179,0.343,0.413,0.507,0.202,0.212,0,0,0,0,11,5,70,144,39,14,171,9,31,1.0
2015-16,1610612761,TOR,Toronto Raptors,0041500305,2016-05-25T00:00:00,TOR @ CLE,L,48.0,0.413,0.507,0.202,0.212,0.636,0.312,0.179,0.343,0,0,0,0,11,159,2,164,142,168,102,28,134,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0041500314,2016-05-24T00:00:00,OKC vs. GSW,W,48.0,0.483,0.444,0.168,0.393,0.469,0.363,0.194,0.192,0,0,0,0,11,91,14,133,15,67,130,13,19,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500314,2016-05-24T00:00:00,GSW @ OKC,L,48.0,0.469,0.363,0.194,0.192,0.483,0.444,0.168,0.393,0,0,0,0,11,105,43,160,153,82,159,40,157,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500304,2016-05-23T00:00:00,CLE @ TOR,L,48.0,0.548,0.108,0.125,0.311,0.583,0.244,0.105,0.225,0,0,0,0,11,35,170,70,62,153,64,137,40,1.0
2015-16,1610612761,TOR,Toronto Raptors,0041500304,2016-05-23T00:00:00,TOR vs. CLE,W,48.0,0.583,0.244,0.105,0.225,0.548,0.108,0.125,0.311,0,0,0,0,11,19,108,34,133,138,3,101,110,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0041500313,2016-05-22T00:00:00,OKC vs. GSW,W,48.0,0.543,0.402,0.113,0.354,0.467,0.272,0.133,0.246,0,0,0,0,11,38,28,48,35,63,84,91,60,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500313,2016-05-22T00:00:00,GSW @ OKC,L,48.0,0.467,0.272,0.133,0.246,0.543,0.402,0.113,0.354,0,0,0,0,11,110,89,80,112,135,145,124,137,1.0
2015-16,1610612761,TOR,Toronto Raptors,0041500303,2016-05-21T00:00:00,TOR vs. CLE,W,48.0,0.53,0.157,0.116,0.319,0.443,0.203,0.107,0.192,0,0,0,0,11,49,159,52,57,39,44,133,19,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500303,2016-05-21T00:00:00,CLE @ TOR,L,48.0,0.443,0.203,0.107,0.192,0.53,0.157,0.116,0.319,0,0,0,0,11,133,129,40,153,124,13,121,114,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0041500302,2016-05-19T00:00:00,CLE vs. TOR,W,48.0,0.546,0.487,0.115,0.233,0.457,0.22,0.125,0.16,0,0,0,0,11,36,6,50,128,53,52,101,10,1.0
2015-16,1610612761,TOR,Toronto Raptors,0041500302,2016-05-19T00:00:00,TOR @ CLE,L,48.0,0.457,0.22,0.125,0.16,0.546,0.487,0.115,0.233,0,0,0,0,11,118,121,70,163,137,167,123,45,1.0
2015-16,1610612744,GSW,Golden State Warriors,0041500312,2016-05-18T00:00:00,GSW vs. OKC,W,48.0,0.582,0.329,0.133,0.408,0.494,0.244,0.178,0.304,0,0,0,0,11,21,58,80,11,86,64,30,102,1.0
