group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,203939,Dwight Powell,Dwight,1610612742,DAL,32.0,6,4,2,0.667,9.545,0,0,0.0,0,0,0.0,1,1,1.0,1,1,2,2,0,0,0,0,1,1,1,3,6.4,1,0,5.0,308,261,98,70,339,355,399,355,222,324,222,246,267,1,196,308,294,191,270,254,218,1,104,252,361,160,341,145,22,348,DAL
Players,202681,Kyrie Irving,Kyrie,1610612742,DAL,32.0,20,16,4,0.8,75.96666666666667,27,45,0.6,8,19,0.421,21,22,0.955,1,7,8,7,3,1,1,2,5,15,83,75,106.1,3,0,110.0,157,56,164,35,121,23,43,56,19,43,67,32,39,64,196,145,171,75,106,139,126,341,273,41,25,11,44,95,22,41,DAL
Players,1629029,Luka Dončić,Luka,1610612742,DAL,25.0,28,20,8,0.714,95.52833333333334,21,46,0.457,9,22,0.409,19,25,0.76,0,20,20,24,6,4,1,2,6,20,70,64,139.0,23,9,133.0,87,20,263,56,77,39,41,173,14,30,72,36,32,155,298,20,41,6,45,22,126,341,301,26,38,16,28,9,3,27,DAL
Players,1629023,P.J. Washington,P.J.,1610612742,DAL,25.0,31,16,15,0.516,91.39,11,30,0.367,3,11,0.273,6,8,0.75,2,14,16,5,1,4,2,2,3,6,31,6,74.7,2,0,67.0,53,56,399,197,90,94,74,255,103,96,160,124,124,157,144,48,73,115,187,22,61,341,199,119,113,140,90,118,22,102,DAL
Players,1627884,Derrick Jones Jr.,Derrick,1610612742,DAL,27.0,18,12,6,0.667,27.863333333333333,4,8,0.5,0,2,0.0,3,3,1.0,2,4,6,0,0,0,2,0,3,3,11,-5,24.2,1,0,21.0,173,121,218,70,241,191,211,103,222,226,222,173,213,1,144,205,195,308,270,254,61,1,199,182,205,281,230,145,22,231,DAL
Players,1641726,Dereck Lively II,Dereck,1610612742,DAL,20.0,17,13,4,0.765,41.49,3,3,1.0,0,0,0.0,2,4,0.5,8,9,17,2,1,1,4,0,5,2,8,54,45.4,6,0,37.0,187,99,164,42,191,216,299,1,222,324,222,199,181,223,23,104,61,191,187,139,19,1,273,207,230,20,164,56,22,172,DAL
Players,1630182,Josh Green,Josh,1610612742,DAL,23.0,17,13,4,0.765,33.625,7,12,0.583,3,8,0.375,3,4,0.75,1,4,5,3,0,3,0,1,5,2,20,37,39.5,0,0,37.0,187,99,164,42,219,152,176,67,103,121,94,173,181,157,196,205,217,159,270,47,218,257,273,207,154,37,177,215,22,172,DAL
Players,202693,Markieff Morris,Markieff,1610612742,DAL,34.0,2,2,0,1.0,0.1383333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0.0,393,315,1,1,450,355,399,355,222,324,222,272,280,272,298,355,379,308,270,254,218,1,1,310,367,226,410,215,22,411,DAL
Players,1628467,Maxi Kleber,Maxi,1610612742,DAL,32.0,15,11,4,0.733,37.79,2,7,0.286,0,4,0.0,2,2,1.0,1,5,6,8,0,0,2,0,7,3,6,28,31.2,0,0,24.0,204,138,164,52,202,252,220,319,222,178,222,199,229,1,196,177,195,62,270,254,61,1,326,182,252,51,199,215,22,219,DAL
Players,203957,Danté Exum,Danté,1610612742,DAL,28.0,14,11,3,0.786,40.305,11,19,0.579,8,12,0.667,4,4,1.0,0,6,6,2,3,0,0,0,6,2,34,39,41.2,0,0,50.0,215,138,132,40,196,94,137,71,19,88,10,156,181,1,298,156,195,191,106,254,218,1,301,207,98,34,175,215,22,138,DAL
Players,1629655,Daniel Gafford,Daniel,1610612742,DAL,25.0,18,7,11,0.389,46.38166666666667,8,11,0.727,0,0,0.0,0,0,0.0,7,12,19,1,2,0,5,1,9,3,16,-54,53.3,8,0,46.0,173,200,324,338,180,137,183,31,222,324,222,272,280,272,37,61,46,240,138,254,14,257,373,182,181,453,137,40,22,150,DAL
Players,1641765,Olivier-Maxence Prosper,Olivier-Maxence,1610612742,DAL,21.0,1,1,0,1.0,0.04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,420,359,1,1,459,355,399,355,222,324,222,272,280,272,298,355,379,308,270,254,218,1,1,310,367,258,410,215,22,411,DAL
Players,1630702,Jaden Hardy,Jaden,1610612742,DAL,21.0,5,4,1,0.8,6.323333333333333,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,1,3,3,3.0,0,0,4.0,320,261,29,35,367,290,299,278,159,226,27,272,280,272,298,355,379,308,270,254,218,1,1,252,311,160,377,215,22,357,DAL
Players,203501,Tim Hardaway Jr.,Tim,1610612742,DAL,32.0,25,18,7,0.72,53.428333333333335,7,23,0.304,4,15,0.267,9,9,1.0,2,5,7,3,1,1,0,1,2,8,27,53,41.9,0,0,43.0,119,28,243,54,167,152,115,311,79,66,164,89,114,1,144,177,181,159,187,139,218,257,159,91,131,22,174,215,22,157,DAL
