GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
Players,203932,Aaron Gordon,Aaron,1610612753,ORL,20.0,27,9,18,0.333,2.9,0.8,0.2,0.435,0.0,0.13,0.391,0.435,0.261,0.435,0.8,0.2,1.0,0.0,0.833,0.167,6,15,0.4,131,182,361,330,187,147,228,212,195,176,18,77,49,132,79,237,1,82,99,239,164,163,186
Players,203094,Andrew Nicholson,Andrew,1610612753,ORL,26.0,7,4,3,0.571,3.7,0.5,0.5,0.286,0.0,0.429,0.0,0.285,0.429,0.286,0.0,1.0,1.0,0.0,0.5,0.5,2,10,0.2,301,270,109,127,76,268,92,272,195,67,175,167,19,205,270,1,1,82,198,115,249,204,319
Players,201943,Brandon Jennings,Brandon,1610612753,ORL,26.0,9,3,6,0.333,2.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,289,293,174,330,263,363,1,320,195,209,175,1,234,303,270,257,194,82,313,264,342,269,342
Players,201228,C.J. Watson,C.J.,1610612753,ORL,32.0,4,3,1,0.75,2.9,0.333,0.667,0.4,0.0,0.6,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.5,0.5,2,3,0.667,339,293,31,44,193,325,49,225,195,27,175,299,234,142,1,257,194,1,198,115,249,296,45
Players,203906,Devyn Marble,Devyn,1610612753,ORL,23.0,2,1,1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,374,362,31,188,422,363,275,320,195,209,175,299,234,303,270,257,194,82,313,264,342,379,342
Players,203473,Dewayne Dedmon,Dewayne,1610612753,ORL,26.0,5,3,2,0.6,3.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,329,293,75,103,163,1,275,1,195,209,175,299,234,1,1,257,194,82,1,264,279,337,1
Players,203901,Elfrid Payton,Elfrid,1610612753,ORL,22.0,32,13,19,0.406,4.2,0.887,0.113,0.712,0.136,0.051,0.085,0.237,0.136,0.576,0.143,0.857,1.0,0.0,0.182,0.818,22,62,0.355,94,129,379,290,31,130,249,80,126,205,120,199,146,72,258,61,1,82,300,42,44,37,239
Players,101141,Ersan Ilyasova,Ersan,1610612753,ORL,29.0,17,9,8,0.529,4.3,0.588,0.412,0.533,0.0,0.0,0.0,0.467,0.267,0.533,0.25,0.75,0.0,0.0,0.25,0.75,4,17,0.235,216,182,204,170,24,242,137,152,195,209,175,59,44,86,226,91,194,82,284,54,197,152,314
Players,203095,Evan Fournier,Evan,1610612753,ORL,23.0,42,19,23,0.452,4.1,0.439,0.561,0.342,0.0,0.553,0.0,0.105,0.039,0.342,0.308,0.692,0.786,0.214,0.556,0.444,27,66,0.409,16,64,418,255,36,302,77,248,195,38,175,282,227,168,215,104,141,68,187,153,30,33,183
Players,201160,Jason Smith,Jason,1610612753,ORL,30.0,16,7,9,0.438,2.8,0.75,0.25,0.333,0.0,0.5,0.0,0.167,0.0,0.333,0.0,1.0,1.0,0.0,0.5,0.5,2,8,0.25,222,215,223,263,205,164,209,249,195,43,175,244,234,171,270,1,1,82,198,115,249,226,298
