team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612737,Atlanta Hawks,5,1,4,0.2,55.1,0.0,11.8,11.8,58.8,35.3,0.0,11.8,58.8,4,10,15,13,14,15,10,6,1,14,1,10,15,ATLANTA HAWKS
1610612738,Boston Celtics,4,2,2,0.5,53.7,14.3,23.8,9.5,38.1,21.4,23.8,14.3,19.0,8,8,5,8,5,8,3,7,9,11,13,13,1,BOSTON CELTICS
1610612741,Chicago Bulls,1,1,0,1.0,39.7,44.4,11.1,0.0,0.0,22.2,0.0,22.2,22.2,15,10,1,1,15,1,12,12,15,12,1,15,4,CHICAGO BULLS
1610612739,Cleveland Cavaliers,7,5,2,0.714,48.6,9.1,16.4,0.0,25.5,16.4,9.1,5.5,21.8,1,1,5,4,2,12,7,12,14,8,5,6,3,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,4,4,0,1.0,46.3,13.8,27.6,24.1,55.2,13.8,10.3,0.0,20.7,8,3,1,1,10,9,2,1,2,6,6,1,2,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,5,3,2,0.6,45.2,11.8,11.8,3.9,31.4,29.4,25.5,11.8,39.2,4,4,5,6,4,10,10,10,10,13,15,10,9,HOUSTON ROCKETS
1610612754,Indiana Pacers,4,0,4,0.0,57.6,17.2,6.9,0.0,27.6,17.2,20.7,0.0,27.6,8,14,15,14,8,6,13,12,11,9,11,1,5,INDIANA PACERS
1610612746,LA Clippers,5,2,3,0.4,50.7,16.7,16.7,19.4,38.9,13.9,25.0,2.8,50.0,4,8,11,10,7,7,6,2,8,7,14,4,13,LA CLIPPERS
1610612763,Memphis Grizzlies,3,1,2,0.333,51.0,3.6,0.0,17.9,42.9,35.7,21.4,10.7,50.0,13,10,5,11,9,14,14,3,4,15,12,9,13,MEMPHIS GRIZZLIES
1610612749,Milwaukee Bucks,3,0,3,0.0,52.1,21.1,15.8,0.0,42.1,10.5,0.0,5.3,31.6,13,14,11,14,13,5,8,12,5,4,1,5,7,MILWAUKEE BUCKS
1610612760,Oklahoma City Thunder,4,1,3,0.25,42.6,26.7,36.7,13.3,40.0,10.0,20.0,6.7,46.7,8,10,11,12,11,3,1,5,6,3,9,7,12,OKLAHOMA CITY THUNDER
1610612757,Portland Trail Blazers,1,0,1,0.0,64.2,0.0,0.0,0.0,0.0,66.7,100.0,66.7,133.3,15,14,3,14,16,15,14,12,15,16,16,16,16,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,5,3,2,0.6,52.3,36.8,19.3,8.8,49.1,7.0,8.8,12.3,45.6,4,4,5,6,1,2,5,8,3,2,4,12,11,SAN ANTONIO SPURS
1610612761,Toronto Raptors,4,3,1,0.75,48.2,9.1,0.0,4.5,27.3,18.2,13.6,0.0,36.4,8,4,3,3,12,12,14,9,12,10,8,1,8,TORONTO RAPTORS
1610612762,Utah Jazz,6,3,3,0.5,44.9,11.1,20.0,2.2,40.0,13.3,13.3,15.6,31.1,3,4,11,8,6,11,4,11,6,5,7,14,6,UTAH JAZZ
1610612764,Washington Wizards,7,5,2,0.714,51.8,24.4,13.3,17.8,26.7,4.4,20.0,8.9,44.4,1,1,5,4,3,4,9,4,13,1,9,8,10,WASHINGTON WIZARDS
