season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,203903,Jordan Clarkson,Jordan,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,21.883333333333333,2,10,0.2,2,7,0.286,3,3,1.0,1,2,3,0,2,0,0,0,0,2,9,17,10.6,0,0,14.0,1,13121,13121,13121,14517,15413,8192,21224,4334,2729,10782,4143,6104,1,6346,13666,12968,18990,4151,12287,8184,1,1,7362,12093,1837,19041,2151,131,16046,1,21:53,2021,2022
2021-22,1627823,Juancho Hernangomez,Juancho,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,13.033333333333331,2,2,1.0,0,0,0.0,0,0,0.0,2,0,2,0,0,1,0,0,0,0,4,19,9.4,0,0,8.0,1,13121,13121,13121,20781,15413,21680,1,14232,20469,14232,13659,14456,13659,3074,22354,16419,18990,16136,4518,8184,1,1,18239,18560,1348,19833,2151,131,20309,1,13:02,2021,2022
2021-22,202711,Bojan Bogdanović,Bojan,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,32.05,7,18,0.389,3,11,0.273,4,4,1.0,0,7,7,1,1,2,0,1,3,2,21,-25,35.9,0,0,36.0,1,13121,13121,13121,5983,3477,1762,15532,2174,416,11164,2651,3790,1,13184,2042,4003,13245,8493,1427,8184,17438,17825,7362,2954,25610,4222,2151,131,3601,1,32:03,2021,2022
2021-22,1628378,Donovan Mitchell,Donovan,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,34.96666666666667,7,21,0.333,1,4,0.25,3,3,1.0,1,6,7,5,1,1,0,2,1,4,18,-25,35.9,0,0,33.0,1,13121,13121,13121,3511,3477,805,16922,8144,7950,11214,4143,6104,1,6346,3087,4003,2964,8493,4518,8184,23744,5520,2687,4414,25610,4222,2151,131,4663,1,34:58,2021,2022
2021-22,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,33.05,5,7,0.714,0,0,0.0,6,9,0.667,3,9,12,2,4,0,1,0,4,5,16,-4,32.4,1,0,32.0,1,13121,13121,13121,5136,6861,12670,2696,14232,20469,14232,1140,637,9343,1507,853,758,9105,833,12287,2399,1,22177,1601,5719,16281,5592,1,131,5053,1,33:03,2021,2022
2021-22,1630215,Jared Butler,Jared,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,3.183333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,1,0,0,1,1,0,0,6.0,0,0,4.0,1,13121,13121,13121,24795,22477,23284,22477,14232,20469,14232,13659,14456,13659,13184,22354,23308,9105,16136,4518,8184,1,5520,11915,23122,12132,21973,2151,131,22753,1,3:11,2021,2022
2021-22,1626220,Royce O'Neale,Royce,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,28.365,1,4,0.25,1,3,0.333,0,0,0.0,1,0,1,2,0,0,0,0,3,0,3,-19,7.2,0,0,7.0,1,13121,13121,13121,9256,18993,18068,19950,8144,10639,8533,13659,14456,13659,6346,22354,19929,9105,16136,12287,8184,1,17825,18239,19908,24664,21277,2151,131,20989,1,28:22,2021,2022
2021-22,202355,Hassan Whiteside,Hassan,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,14.95,4,5,0.8,0,0,0.0,3,4,0.75,6,1,7,0,1,0,1,0,2,3,11,-2,21.4,0,0,20.0,1,13121,13121,13121,19673,9264,16241,1634,14232,20469,14232,4143,3790,8109,165,17946,4003,18990,8493,12287,2399,1,11965,4544,9927,14276,11631,2151,131,11648,1,14:57,2021,2022
2021-22,1627863,Danuel House Jr.,Danuel,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,24.535,3,7,0.429,1,4,0.25,3,6,0.5,1,2,3,0,0,2,1,0,0,5,10,14,22.6,0,0,20.0,1,13121,13121,13121,12355,12092,12670,13304,8144,7950,11214,4143,1887,10631,6346,13666,12968,18990,16136,1427,2399,1,1,1601,10974,2767,10862,2151,131,11648,1,24:32,2021,2022
2021-22,201144,Mike Conley,Mike,1610612762,UTA,Utah Jazz,22101210,2022-04-08T00:00:00,UTA vs. PHX,L,33.983333333333334,4,13,0.308,3,9,0.333,2,4,0.5,0,2,2,8,2,1,1,0,4,3,13,-5,31.4,0,0,30.0,1,13121,13121,13121,4360,9264,4902,18855,2174,1120,8533,6073,3790,10631,13184,13666,16419,904,4151,4518,2399,1,22177,4544,8057,17172,6000,2151,131,5928,1,33:59,2021,2022
