season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away,MON
2018-19,1610612752,NYK,New York Knicks,21801223,2019-04-10,NYK vs. DET,L,48.0,31,77,0.403,9,30,0.3,18,25,0.72,4,29,33,23,11.0,7,5,2,17,23,89,-26.0,1,1231,1231,1231,135,2380,2334,2122,1643,1381,1804,1059,868,1684,2360,2035,2375,1394,444,1203,917,146,376,640,2354,2354,1,2018,2019,True,NYK,DET,APR
2018-19,1610612752,NYK,New York Knicks,21801213,2019-04-09,NYK @ CHI,W,48.0,37,93,0.398,14,40,0.35,8,13,0.615,11,50,61,17,9.0,0,10,4,16,18,96,10.0,1,1,1,1,135,1858,626,2174,462,297,1249,2329,2234,2274,868,6,23,2279,176,2459,53,731,244,1725,2143,533,1,2018,2019,False,CHI,NYK,APR
2018-19,1610612752,NYK,New York Knicks,21801204,2019-04-07,NYK vs. WAS,W,48.0,41,80,0.513,17,34,0.5,14,19,0.737,7,36,43,24,15.0,5,9,4,14,16,113,3.0,1,1,1,1,135,1130,2193,407,166,839,101,1662,1661,1534,1881,921,1431,1208,1390,1855,112,731,80,2086,1031,1039,1,2018,2019,True,NYK,WAS,APR
2018-19,1610612752,NYK,New York Knicks,21801184,2019-04-05,NYK @ HOU,L,48.0,37,82,0.451,6,27,0.222,16,27,0.593,5,48,53,22,16.0,3,6,2,17,21,96,-24.0,1,1231,1231,1231,135,1858,2042,1395,2272,1753,2313,1367,661,2332,2251,20,267,1558,1614,2301,603,146,376,1044,2143,2323,1,2018,2019,False,HOU,NYK,APR
2018-19,1610612752,NYK,New York Knicks,21801166,2019-04-03,NYK @ ORL,L,48.0,38,85,0.447,6,27,0.222,18,21,0.857,8,31,39,21,12.0,10,5,7,18,16,100,-14.0,1,1231,1231,1231,135,1678,1733,1471,2272,1753,2313,1059,1374,451,1623,1769,1966,1752,636,409,917,1859,534,2086,1961,2044,1,2018,2019,False,ORL,NYK,APR
2018-19,1610612752,NYK,New York Knicks,21801155,2019-04-01,NYK vs. CHI,W,48.0,37,74,0.5,18,38,0.474,21,25,0.84,6,38,44,24,17.0,2,9,2,18,18,113,8.0,1,1,1,1,135,1858,2408,535,106,448,218,624,868,607,2090,610,1283,1208,1809,2400,112,146,534,1725,1031,674,1,2018,2019,True,NYK,CHI,APR
2018-19,1610612752,NYK,New York Knicks,21801141,2019-03-30,NYK vs. MIA,L,48.0,31,77,0.403,9,38,0.237,21,25,0.84,8,34,42,20,20.0,10,7,3,16,21,92,-8.0,1,1231,1231,1231,135,2380,2334,2122,1643,448,2259,624,868,607,1623,1276,1591,1924,2247,409,371,393,244,1044,2283,1711,1,2018,2019,True,NYK,MIA,MAR
2018-19,1610612752,NYK,New York Knicks,21801125,2019-03-28,NYK vs. TOR,L,48.0,31,85,0.365,6,26,0.231,24,32,0.75,14,40,54,16,17.0,3,5,6,22,28,92,-25.0,1,1231,1231,1231,135,2380,1733,2382,2272,1883,2282,331,268,1379,356,366,211,2339,1809,2301,917,1545,1418,115,2283,2336,1,2018,2019,True,NYK,TOR,MAR
2018-19,1610612752,NYK,New York Knicks,21801095,2019-03-24,NYK vs. LAC,L,48.0,41,86,0.477,9,33,0.273,22,25,0.88,13,31,44,22,15.0,5,7,4,24,19,113,-11.0,1,1231,1231,1231,135,1130,1579,903,1643,972,2038,510,868,311,499,1769,1283,1558,1390,1855,371,731,1822,1522,1031,1929,1,2018,2019,True,NYK,LAC,MAR
2018-19,1610612752,NYK,New York Knicks,21801082,2019-03-22,NYK vs. DEN,L,48.0,34,90,0.378,9,32,0.281,16,21,0.762,8,37,45,20,7.0,3,5,5,15,15,93,-18.0,1,1231,1231,1231,135,2234,1047,2328,1643,1124,1975,1367,1374,1309,1623,752,1165,1924,35,2301,917,1133,151,2218,2260,2188,1,2018,2019,True,NYK,DEN,MAR
2018-19,1610612752,NYK,New York Knicks,21801068,2019-03-20,NYK vs. UTA,L,48.0,45,86,0.523,13,31,0.419,13,21,0.619,8,32,40,23,14.0,6,6,3,21,18,116,-21.0,1,1231,1231,1231,135,478,1579,320,646,1256,526,1821,1374,2262,1623,1616,1847,1394,1135,1543,603,393,1167,1725,801,2265,1,2018,2019,True,NYK,UTA,MAR
2018-19,1610612752,NYK,New York Knicks,21801053,2019-03-18,NYK @ TOR,L,48.0,28,85,0.329,8,35,0.229,28,32,0.875,7,29,36,16,14.0,8,4,6,18,22,92,-36.0,1,1231,1231,1231,135,2443,1733,2443,1907,728,2296,114,268,327,1881,2035,2231,2339,1135,870,1329,1545,534,823,2283,2437,1,2018,2019,False,TOR,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21801042,2019-03-17,NYK vs. LAL,W,48.0,44,76,0.579,12,26,0.462,24,29,0.828,10,35,45,24,24.0,4,5,5,26,21,124,1.0,1,1,1,1,135,610,2368,36,864,1883,267,331,465,711,1108,1101,1165,1208,2420,2133,917,1133,2099,1044,360,1176,2,2018,2019,True,NYK,LAL,MAR
2018-19,1610612752,NYK,New York Knicks,21801032,2019-03-15,NYK @ SAS,L,48.0,35,86,0.407,8,20,0.4,5,9,0.556,9,32,41,21,16.0,6,4,6,13,13,83,-26.0,1,1231,1231,1231,135,2135,1579,2083,1907,2355,673,2433,2401,2397,1362,1616,1720,1752,1614,1543,1329,1545,40,2382,2439,2354,2,2018,2019,False,SAS,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21801007,2019-03-12,NYK @ IND,L,48.0,35,80,0.438,13,28,0.464,15,18,0.833,8,40,48,22,19.0,4,5,3,23,22,98,-5.0,1,1231,1231,1231,135,2135,2193,1643,646,1645,261,1513,1774,633,1623,366,771,1558,2147,2133,917,393,1639,823,2065,1485,1,2018,2019,False,IND,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21800998,2019-03-10,NYK @ MIN,L,48.0,37,86,0.43,10,25,0.4,8,14,0.571,10,33,43,20,19.0,5,8,10,14,16,92,-11.0,1,1231,1231,1231,135,1858,1579,1759,1372,1990,673,2329,2157,2373,1108,1450,1431,1924,2147,1855,223,2350,80,2086,2283,1929,1,2018,2019,False,MIN,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21800986,2019-03-09,NYK vs. SAC,L,48.0,35,94,0.372,10,35,0.286,14,21,0.667,13,45,58,16,10.0,3,5,3,20,14,94,-8.0,1,1231,1231,1231,135,2135,515,2352,1372,728,1937,1662,1374,2021,499,75,63,2339,290,2301,917,393,940,2311,2235,1711,1,2018,2019,True,NYK,SAC,MAR
2018-19,1610612752,NYK,New York Knicks,21800972,2019-03-06,NYK @ PHX,L,48.0,35,77,0.455,6,15,0.4,20,25,0.8,8,38,46,17,22.0,6,7,9,23,25,96,-11.0,1,1231,1231,1231,135,2135,2334,1324,2272,2454,673,752,868,916,1623,610,1019,2279,2362,1543,371,2239,1639,363,2143,1929,1,2018,2019,False,PHX,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21800957,2019-03-04,NYK @ SAC,L,48.0,39,85,0.459,12,29,0.414,18,28,0.643,10,38,48,17,18.0,8,5,3,25,24,108,-7.0,1,1231,1231,1231,135,1496,1733,1254,864,1510,566,1059,571,2171,1108,610,771,2279,2005,870,917,393,1976,486,1439,1631,1,2018,2019,False,SAC,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21800947,2019-03-03,NYK @ LAC,L,48.0,35,88,0.398,11,29,0.379,26,34,0.765,9,37,46,23,13.0,9,9,4,19,28,107,-21.0,1,1231,1231,1231,135,2135,1301,2180,1110,1510,921,195,167,1282,1362,752,1019,1394,890,615,112,731,737,115,1514,2265,1,2018,2019,False,LAC,NYK,MAR
2018-19,1610612752,NYK,New York Knicks,21800924,2019-02-28,NYK vs. CLE,L,48.0,46,95,0.484,11,32,0.344,15,23,0.652,14,26,40,26,10.0,4,3,3,28,20,118,-7.0,1,1231,1231,1231,135,360,432,767,1110,1124,1335,1513,1111,2126,356,2331,1847,858,290,2133,1731,393,2291,1295,669,1631,1,2018,2019,True,NYK,CLE,FEB
2018-19,1610612752,NYK,New York Knicks,21800908,2019-02-26,NYK vs. ORL,W,48.0,38,89,0.427,7,24,0.292,25,32,0.781,14,37,51,17,10.0,11,7,7,15,21,108,5.0,1,1,1,1,135,1678,1163,1819,2102,2090,1888,261,268,1141,356,752,426,2279,290,246,371,1859,151,1044,1439,896,1,2018,2019,True,NYK,ORL,FEB
2018-19,1610612752,NYK,New York Knicks,21800896,2019-02-24,NYK vs. SAS,W,48.0,50,98,0.51,16,37,0.432,14,19,0.737,12,37,49,25,7.0,3,7,4,27,20,130,12.0,1,1,1,1,135,89,232,450,225,534,436,1662,1661,1534,649,752,628,1018,35,2301,371,731,2208,1295,159,454,1,2018,2019,True,NYK,SAS,FEB
2018-19,1610612752,NYK,New York Knicks,21800878,2019-02-22,NYK vs. MIN,L,48.0,37,86,0.43,11,29,0.379,19,24,0.792,8,39,47,15,23.0,9,8,8,22,20,104,-11.0,1,1231,1231,1231,135,1858,1579,1759,1110,1510,921,903,975,1022,1623,482,893,2392,2399,615,223,2091,1418,1295,1729,1929,1,2018,2019,True,NYK,MIN,FEB
2018-19,1610612752,NYK,New York Knicks,21800865,2019-02-14,NYK @ ATL,W,48.0,38,84,0.452,12,31,0.387,18,26,0.692,11,41,52,21,14.0,9,9,4,22,24,106,15.0,1,1,1,1,135,1678,1858,1372,864,1256,836,1059,760,1909,868,288,340,1752,1135,615,112,731,1418,486,1598,351,1,2018,2019,False,ATL,NYK,FEB
2018-19,1610612752,NYK,New York Knicks,21800856,2019-02-13,NYK vs. PHI,L,48.0,40,100,0.4,9,29,0.31,22,27,0.815,14,29,43,27,12.0,8,4,7,27,24,111,-15.0,1,1231,1231,1231,135,1319,153,2152,1643,1510,1708,510,661,804,356,2035,1431,696,636,870,1329,1859,2208,486,1214,2080,1,2018,2019,True,NYK,PHI,FEB
2018-19,1610612752,NYK,New York Knicks,21800839,2019-02-11,NYK @ CLE,L,48.0,42,92,0.457,7,26,0.269,13,20,0.65,10,36,46,21,10.0,8,9,2,17,16,104,-3.0,1,1231,1231,1231,135,929,755,1298,2102,1883,2070,1821,1526,2137,1108,921,1019,1752,290,870,112,146,376,2086,1729,1359,1,2018,2019,False,CLE,NYK,FEB
2018-19,1610612752,NYK,New York Knicks,21800828,2019-02-09,NYK vs. TOR,L,48.0,39,94,0.415,10,25,0.4,11,19,0.579,15,42,57,22,15.0,9,4,5,26,15,99,-5.0,1,1231,1231,1231,135,1496,515,1992,1372,1990,673,2083,1661,2362,239,201,83,1558,1390,615,1329,1133,2099,2218,2012,1485,1,2018,2019,True,NYK,TOR,FEB
2018-19,1610612752,NYK,New York Knicks,21800817,2019-02-08,NYK @ DET,L,48.0,35,78,0.449,7,22,0.318,26,41,0.634,10,29,39,22,13.0,6,5,6,23,27,103,-17.0,1,1231,1231,1231,135,2135,2303,1443,2102,2256,1629,195,31,2215,1108,2035,1966,1558,890,1543,917,1545,1639,171,1796,2159,1,2018,2019,False,DET,NYK,FEB
2018-19,1610612752,NYK,New York Knicks,21800799,2019-02-05,NYK vs. DET,L,48.0,36,90,0.4,9,33,0.273,11,15,0.733,13,31,44,17,11.0,5,4,7,23,21,92,-13.0,1,1231,1231,1231,135,2005,1047,2152,1643,972,2038,2083,2083,1572,499,1769,1283,2279,444,1855,1329,1859,1639,1044,2283,2008,1,2018,2019,True,NYK,DET,FEB
2018-19,1610612752,NYK,New York Knicks,21800787,2019-02-03,NYK vs. MEM,L,48.0,28,74,0.378,12,40,0.3,16,22,0.727,6,39,45,20,15.0,4,6,4,16,20,84,-12.0,1,1231,1231,1231,135,2443,2408,2325,864,297,1804,1367,1235,1616,2090,482,1165,1924,1390,2133,603,731,244,1295,2433,1969,1,2018,2019,True,NYK,MEM,FEB
2018-19,1610612752,NYK,New York Knicks,21800771,2019-02-01,NYK vs. BOS,L,48.0,39,86,0.453,9,31,0.29,12,12,1.0,8,40,48,21,18.0,2,2,7,15,18,99,-14.0,1,1231,1231,1231,135,1496,1579,1350,1643,1256,1903,1967,2287,1,1623,366,771,1752,2005,2400,2069,1859,151,1725,2012,2044,1,2018,2019,True,NYK,BOS,FEB
2018-19,1610612752,NYK,New York Knicks,21800758,2019-01-30,NYK vs. DAL,L,48.0,32,78,0.41,6,26,0.231,20,28,0.714,5,29,34,16,12.0,10,5,1,15,19,90,-24.0,1,1231,1231,1231,135,2347,2303,2053,2272,1883,2282,752,571,1707,2251,2035,2342,2339,636,409,917,42,151,1522,2333,2323,1,2018,2019,True,NYK,DAL,JAN
2018-19,1610612752,NYK,New York Knicks,21800744,2019-01-28,NYK @ CHA,L,48.0,34,85,0.4,7,23,0.304,17,26,0.654,8,38,46,19,10.0,6,6,10,15,20,92,-9.0,1,1231,1231,1231,135,2234,1733,2152,2102,2180,1769,1201,760,2115,1623,610,1019,2083,290,1543,603,2350,151,1295,2283,1788,1,2018,2019,False,CHA,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800741,2019-01-27,NYK vs. MIA,L,48.0,36,84,0.429,7,26,0.269,18,24,0.75,7,31,38,22,11.0,13,3,5,20,24,97,-9.0,1,1231,1231,1231,135,2005,1858,1787,2102,1883,2070,1059,975,1379,1881,1769,2076,1558,444,76,1731,1133,940,486,2113,1788,1,2018,2019,True,NYK,MIA,JAN
2018-19,1610612752,NYK,New York Knicks,21800721,2019-01-25,NYK @ BKN,L,48.0,37,87,0.425,8,31,0.258,17,26,0.654,6,27,33,17,8.0,12,11,2,31,21,99,-10.0,1,1231,1231,1231,135,1858,1438,1851,1907,1256,2144,1201,760,2115,2090,2244,2375,2279,96,149,20,146,2420,1044,2012,1865,1,2018,2019,False,BKN,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800710,2019-01-23,NYK vs. HOU,L,48.0,37,81,0.457,11,30,0.367,25,30,0.833,10,38,48,15,19.0,5,7,10,23,25,110,-4.0,1,1231,1231,1231,135,1858,2127,1295,1110,1381,1049,261,387,633,1108,610,771,2392,2147,1855,371,2350,1639,363,1300,1423,1,2018,2019,True,NYK,HOU,JAN
2018-19,1610612752,NYK,New York Knicks,21800691,2019-01-21,NYK vs. OKC,L,48.0,39,87,0.448,7,23,0.304,24,32,0.75,11,25,36,25,12.0,8,3,2,23,31,109,-18.0,1,1231,1231,1231,135,1496,1438,1448,2102,2180,1769,331,268,1379,868,2370,2231,1018,636,870,1731,146,1639,23,1374,2188,1,2018,2019,True,NYK,OKC,JAN
2018-19,1610612752,NYK,New York Knicks,21800665,2019-01-17,NYK @ WAS,L,48.0,39,87,0.448,12,29,0.414,10,12,0.833,6,36,42,15,16.0,6,3,2,16,10,100,-1.0,1,1231,1231,1231,135,1496,1438,1448,864,1510,566,2177,2287,633,2090,921,1591,2392,1614,1543,1731,146,244,2451,1961,1231,1,2018,2019,False,WAS,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800638,2019-01-13,NYK vs. PHI,L,48.0,37,86,0.43,10,31,0.323,21,30,0.7,7,27,34,24,10.0,8,5,9,21,21,105,-3.0,1,1231,1231,1231,135,1858,1579,1759,1372,1256,1563,624,387,1842,1881,2244,2342,1208,290,870,917,2239,1167,1044,1659,1359,1,2018,2019,True,NYK,PHI,JAN
2018-19,1610612752,NYK,New York Knicks,21800623,2019-01-11,NYK vs. IND,L,48.0,39,88,0.443,14,39,0.359,14,16,0.875,8,29,37,22,17.0,8,5,1,18,15,106,-15.0,1,1231,1231,1231,135,1496,1301,1532,462,368,1160,1662,1994,327,1623,2035,2159,1558,1809,870,917,42,534,2218,1598,2080,1,2018,2019,True,NYK,IND,JAN
2018-19,1610612752,NYK,New York Knicks,21800605,2019-01-08,NYK @ GSW,L,48.0,35,88,0.398,6,24,0.25,19,21,0.905,9,30,39,13,17.0,11,1,10,12,14,95,-27.0,1,1231,1231,1231,135,2135,1301,2180,2272,2090,2175,903,1374,199,1362,1905,1966,2441,1809,246,2316,2350,23,2311,2191,2365,1,2018,2019,False,GSW,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800597,2019-01-07,NYK @ POR,L,48.0,36,89,0.404,7,23,0.304,22,27,0.815,14,34,48,18,11.0,9,2,5,19,21,101,-10.0,1,1231,1231,1231,135,2005,1163,2108,2102,2180,1769,510,661,804,356,1276,771,2185,444,615,2069,1133,737,1044,1908,1865,1,2018,2019,False,POR,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800574,2019-01-04,NYK @ LAL,W,48.0,37,99,0.374,11,37,0.297,34,41,0.829,13,43,56,20,6.0,12,4,7,20,27,119,7.0,1,1,1,1,135,1858,189,2346,1110,534,1828,14,31,707,499,151,119,1924,18,149,1329,1859,940,171,617,751,1,2018,2019,False,LAL,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800551,2019-01-01,NYK @ DEN,L,48.0,42,93,0.452,11,27,0.407,13,18,0.722,15,28,43,28,9.0,4,3,6,21,19,108,-7.0,1,1231,1231,1231,135,929,626,1381,1110,1753,627,1821,1774,1660,239,2150,1431,535,176,2133,1731,1545,1167,1522,1439,1631,1,2018,2019,False,DEN,NYK,JAN
2018-19,1610612752,NYK,New York Knicks,21800532,2018-12-29,NYK @ UTA,L,48.0,32,86,0.372,15,32,0.469,18,22,0.818,8,27,35,17,15.0,10,1,6,19,27,97,-32.0,1,1231,1231,1231,135,2347,1579,2355,336,1124,240,1059,1235,771,1623,2244,2295,2279,1390,409,2316,1545,737,171,2113,2417,1,2018,2019,False,UTA,NYK,DEC
2018-19,1610612752,NYK,New York Knicks,21800513,2018-12-27,NYK @ MIL,L,48.0,36,97,0.371,13,31,0.419,11,16,0.688,10,33,43,21,10.0,8,6,11,20,14,96,-16.0,1,1231,1231,1231,135,2005,293,2359,646,1256,526,2083,1994,1936,1108,1450,1431,1752,290,870,603,2409,940,2311,2143,2111,1,2018,2019,False,MIL,NYK,DEC
2018-19,1610612752,NYK,New York Knicks,21800497,2018-12-25,NYK vs. MIL,L,48.0,35,97,0.361,8,29,0.276,17,21,0.81,15,42,57,17,14.0,4,3,8,25,19,95,-14.0,1,1231,1231,1231,135,2135,293,2397,1907,1510,2022,1201,1374,857,239,201,83,2279,1135,2133,1731,2091,1976,1522,2191,2044,1,2018,2019,True,NYK,MIL,DEC
2018-19,1610612752,NYK,New York Knicks,21800472,2018-12-21,NYK vs. ATL,L,48.0,41,84,0.488,8,27,0.296,17,24,0.708,4,31,35,20,13.0,8,3,1,22,18,107,-7.0,1,1231,1231,1231,135,1130,1858,729,1907,1753,1839,1201,975,1772,2360,1769,2295,1924,890,870,1731,42,1418,1725,1514,1631,1,2018,2019,True,NYK,ATL,DEC
2018-19,1610612752,NYK,New York Knicks,21800457,2018-12-19,NYK @ PHI,L,48.0,37,86,0.43,10,31,0.323,25,31,0.806,4,31,35,22,8.0,2,2,4,19,22,109,-22.0,1,1231,1231,1231,135,1858,1579,1759,1372,1256,1563,261,330,898,2360,1769,2295,1558,96,2400,2069,731,737,823,1374,2288,1,2018,2019,False,PHI,NYK,DEC
