season,season_start,season_end,award,team_rank,player,player_id,position,lg,voting,age,tm,g,mp,pts,trb,ast,stl,blk,fgpct,3ppct,ftpct,ws,ws_48,9999,coach,w,l,w_lpct,games
2024-25,2024,2025,all_defense_teams,1st,Dyson Daniels,daniedy01,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_defense_teams,2nd,Toumani Camara,camarto01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_defense_teams,1st,Rudy Gobert,goberru01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_defense_teams,2nd,Alex Caruso,carusal01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_defense_teams,1st,Alex Caruso,carusal01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_defense_teams,2nd,Bam Adebayo,adebaba01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_defense_teams,1st,Giannis Antetokounmpo,antetgi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_defense_teams,2nd,Bam Adebayo,adebaba01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_defense_teams,1st,Rudy Gobert,goberru01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_defense_teams,2nd,Bam Adebayo,adebaba01,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_defense_teams,1st,Giannis Antetokounmpo,antetgi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_defense_teams,2nd,Kawhi Leonard,leonaka01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_defense_teams,1st,Rudy Gobert,goberru01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_defense_teams,2nd,Jrue Holiday,holidjr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_defense_teams,1st,Rudy Gobert,goberru01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_defense_teams,2nd,Joel Embiid,embiijo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_defense_teams,1st,Kawhi Leonard,leonaka01,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_defense_teams,2nd,Tony Allen,allento01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_defense_teams,1st,Kawhi Leonard,leonaka01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_defense_teams,2nd,Paul Millsap,millspa02,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_defense_teams,1st,Kawhi Leonard,leonaka01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_defense_teams,2nd,Anthony Davis,davisan01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_defense_teams,1st,Joakim Noah,noahjo010,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_defense_teams,2nd,LeBron James,jamesle01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_defense_teams,1st,Tony Allen,allento01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_defense_teams,2nd,Avery Bradley,bradlav01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_defense_teams,1st,Tony Allen,allento01,,NBA,,,,,,,,,,,,,,,,,,,,,
