season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2011-12,NBA,LeBron James,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,,mvp_raw,2011,2012
2010-11,NBA,Derrick Rose,22,CHI,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208,,mvp_raw,2010,2011
2009-10,NBA,LeBron James,25,CLE,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299,,mvp_raw,2009,2010
2008-09,NBA,LeBron James,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,,mvp_raw,2008,2009
2007-08,NBA,Kobe Bryant,29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,,mvp_raw,2007,2008
2006-07,NBA,Dirk Nowitzki,28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,,mvp_raw,2006,2007
2005-06,NBA,Steve Nash,31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,,mvp_raw,2005,2006
2004-05,NBA,Steve Nash,30,PHO,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,,mvp_raw,2004,2005
2003-04,NBA,Kevin Garnett,27,MIN,82,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272,,mvp_raw,2003,2004
2002-03,NBA,Tim Duncan,26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,,mvp_raw,2002,2003
2001-02,NBA,Tim Duncan,25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,,mvp_raw,2001,2002
2000-01,NBA,Allen Iverson,25,PHI,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,,mvp_raw,2000,2001
1999-00,NBA,Shaquille O'Neal,27,LAL,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283,,mvp_raw,1999,2000
1998-99,NBA,Karl Malone,35,UTA,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0.0,0.788,9.6,0.252,,mvp_raw,1998,1999
1997-98,NBA,Michael Jordan,34,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,,mvp_raw,1997,1998
1996-97,NBA,Karl Malone,33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,16.7,0.268,,mvp_raw,1996,1997
1995-96,NBA,Michael Jordan,32,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,,mvp_raw,1995,1996
1994-95,NBA,David Robinson,29,SAS,81,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,,mvp_raw,1994,1995
1993-94,NBA,Hakeem Olajuwon,31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,,mvp_raw,1993,1994
1992-93,NBA,Charles Barkley,29,PHO,76,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4,0.242,,mvp_raw,1992,1993
1991-92,NBA,Michael Jordan,28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,,mvp_raw,1991,1992
1990-91,NBA,Michael Jordan,27,CHI,82,37.0,31.5,6.0,5.5,2.7,1.0,0.539,0.312,0.851,20.3,0.321,,mvp_raw,1990,1991
1989-90,NBA,Magic Johnson,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,,mvp_raw,1989,1990
1988-89,NBA,Magic Johnson,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,,mvp_raw,1988,1989
1987-88,NBA,Michael Jordan,24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,,mvp_raw,1987,1988
1986-87,NBA,Magic Johnson,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,,mvp_raw,1986,1987
1985-86,NBA,Larry Bird,29,BOS,82,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.896,15.8,0.244,,mvp_raw,1985,1986
1984-85,NBA,Larry Bird,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,,mvp_raw,1984,1985
1983-84,NBA,Larry Bird,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,,mvp_raw,1983,1984
1982-83,NBA,Moses Malone,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2.0,0.501,0.0,0.761,15.1,0.248,,mvp_raw,1982,1983
1981-82,NBA,Moses Malone,26,HOU,81,42.0,31.1,14.7,1.8,0.9,1.5,0.519,0.0,0.762,15.4,0.218,,mvp_raw,1981,1982
1980-81,NBA,Julius Erving,30,PHI,82,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,,mvp_raw,1980,1981
1979-80,NBA,Kareem Abdul-Jabbar,32,LAL,82,38.3,24.8,10.8,4.5,1.0,3.4,0.604,0.0,0.765,14.8,0.227,,mvp_raw,1979,1980
1978-79,NBA,Moses Malone,23,HOU,82,41.3,24.8,17.6,1.8,1.0,1.5,0.54,,0.739,14.1,0.2,,mvp_raw,1978,1979
1977-78,NBA,Bill Walton,25,POR,58,33.3,18.9,13.2,5.0,1.0,2.5,0.522,,0.72,8.4,0.209,,mvp_raw,1977,1978
1976-77,NBA,Kareem Abdul-Jabbar,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283,,mvp_raw,1976,1977
1975-76,NBA,Kareem Abdul-Jabbar,28,LAL,82,41.2,27.7,16.9,5.0,1.5,4.1,0.529,,0.703,17.0,0.242,,mvp_raw,1975,1976
1974-75,NBA,Bob McAdoo,23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242,,mvp_raw,1974,1975
1973-74,NBA,Kareem Abdul-Jabbar,26,MIL,81,43.8,27.0,14.5,4.8,1.4,3.5,0.539,,0.702,18.4,0.25,,mvp_raw,1973,1974
1972-73,NBA,Dave Cowens,24,BOS,82,41.8,20.5,16.2,4.1,,,0.452,,0.779,12.0,0.168,,mvp_raw,1972,1973
1971-72,NBA,Kareem Abdul-Jabbar,24,MIL,81,44.2,34.8,16.6,4.6,,,0.574,,0.689,25.4,0.34,,mvp_raw,1971,1972
1970-71,NBA,Kareem Abdul-Jabbar,23,MIL,82,40.1,31.7,16.0,3.3,,,0.577,,0.69,22.3,0.326,,mvp_raw,1970,1971
1969-70,NBA,Willis Reed,27,NYK,81,38.1,21.7,13.9,2.0,,,0.507,,0.756,14.6,0.227,,mvp_raw,1969,1970
1968-69,NBA,Wes Unseld,22,BAL,82,36.2,13.8,18.2,2.6,,,0.476,,0.605,10.8,0.175,,mvp_raw,1968,1969
1967-68,NBA,Wilt Chamberlain,31,PHI,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255,,mvp_raw,1967,1968
1966-67,NBA,Wilt Chamberlain,30,PHI,81,45.5,24.1,24.2,7.8,,,0.683,,0.441,21.9,0.285,,mvp_raw,1966,1967
1965-66,NBA,Wilt Chamberlain,29,PHI,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275,,mvp_raw,1965,1966
1964-65,NBA,Bill Russell,30,BOS,78,44.4,14.1,24.1,5.3,,,0.438,,0.573,16.9,0.233,,mvp_raw,1964,1965
1963-64,NBA,Oscar Robertson,25,CIN,79,45.1,31.4,9.9,11.0,,,0.483,,0.853,20.6,0.278,,mvp_raw,1963,1964
1962-63,NBA,Bill Russell,28,BOS,78,44.9,16.8,23.6,4.5,,,0.432,,0.555,13.5,0.185,,mvp_raw,1962,1963
1961-62,NBA,Bill Russell,27,BOS,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217,,mvp_raw,1961,1962
1960-61,NBA,Bill Russell,26,BOS,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13.0,0.181,,mvp_raw,1960,1961
1959-60,NBA,Wilt Chamberlain,23,PHW,72,46.4,37.6,27.0,2.3,,,0.461,,0.582,17.0,0.245,,mvp_raw,1959,1960
1958-59,NBA,Bob Pettit,26,STL,72,39.9,29.2,16.4,3.1,,,0.438,,0.759,14.8,0.246,,mvp_raw,1958,1959
1957-58,NBA,Bill Russell,23,BOS,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.206,,mvp_raw,1957,1958
1956-57,NBA,Bob Cousy,28,BOS,64,36.9,20.6,4.8,7.5,,,0.378,,0.821,8.8,0.178,,mvp_raw,1956,1957
1955-56,NBA,Bob Pettit,23,STL,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.236,,mvp_raw,1955,1956
