season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2024-25,NBA,Stephon Castle,20,SAS,81,26.7,14.7,3.7,4.1,0.9,0.3,0.428,0.285,0.724,1.1,0.025,,roty,2024,2025
2023-24,NBA,Victor Wembanyama,20,SAS,71,29.7,21.4,10.6,3.9,1.2,3.6,0.465,0.325,0.796,3.7,0.085,,roty,2023,2024
2022-23,NBA,Paolo Banchero,20,ORL,72,33.8,20.0,6.9,3.7,0.8,0.5,0.427,0.298,0.738,2.4,0.047,,roty,2022,2023
2021-22,NBA,Scottie Barnes,20,TOR,74,35.4,15.3,7.5,3.5,1.1,0.7,0.492,0.301,0.735,6.6,0.122,,roty,2021,2022
2020-21,NBA,LaMelo Ball,19,CHO,51,28.8,15.7,5.9,6.1,1.6,0.4,0.436,0.352,0.758,2.8,0.093,,roty,2020,2021
2019-20,NBA,Ja Morant,20,MEM,67,31.0,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,3.8,0.088,,roty,2019,2020
2018-19,NBA,Luka Dončić,19,DAL,72,32.2,21.2,7.8,6.0,1.1,0.3,0.427,0.327,0.713,4.9,0.101,,roty,2018,2019
2017-18,NBA,Ben Simmons,21,PHI,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0.0,0.56,9.2,0.162,,roty,2017,2018
2016-17,NBA,Malcolm Brogdon,24,MIL,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,,roty,2016,2017
2015-16,NBA,Karl-Anthony Towns,20,MIN,82,32.0,18.3,10.5,2.0,0.7,1.7,0.542,0.341,0.811,8.3,0.151,,roty,2015,2016
2014-15,NBA,Andrew Wiggins,19,MIN,82,36.2,16.9,4.6,2.1,1.0,0.6,0.437,0.31,0.76,2.1,0.034,,roty,2014,2015
2013-14,NBA,Michael Carter-Williams,22,PHI,70,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026,,roty,2013,2014
2012-13,NBA,Damian Lillard,22,POR,82,38.6,19.0,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,,roty,2012,2013
2011-12,NBA,Kyrie Irving,19,CLE,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,,roty,2011,2012
2010-11,NBA,Blake Griffin,21,LAC,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,,roty,2010,2011
2009-10,NBA,Tyreke Evans,20,SAC,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,,roty,2009,2010
2008-09,NBA,Derrick Rose,20,CHI,81,37.0,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,,roty,2008,2009
2007-08,NBA,Kevin Durant,19,SEA,80,34.6,20.3,4.4,2.4,1.0,0.9,0.43,0.288,0.873,2.3,0.04,,roty,2007,2008
2006-07,NBA,Brandon Roy,22,POR,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114,,roty,2006,2007
2005-06,NBA,Chris Paul,20,NOK,78,36.0,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178,,roty,2005,2006
2004-05,NBA,Emeka Okafor,22,CHA,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0.0,0.609,4.0,0.074,,roty,2004,2005
2003-04,NBA,LeBron James,19,CLE,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,,roty,2003,2004
2002-03,NBA,Amar'e Stoudemire,20,PHO,82,31.3,13.5,8.8,1.0,0.8,1.1,0.472,0.2,0.661,6.2,0.116,,roty,2002,2003
2001-02,NBA,Pau Gasol,21,MEM,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,,roty,2001,2002
2000-01,NBA,Mike Miller,20,ORL,82,29.1,11.9,4.0,1.7,0.6,0.2,0.436,0.407,0.711,5.3,0.106,,roty,2000,2001
1999-00,NBA,Steve Francis (Tie),22,HOU,77,36.1,18.0,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111,,roty,1999,2000
1999-00,NBA,Elton Brand (Tie),20,CHI,81,37.0,20.1,10.0,1.9,0.8,1.6,0.482,0.0,0.685,7.5,0.121,,roty,1999,2000
1998-99,NBA,Vince Carter,22,TOR,50,35.2,18.3,5.7,3.0,1.1,1.5,0.45,0.288,0.761,5.0,0.136,,roty,1998,1999
1997-98,NBA,Tim Duncan,21,SAS,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,12.8,0.192,,roty,1997,1998
1996-97,NBA,Allen Iverson,21,PHI,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,,roty,1996,1997
1995-96,NBA,Damon Stoudamire,22,TOR,70,40.9,19.0,4.0,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072,,roty,1995,1996
1994-95,NBA,Jason Kidd (Tie),21,DAL,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,,roty,1994,1995
1994-95,NBA,Grant Hill (Tie),22,DET,70,38.3,19.9,6.4,5.0,1.8,0.9,0.477,0.148,0.732,5.4,0.097,,roty,1994,1995
1993-94,NBA,Chris Webber,20,GSW,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0.0,0.532,7.8,0.154,,roty,1993,1994
1992-93,NBA,Shaquille O'Neal,20,ORL,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.592,10.4,0.163,,roty,1992,1993
1991-92,NBA,Larry Johnson,22,CHH,82,37.2,19.2,11.0,3.6,1.0,0.6,0.49,0.227,0.829,8.9,0.14,,roty,1991,1992
1990-91,NBA,Derrick Coleman,23,NJN,74,35.2,18.4,10.3,2.2,1.0,1.3,0.467,0.342,0.731,5.8,0.108,,roty,1990,1991
1989-90,NBA,David Robinson,24,SAS,82,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,15.1,0.241,,roty,1989,1990
1988-89,NBA,Mitch Richmond,23,GSW,79,34.4,22.0,5.9,4.2,1.0,0.2,0.468,0.367,0.81,5.6,0.098,,roty,1988,1989
