season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2024-25,NBA,Evan Mobley,23,CLE,71,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37,0.725,9.0,0.2,,dpoy,2024,2025
2023-24,NBA,Rudy Gobert,31,MIN,76,34.1,14.0,12.9,1.3,0.7,2.1,0.661,0.0,0.638,11.6,0.216,,dpoy,2023,2024
2022-23,NBA,Jaren Jackson Jr.,23,MEM,63,28.4,18.6,6.8,1.0,1.0,3.0,0.506,0.355,0.788,6.6,0.177,,dpoy,2022,2023
2021-22,NBA,Marcus Smart,27,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,0.418,0.331,0.793,5.6,0.116,,dpoy,2021,2022
2020-21,NBA,Rudy Gobert,28,UTA,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248,,dpoy,2020,2021
2019-20,NBA,Giannis Antetokounmpo,25,MIL,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,,dpoy,2019,2020
2018-19,NBA,Rudy Gobert,26,UTA,81,31.8,15.9,12.9,2.0,0.8,2.3,0.669,,0.636,14.4,0.268,,dpoy,2018,2019
2017-18,NBA,Rudy Gobert,25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,,0.682,8.1,0.214,,dpoy,2017,2018
2016-17,NBA,Draymond Green,26,GSW,76,32.5,10.2,7.9,7.0,2.0,1.4,0.418,0.308,0.709,8.2,0.16,,dpoy,2016,2017
2015-16,NBA,Kawhi Leonard,24,SAS,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277,,dpoy,2015,2016
2014-15,NBA,Kawhi Leonard,23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,,dpoy,2014,2015
2013-14,NBA,Joakim Noah,28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19,,dpoy,2013,2014
2012-13,NBA,Marc Gasol,28,MEM,80,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,,dpoy,2012,2013
2011-12,NBA,Tyson Chandler,29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,0.679,0.0,0.689,9.5,0.22,,dpoy,2011,2012
2010-11,NBA,Dwight Howard,25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235,,dpoy,2010,2011
2009-10,NBA,Dwight Howard,24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223,,dpoy,2009,2010
2008-09,NBA,Dwight Howard,23,ORL,79,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234,,dpoy,2008,2009
2007-08,NBA,Kevin Garnett,31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.801,12.9,0.265,,dpoy,2007,2008
2006-07,NBA,Marcus Camby,32,DEN,70,33.8,11.2,11.7,3.2,1.2,3.3,0.473,0.0,0.729,7.6,0.155,,dpoy,2006,2007
2005-06,NBA,Ben Wallace,31,DET,82,35.2,7.3,11.3,1.9,1.8,2.2,0.51,0.0,0.416,10.1,0.168,,dpoy,2005,2006
