season,lg,team,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,award,season_start,season_end
1988-89,NBA,2nd,,,,,,all_defense_teams,1988,1989
1987-88,NBA,1st,,,,,,all_defense_teams,1987,1988
1987-88,NBA,2nd,,,,,,all_defense_teams,1987,1988
1986-87,NBA,1st,,,,,,all_defense_teams,1986,1987
1986-87,NBA,2nd,,,,,,all_defense_teams,1986,1987
1985-86,NBA,1st,,,,,,all_defense_teams,1985,1986
1985-86,NBA,2nd,,,,,,all_defense_teams,1985,1986
1984-85,NBA,1st,,,,,,all_defense_teams,1984,1985
1984-85,NBA,2nd,,,,,,all_defense_teams,1984,1985
1983-84,NBA,1st,,,,,,all_defense_teams,1983,1984
1983-84,NBA,2nd,,,,,,all_defense_teams,1983,1984
1982-83,NBA,1st,,,,,,all_defense_teams,1982,1983
1982-83,NBA,2nd,,,,,,all_defense_teams,1982,1983
1981-82,NBA,1st,,,,,,all_defense_teams,1981,1982
1981-82,NBA,2nd,,,,,,all_defense_teams,1981,1982
1980-81,NBA,1st,,,,,,all_defense_teams,1980,1981
1980-81,NBA,2nd,,,,,,all_defense_teams,1980,1981
1979-80,NBA,1st,,,,,,all_defense_teams,1979,1980
1979-80,NBA,2nd,,,,,,all_defense_teams,1979,1980
1978-79,NBA,1st,,,,,,all_defense_teams,1978,1979
1978-79,NBA,2nd,,,,,,all_defense_teams,1978,1979
1977-78,NBA,1st,,,,,,all_defense_teams,1977,1978
1977-78,NBA,2nd,,,,,,all_defense_teams,1977,1978
1976-77,NBA,1st,,,,,,all_defense_teams,1976,1977
1976-77,NBA,2nd,,,,,,all_defense_teams,1976,1977
1975-76,NBA,1st,,,,,,all_defense_teams,1975,1976
1975-76,NBA,2nd,,,,,,all_defense_teams,1975,1976
1975-76,ABA,1st,,,,,,all_defense_teams,1975,1976
1975-76,ABA,2nd,,,,,,all_defense_teams,1975,1976
1974-75,NBA,1st,,,,,,all_defense_teams,1974,1975
1974-75,NBA,2nd,,,,,,all_defense_teams,1974,1975
1974-75,ABA,1st,,,,,,all_defense_teams,1974,1975
1974-75,ABA,2nd,,,,,,all_defense_teams,1974,1975
1973-74,NBA,1st,,,,,,all_defense_teams,1973,1974
1973-74,NBA,2nd,,,,,,all_defense_teams,1973,1974
1973-74,ABA,1st,,,,,,all_defense_teams,1973,1974
1973-74,ABA,2nd,,,,,,all_defense_teams,1973,1974
1972-73,NBA,1st,,,,,,all_defense_teams,1972,1973
1972-73,NBA,2nd,,,,,,all_defense_teams,1972,1973
1972-73,ABA,1st,,,,,,all_defense_teams,1972,1973
1972-73,ABA,2nd,,,,,,all_defense_teams,1972,1973
1971-72,NBA,1st,,,,,,all_defense_teams,1971,1972
1971-72,NBA,2nd,,,,,,all_defense_teams,1971,1972
1970-71,NBA,1st,,,,,,all_defense_teams,1970,1971
1970-71,NBA,2nd,,,,,,all_defense_teams,1970,1971
1969-70,NBA,1st,,,,,,all_defense_teams,1969,1970
1969-70,NBA,2nd,,,,,,all_defense_teams,1969,1970
1968-69,NBA,1st,,,,,,all_defense_teams,1968,1969
1968-69,NBA,2nd,,,,,,all_defense_teams,1968,1969
