season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2024-25,NBA,Payton Pritchard,27,BOS,80,28.4,14.3,3.8,3.5,0.9,0.2,0.472,0.407,0.845,8.6,0.183,,6oty,2024,2025
2023-24,NBA,Naz Reid,24,MIN,81,24.2,13.5,5.2,1.3,0.8,0.9,0.477,0.414,0.736,4.9,0.12,,6oty,2023,2024
2022-23,NBA,Malcolm Brogdon,30,BOS,67,26.0,14.9,4.2,3.7,0.7,0.3,0.484,0.444,0.87,5.8,0.161,,6oty,2022,2023
2021-22,NBA,Tyler Herro,22,MIA,66,32.6,20.7,5.0,4.0,0.7,0.1,0.447,0.399,0.868,3.8,0.084,,6oty,2021,2022
2020-21,NBA,Jordan Clarkson,28,UTA,68,26.7,18.4,4.0,2.5,0.9,0.1,0.425,0.347,0.896,4.2,0.111,,6oty,2020,2021
2019-20,NBA,Montrezl Harrell,26,LAC,63,27.8,18.6,7.1,1.7,0.6,1.1,0.58,0.0,0.658,7.0,0.191,,6oty,2019,2020
2018-19,NBA,Lou Williams,32,LAC,75,26.6,20.0,3.0,5.4,0.8,0.1,0.425,0.361,0.876,5.1,0.123,,6oty,2018,2019
2017-18,NBA,Lou Williams,31,LAC,79,32.8,22.6,2.5,5.3,1.1,0.2,0.435,0.359,0.88,6.7,0.125,,6oty,2017,2018
2016-17,NBA,Eric Gordon,28,HOU,75,31.0,16.2,2.7,2.5,0.6,0.5,0.406,0.372,0.84,3.8,0.079,,6oty,2016,2017
2015-16,NBA,Jamal Crawford,35,LAC,79,26.9,14.2,1.8,2.3,0.7,0.2,0.404,0.34,0.904,3.3,0.076,,6oty,2015,2016
2014-15,NBA,Lou Williams,28,TOR,80,25.2,15.5,1.9,2.1,1.1,0.1,0.404,0.34,0.861,6.6,0.157,,6oty,2014,2015
2013-14,NBA,Jamal Crawford,33,LAC,69,30.3,18.6,2.3,3.2,0.9,0.2,0.416,0.361,0.866,5.3,0.122,,6oty,2013,2014
2012-13,NBA,J.R. Smith,27,NYK,80,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,,6oty,2012,2013
2011-12,NBA,James Harden,22,OKC,62,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,,6oty,2011,2012
2010-11,NBA,Lamar Odom,31,LAL,82,32.2,14.4,8.7,3.0,0.6,0.7,0.53,0.382,0.675,10.1,0.184,,6oty,2010,2011
2009-10,NBA,Jamal Crawford,29,ATL,79,31.1,18.0,2.5,3.0,0.8,0.2,0.449,0.382,0.857,7.3,0.143,,6oty,2009,2010
2008-09,NBA,Jason Terry,31,DAL,74,33.7,19.6,2.4,3.4,1.3,0.3,0.463,0.366,0.88,7.3,0.14,,6oty,2008,2009
2007-08,NBA,Manu Ginóbili,30,SAS,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,,6oty,2007,2008
2006-07,NBA,Leandro Barbosa,24,PHO,80,32.7,18.1,2.7,4.0,1.2,0.2,0.476,0.434,0.845,8.2,0.151,,6oty,2006,2007
2005-06,NBA,Mike Miller,25,MEM,74,30.6,13.7,5.4,2.7,0.7,0.4,0.466,0.407,0.8,7.4,0.157,,6oty,2005,2006
