season,lg,coach,team_rank,g,w,l,w_lpct,award,season_start,season_end
2024-25,NBA,,cle,82,64,18,0.78,nba_coty,2024,2025
2023-24,NBA,,okc,82,57,25,0.695,nba_coty,2023,2024
2022-23,NBA,,sac,82,48,34,0.585,nba_coty,2022,2023
2021-22,NBA,,pho,82,64,18,0.78,nba_coty,2021,2022
2020-21,NBA,,nyk,72,41,31,0.569,nba_coty,2020,2021
2019-20,NBA,,tor,72,53,19,0.736,nba_coty,2019,2020
2018-19,NBA,,mil,82,60,22,0.732,nba_coty,2018,2019
2017-18,NBA,,tor,82,59,23,0.72,nba_coty,2017,2018
2016-17,NBA,,hou,82,55,27,0.671,nba_coty,2016,2017
2015-16,NBA,,gsw,82,73,9,0.89,nba_coty,2015,2016
2014-15,NBA,,atl,82,60,22,0.732,nba_coty,2014,2015
2013-14,NBA,,sas,82,62,20,0.756,nba_coty,2013,2014
2012-13,NBA,,den,82,57,25,0.695,nba_coty,2012,2013
2011-12,NBA,,sas,66,50,16,0.758,nba_coty,2011,2012
2010-11,NBA,,chi,82,62,20,0.756,nba_coty,2010,2011
2009-10,NBA,,okc,82,50,32,0.61,nba_coty,2009,2010
2008-09,NBA,,cle,82,66,16,0.805,nba_coty,2008,2009
2007-08,NBA,,noh,82,56,26,0.683,nba_coty,2007,2008
2006-07,NBA,,tor,82,47,35,0.573,nba_coty,2006,2007
2005-06,NBA,,dal,82,60,22,0.732,nba_coty,2005,2006
2004-05,NBA,,pho,82,62,20,0.756,nba_coty,2004,2005
2003-04,NBA,,mem,82,50,32,0.61,nba_coty,2003,2004
2002-03,NBA,,sas,82,60,22,0.732,nba_coty,2002,2003
2001-02,NBA,,det,82,50,32,0.61,nba_coty,2001,2002
2000-01,NBA,,phi,82,56,26,0.683,nba_coty,2000,2001
1999-00,NBA,,orl,82,41,41,0.5,nba_coty,1999,2000
1998-99,NBA,,por,50,35,15,0.7,nba_coty,1998,1999
1997-98,NBA,,ind,82,58,24,0.707,nba_coty,1997,1998
1996-97,NBA,,mia,82,61,21,0.744,nba_coty,1996,1997
1995-96,NBA,,chi,82,72,10,0.878,nba_coty,1995,1996
1994-95,NBA,,lal,82,48,34,0.585,nba_coty,1994,1995
1993-94,NBA,,atl,82,57,25,0.695,nba_coty,1993,1994
1992-93,NBA,,nyk,82,60,22,0.732,nba_coty,1992,1993
1991-92,NBA,,gsw,82,55,27,0.671,nba_coty,1991,1992
1990-91,NBA,,hou,82,52,30,0.634,nba_coty,1990,1991
1989-90,NBA,,lal,82,63,19,0.768,nba_coty,1989,1990
1988-89,NBA,,pho,82,55,27,0.671,nba_coty,1988,1989
1987-88,NBA,,den,82,54,28,0.659,nba_coty,1987,1988
1986-87,NBA,,por,82,49,33,0.598,nba_coty,1986,1987
1985-86,NBA,,atl,82,50,32,0.61,nba_coty,1985,1986
1984-85,NBA,,mil,82,59,23,0.72,nba_coty,1984,1985
1983-84,NBA,,uta,82,45,37,0.549,nba_coty,1983,1984
1982-83,NBA,,mil,82,51,31,0.622,nba_coty,1982,1983
1981-82,NBA,,wsb,82,43,39,0.524,nba_coty,1981,1982
1980-81,NBA,,ind,82,44,38,0.537,nba_coty,1980,1981
1979-80,NBA,,bos,82,61,21,0.744,nba_coty,1979,1980
1978-79,NBA,,kck,82,48,34,0.585,nba_coty,1978,1979
1977-78,NBA,,atl,82,41,41,0.5,nba_coty,1977,1978
1976-77,NBA,,hou,82,49,33,0.598,nba_coty,1976,1977
1975-76,NBA,,cle,82,49,33,0.598,nba_coty,1975,1976
1974-75,NBA,,kco,82,44,38,0.537,nba_coty,1974,1975
1973-74,NBA,,det,82,52,30,0.634,nba_coty,1973,1974
1972-73,NBA,,bos,82,68,14,0.829,nba_coty,1972,1973
1971-72,NBA,,lal,82,69,13,0.841,nba_coty,1971,1972
1970-71,NBA,,chi,82,51,31,0.622,nba_coty,1970,1971
1969-70,NBA,,nyk,82,60,22,0.732,nba_coty,1969,1970
1968-69,NBA,,bal,82,57,25,0.695,nba_coty,1968,1969
1967-68,NBA,,stl,82,56,26,0.683,nba_coty,1967,1968
1966-67,NBA,,chi,81,33,48,0.407,nba_coty,1966,1967
1965-66,NBA,,phi,80,55,25,0.688,nba_coty,1965,1966
1964-65,NBA,,bos,80,62,18,0.775,nba_coty,1964,1965
1963-64,NBA,,sfw,80,48,32,0.6,nba_coty,1963,1964
1962-63,NBA,,stl,80,48,32,0.6,nba_coty,1962,1963
