season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,ws,ws_48,-9999,award,season_start,season_end
2024-25,NBA,Dyson Daniels,21,ATL,76,33.8,14.1,5.9,4.4,3.0,0.7,0.493,0.34,0.593,5.0,0.093,,mip,2024,2025
2023-24,NBA,Tyrese Maxey,23,PHI,70,37.5,25.9,3.7,6.2,1.0,0.5,0.45,0.373,0.868,8.1,0.147,,mip,2023,2024
2022-23,NBA,Lauri Markkanen,25,UTA,66,34.4,25.6,8.6,1.9,0.6,0.6,0.499,0.391,0.875,8.2,0.173,,mip,2022,2023
2021-22,NBA,Ja Morant,22,MEM,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,,mip,2021,2022
2020-21,NBA,Julius Randle,26,NYK,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,,mip,2020,2021
2019-20,NBA,Brandon Ingram,22,NOP,62,33.9,23.8,6.1,4.2,1.0,0.6,0.463,0.391,0.851,5.1,0.115,,mip,2019,2020
2018-19,NBA,Pascal Siakam,24,TOR,80,31.9,16.9,6.9,3.1,0.9,0.7,0.549,0.369,0.785,9.3,0.175,,mip,2018,2019
2017-18,NBA,Victor Oladipo,25,IND,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,,mip,2017,2018
2016-17,NBA,Giannis Antetokounmpo,22,MIL,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,,mip,2016,2017
2015-16,NBA,CJ McCollum,24,POR,80,34.8,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,6.0,0.104,,mip,2015,2016
2014-15,NBA,Jimmy Butler,25,CHI,65,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,,mip,2014,2015
2013-14,NBA,Goran Dragić,27,PHO,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,,mip,2013,2014
2012-13,NBA,Paul George,22,IND,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,,mip,2012,2013
2011-12,NBA,Ryan Anderson,23,ORL,61,32.2,16.1,7.7,0.9,0.8,0.4,0.439,0.393,0.877,8.9,0.219,,mip,2011,2012
2010-11,NBA,Kevin Love,22,MIN,73,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21,,mip,2010,2011
2009-10,NBA,Aaron Brooks,25,HOU,82,35.6,19.6,2.6,5.3,0.8,0.2,0.432,0.398,0.822,5.5,0.091,,mip,2009,2010
2008-09,NBA,Danny Granger,25,IND,67,36.2,25.8,5.1,2.7,1.0,1.4,0.447,0.404,0.878,8.0,0.158,,mip,2008,2009
2007-08,NBA,Hedo Türkoğlu,28,ORL,82,36.9,19.5,5.7,5.0,0.9,0.3,0.456,0.4,0.829,9.0,0.143,,mip,2007,2008
2006-07,NBA,Monta Ellis,21,GSW,77,34.3,16.5,3.2,4.1,1.7,0.3,0.475,0.273,0.763,4.0,0.072,,mip,2006,2007
2005-06,NBA,Boris Diaw,23,PHO,81,35.5,13.3,6.9,6.2,0.7,1.0,0.526,0.267,0.731,8.9,0.149,,mip,2005,2006
2004-05,NBA,Bobby Simmons,24,LAC,75,37.3,16.4,5.9,2.7,1.4,0.2,0.466,0.435,0.846,6.8,0.117,,mip,2004,2005
2003-04,NBA,Zach Randolph,22,POR,81,37.9,20.1,10.5,2.0,0.8,0.5,0.485,0.2,0.761,7.1,0.111,,mip,2003,2004
2002-03,NBA,Gilbert Arenas,21,GSW,82,35.0,18.3,4.7,6.3,1.5,0.2,0.431,0.348,0.791,6.5,0.109,,mip,2002,2003
2001-02,NBA,Jermaine O'Neal,23,IND,72,37.6,19.0,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113,,mip,2001,2002
2000-01,NBA,Tracy McGrady,21,ORL,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,,mip,2000,2001
1999-00,NBA,Jalen Rose,27,IND,80,37.2,18.2,4.8,4.0,1.1,0.6,0.471,0.393,0.827,7.3,0.118,,mip,1999,2000
1998-99,NBA,Darrell Armstrong,30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,,mip,1998,1999
1997-98,NBA,Alan Henderson,25,ATL,69,29.0,14.3,6.4,1.1,0.6,0.5,0.485,0.5,0.652,6.0,0.144,,mip,1997,1998
1996-97,NBA,Isaac Austin,27,MIA,82,22.9,9.7,5.8,1.2,0.5,0.5,0.502,0.0,0.664,4.0,0.102,,mip,1996,1997
1995-96,NBA,Gheorghe Mureșan,24,WSB,76,29.5,14.5,9.6,0.7,0.7,2.3,0.584,0.0,0.619,8.0,0.172,,mip,1995,1996
1994-95,NBA,Dana Barros,27,PHI,82,40.5,20.6,3.3,7.5,1.8,0.0,0.49,0.464,0.899,12.7,0.183,,mip,1994,1995
1993-94,NBA,Don MacLean,24,WSB,75,33.2,18.2,6.2,2.1,0.6,0.3,0.502,0.143,0.824,5.6,0.108,,mip,1993,1994
1992-93,NBA,Mahmoud Abdul-Rauf,23,DEN,81,33.5,19.2,2.8,4.2,1.0,0.1,0.45,0.355,0.935,5.1,0.091,,mip,1992,1993
1991-92,NBA,Pervis Ellison,24,WSB,66,38.0,20.0,11.2,2.9,0.9,2.7,0.539,0.333,0.728,6.9,0.131,,mip,1991,1992
