season,lg,player,age,team,g,mp,pts,trb,ast,stl,blk,fg_pct,3p_pct,ft_pct,-9999,award,season_start,season_end
2023-24,NBA,Jaylen Brown,27,BOS,5,38.6,20.8,5.4,5.0,1.6,0.8,0.44,0.235,0.733,,fmvp,2023,2024
2022-23,NBA,Nikola Jokić,27,DEN,5,41.2,30.2,14.0,7.2,0.8,1.4,0.583,0.421,0.838,,fmvp,2022,2023
2021-22,NBA,Stephen Curry,33,GSW,6,37.5,31.2,6.0,5.0,2.0,0.2,0.482,0.437,0.857,,fmvp,2021,2022
2020-21,NBA,Giannis Antetokounmpo,26,MIL,6,39.8,35.2,13.2,5.0,1.2,1.8,0.618,0.2,0.659,,fmvp,2020,2021
2019-20,NBA,LeBron James,35,LAL,6,39.3,29.8,11.8,8.5,1.2,0.5,0.591,0.417,0.667,,fmvp,2019,2020
2018-19,NBA,Kawhi Leonard,27,TOR,6,40.5,28.5,9.8,4.2,2.0,1.2,0.434,0.357,0.906,,fmvp,2018,2019
2017-18,NBA,Kevin Durant,29,GSW,4,41.3,28.8,10.8,7.5,0.8,2.3,0.526,0.409,0.963,,fmvp,2017,2018
2016-17,NBA,Kevin Durant,28,GSW,5,39.8,35.2,8.2,5.4,1.0,1.6,0.556,0.474,0.927,,fmvp,2016,2017
2015-16,NBA,LeBron James,31,CLE,7,41.7,29.7,11.3,8.9,2.6,2.3,0.494,0.371,0.721,,fmvp,2015,2016
2014-15,NBA,Andre Iguodala,31,GSW,6,37.0,16.3,5.8,4.0,1.3,0.3,0.521,0.4,0.357,,fmvp,2014,2015
2013-14,NBA,Kawhi Leonard,22,SAS,5,33.4,17.8,6.4,2.0,1.6,1.2,0.612,0.579,0.783,,fmvp,2013,2014
2012-13,NBA,LeBron James,28,MIA,7,43.0,25.3,10.9,7.0,2.3,0.9,0.447,0.353,0.795,,fmvp,2012,2013
2011-12,NBA,LeBron James,27,MIA,5,44.0,28.6,10.2,7.4,1.6,0.4,0.472,0.188,0.826,,fmvp,2011,2012
