group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,202322,John Wall,John,1610612746,LAC,32.0,8,4,4,0.5,2.3,0.0,0.3,0.0,0.0,2.1,0.1,0.1,1.0,0.0,0.0,0.4,0.0,0.9,290,278,136,188,278,247,108,174,315,441,61,120,388,204,1,294,329,361,LAC
Players,202331,Paul George,Paul,1610612746,LAC,33.0,36,18,18,0.5,2.9,0.4,0.2,0.2,0.9,1.1,0.5,0.5,2.2,0.0,0.1,0.3,0.6,4.1,42,53,384,188,205,49,141,77,77,315,131,308,262,193,301,218,58,58,LAC
Players,201569,Eric Gordon,Eric,1610612746,LAC,34.0,33,13,20,0.394,2.5,0.2,0.1,0.0,0.2,1.3,0.6,0.4,2.2,0.0,0.1,0.2,0.2,1.4,74,129,415,328,258,174,208,174,248,367,175,204,259,190,312,115,256,286,LAC
Players,1631217,Moussa Diabaté,Moussa,1610612746,LAC,21.0,2,2,0,1.0,2.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,2.6,394,326,1,1,268,247,19,174,315,1,1,1,272,3,1,359,74,160,LAC
Players,1629611,Terance Mann,Terance,1610612746,LAC,26.0,26,18,8,0.692,1.0,0.0,0.0,0.0,0.1,0.6,0.3,0.1,1.2,0.0,0.0,0.2,0.1,0.7,137,53,238,44,401,247,238,174,309,157,85,113,383,204,1,116,310,384,LAC
Players,203486,Mason Plumlee,Mason,1610612746,LAC,33.0,34,11,23,0.324,3.5,0.0,0.4,0.1,0.8,1.4,1.1,0.5,3.2,0.1,0.0,0.6,0.4,3.0,63,158,440,382,111,242,54,157,88,388,334,264,110,107,257,407,103,110,LAC
Players,202694,Marcus Morris Sr.,Marcus,1610612746,LAC,33.0,24,11,13,0.458,3.4,0.1,0.1,0.0,0.1,1.3,0.5,0.6,2.9,0.0,0.0,0.2,0.2,2.1,148,158,313,261,126,220,211,174,307,379,123,339,152,172,277,155,247,212,LAC
Players,1630538,Bones Hyland,Bones,1610612746,LAC,22.0,12,8,4,0.667,1.7,0.2,0.0,0.2,0.5,0.8,0.6,0.6,2.2,0.0,0.0,0.1,0.3,1.3,245,204,136,53,352,157,238,77,140,230,160,339,262,204,1,83,186,300,LAC
Players,1629599,Amir Coffey,Amir,1610612746,LAC,26.0,4,3,1,0.75,1.6,0.0,0.0,0.5,0.5,1.5,0.8,0.0,1.5,0.0,0.3,0.3,0.5,1.4,351,304,18,31,355,247,238,8,140,404,209,1,348,204,441,188,74,296,LAC
Players,202695,Kawhi Leonard,Kawhi,1610612746,LAC,32.0,28,16,12,0.571,3.5,0.6,0.1,0.1,1.3,1.3,0.5,0.6,2.9,0.1,0.0,0.3,0.5,5.0,118,80,300,134,116,18,219,89,21,378,131,362,157,57,272,221,74,27,LAC
Players,203496,Robert Covington,Robert,1610612746,LAC,32.0,8,3,5,0.375,1.5,0.0,0.0,0.0,0.0,1.0,1.3,0.5,1.8,0.1,0.0,0.4,0.1,1.0,290,304,166,339,373,247,238,174,315,279,366,279,324,66,1,294,276,348,LAC
Players,1626181,Norman Powell,Norman,1610612746,LAC,30.0,26,13,13,0.5,2.6,0.1,0.3,0.1,0.2,1.0,0.3,0.6,2.2,0.0,0.1,0.3,0.5,1.3,137,129,313,188,241,197,97,108,251,279,100,338,252,204,334,275,99,305,LAC
Players,201566,Russell Westbrook,Russell,1610612746,LAC,34.0,32,12,20,0.375,3.9,0.3,0.3,0.2,1.0,1.0,1.5,0.6,4.3,0.1,0.1,0.6,0.5,4.4,79,145,415,339,57,76,108,66,52,312,403,345,19,143,385,409,74,42,LAC
Players,1627826,Ivica Zubac,Ivica,1610612746,LAC,26.0,28,15,13,0.536,2.0,0.3,0.1,0.0,1.0,1.0,0.3,0.4,2.0,0.1,0.0,0.2,0.1,2.2,118,91,313,165,317,87,167,174,52,314,78,234,272,129,1,158,258,204,LAC
Players,201587,Nicolas Batum,Nicolas,1610612746,LAC,34.0,29,17,12,0.586,2.8,0.0,0.2,0.0,0.2,1.4,0.6,0.4,2.2,0.1,0.0,0.1,0.1,2.3,105,61,300,124,220,247,157,174,258,387,163,250,255,90,1,91,294,190,LAC
