group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
Players,203458,Alex Len,Alex,1610612758,SAC,30.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,425,418,18,418,445,366,325,323,142,257,174,295,247,315,275,259,250,87,333,267,361,396,361
Players,1629002,Chimezie Metu,Chimezie,1610612758,SAC,26.0,7,5,2,0.714,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,309,259,72,37,368,1,325,1,142,257,174,295,247,1,1,259,250,87,1,267,295,356,1
Players,1630558,Davion Mitchell,Davion,1610612758,SAC,24.0,31,19,12,0.613,1.5,0.455,0.545,0.625,0.125,0.375,0.125,0.0,0.125,0.5,0.2,0.8,0.5,0.5,0.286,0.714,7,11,0.636,87,40,300,107,372,272,122,102,61,129,67,295,162,117,249,67,224,26,310,49,156,195,68
Players,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,25.0,39,22,17,0.564,4.1,0.838,0.162,0.67,0.216,0.108,0.093,0.222,0.16,0.454,0.077,0.923,0.286,0.714,0.097,0.903,72,136,0.529,22,16,376,144,39,98,298,79,23,238,96,192,126,134,274,49,242,15,331,30,1,1,107
Players,1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,39,23,16,0.59,3.9,0.974,0.026,0.636,0.0,0.0,0.0,0.364,0.061,0.636,0.476,0.524,0.0,0.0,0.476,0.524,21,38,0.553,22,10,363,122,60,72,324,98,142,257,174,85,232,82,170,153,250,87,245,116,50,71,97
Players,203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,41,25,16,0.61,4.0,0.633,0.367,0.426,0.043,0.064,0.043,0.51,0.106,0.383,0.4,0.6,1.0,0.0,0.455,0.545,11,30,0.367,12,5,363,109,53,173,223,202,130,250,157,40,182,185,184,130,1,87,251,108,112,98,270
Players,1629644,KZ Okpala,KZ,1610612758,SAC,24.0,3,2,1,0.667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,368,326,18,53,437,366,325,323,142,257,174,295,247,315,275,259,250,87,333,267,361,396,361
Players,1631099,Keegan Murray,Keegan,1610612758,SAC,22.0,29,16,13,0.552,3.3,0.375,0.625,0.0,0.0,1.0,0.333,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,16,0.375,105,80,313,149,152,300,96,323,142,1,15,295,12,315,275,259,1,87,1,267,173,158,258
Players,1630556,Kessler Edwards,Kessler,1610612758,SAC,22.0,8,5,3,0.625,1.5,0.333,0.667,0.0,0.0,0.75,0.0,0.25,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,3,0.333,290,259,115,98,367,304,81,323,142,30,174,159,10,315,275,259,1,87,1,267,295,302,286
Players,1628989,Kevin Huerter,Kevin,1610612758,SAC,24.0,37,19,18,0.514,3.4,0.264,0.736,0.24,0.027,0.68,0.04,0.08,0.16,0.213,0.444,0.556,0.941,0.059,0.769,0.231,26,53,0.491,34,40,384,185,125,330,66,291,141,55,160,279,124,270,175,147,171,86,139,221,27,46,165
