season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,game_week,pf,opp_pf,wl
2023-24,1610612737,ATL,22300063,2023-10-25,ATL,CHA,1610612766,1,110,116,L
2023-24,1610612737,ATL,22300079,2023-10-27,NYK,ATL,1610612752,2,120,126,L
2023-24,1610612737,ATL,22300097,2023-10-29,ATL,MIL,1610612749,3,127,110,W
2023-24,1610612737,ATL,22300104,2023-10-30,MIN,ATL,1610612750,4,127,113,W
2023-24,1610612737,ATL,22300117,2023-11-01,WAS,ATL,1610612764,5,130,121,W
2023-24,1610612737,ATL,22300135,2023-11-04,ATL,NOP,1610612740,6,123,105,W
2023-24,1610612737,ATL,22300155,2023-11-06,ATL,OKC,1610612760,7,117,126,L
2023-24,1610612737,ATL,22300172,2023-11-09,ATL,ORL,1610612753,8,120,119,W
2023-24,1610612737,ATL,22300175,2023-11-11,MIA,ATL,1610612748,9,109,117,L
2023-24,1610612737,ATL,22300018,2023-11-14,ATL,DET,1610612765,10,126,120,W
2023-24,1610612737,ATL,22300193,2023-11-15,NYK,ATL,1610612752,11,114,116,L
2023-24,1610612737,ATL,22300029,2023-11-17,PHI,ATL,1610612755,12,116,126,L
2023-24,1610612737,ATL,22300039,2023-11-21,IND,ATL,1610612754,13,152,157,L
2023-24,1610612737,ATL,22300227,2023-11-22,BKN,ATL,1610612751,14,147,145,W
2023-24,1610612737,ATL,22300241,2023-11-25,ATL,WAS,1610612764,15,136,108,W
2023-24,1610612737,ATL,22300246,2023-11-26,ATL,BOS,1610612738,16,103,113,L
2023-24,1610612737,ATL,22300055,2023-11-28,ATL,CLE,1610612739,17,105,128,L
2023-24,1610612737,ATL,22300272,2023-11-30,ATL,SAS,1610612759,18,137,135,W
2023-24,1610612737,ATL,22300286,2023-12-02,ATL,MIL,1610612749,19,121,132,L
2023-24,1610612737,ATL,22301209,2023-12-06,BKN,ATL,1610612751,20,113,114,L
2023-24,1610612737,ATL,22301218,2023-12-08,ATL,PHI,1610612755,21,114,125,L
2023-24,1610612737,ATL,22300296,2023-12-11,DEN,ATL,1610612743,22,122,129,L
2023-24,1610612737,ATL,22300313,2023-12-13,ATL,TOR,1610612761,23,128,135,L
2023-24,1610612737,ATL,22300330,2023-12-15,ATL,TOR,1610612761,24,125,104,W
2023-24,1610612737,ATL,22300336,2023-12-16,ATL,CLE,1610612739,25,119,127,L
2023-24,1610612737,ATL,22300352,2023-12-18,DET,ATL,1610612765,26,130,124,W
2023-24,1610612737,ATL,22300371,2023-12-20,ATL,HOU,1610612745,27,134,127,W
2023-24,1610612737,ATL,22300384,2023-12-22,ATL,MIA,1610612748,28,113,122,L
2023-24,1610612737,ATL,22300393,2023-12-23,MEM,ATL,1610612763,29,119,125,L
2023-24,1610612737,ATL,22300408,2023-12-26,ATL,CHI,1610612741,30,113,118,L
2023-24,1610612737,ATL,22300431,2023-12-29,SAC,ATL,1610612758,31,110,117,L
2023-24,1610612737,ATL,22300445,2023-12-31,ATL,WAS,1610612764,32,130,126,W
2023-24,1610612737,ATL,22300467,2024-01-03,OKC,ATL,1610612760,33,141,138,W
2023-24,1610612737,ATL,22300480,2024-01-05,ATL,IND,1610612754,34,116,150,L
2023-24,1610612737,ATL,22300499,2024-01-07,ATL,ORL,1610612753,35,110,117,L
2023-24,1610612737,ATL,22300521,2024-01-10,PHI,ATL,1610612755,36,139,132,W
2023-24,1610612737,ATL,22300533,2024-01-12,IND,ATL,1610612754,37,108,126,L
2023-24,1610612737,ATL,22300543,2024-01-13,WAS,ATL,1610612764,38,99,127,L
2023-24,1610612737,ATL,22300559,2024-01-15,SAS,ATL,1610612759,39,109,99,W
2023-24,1610612737,ATL,22300570,2024-01-17,ORL,ATL,1610612753,40,106,104,W
2023-24,1610612737,ATL,22300587,2024-01-19,ATL,MIA,1610612748,41,109,108,W
2023-24,1610612737,ATL,22300595,2024-01-20,CLE,ATL,1610612739,42,95,116,L
2023-24,1610612737,ATL,22300613,2024-01-22,ATL,SAC,1610612758,43,107,122,L
2023-24,1610612737,ATL,22300626,2024-01-24,ATL,GSW,1610612744,44,112,134,L
2023-24,1610612737,ATL,22300634,2024-01-26,DAL,ATL,1610612742,45,143,148,L
2023-24,1610612737,ATL,22300653,2024-01-28,TOR,ATL,1610612761,46,126,125,W
2023-24,1610612737,ATL,22300669,2024-01-30,LAL,ATL,1610612747,47,138,122,W
2023-24,1610612737,ATL,22300690,2024-02-02,PHX,ATL,1610612756,48,129,120,W
2023-24,1610612737,ATL,22300699,2024-02-03,GSW,ATL,1610612744,49,141,134,W
2023-24,1610612737,ATL,22300716,2024-02-05,LAC,ATL,1610612746,50,144,149,L
2023-24,1610612737,ATL,22300729,2024-02-07,ATL,BOS,1610612738,51,117,125,L
2023-24,1610612737,ATL,22300742,2024-02-09,ATL,PHI,1610612755,52,127,121,W
2023-24,1610612737,ATL,22300754,2024-02-10,HOU,ATL,1610612745,53,122,113,W
2023-24,1610612737,ATL,22300763,2024-02-12,CHI,ATL,1610612741,54,126,136,L
2023-24,1610612737,ATL,22300777,2024-02-14,ATL,CHA,1610612766,55,99,122,L
2023-24,1610612737,ATL,22300804,2024-02-23,TOR,ATL,1610612761,56,121,123,L
2023-24,1610612737,ATL,22300821,2024-02-25,ORL,ATL,1610612753,57,109,92,W
2023-24,1610612737,ATL,22300835,2024-02-27,UTA,ATL,1610612762,58,124,97,W
2023-24,1610612737,ATL,22300851,2024-02-29,ATL,BKN,1610612751,59,97,124,L
2023-24,1610612737,ATL,22300866,2024-03-02,ATL,BKN,1610612751,60,102,114,L
2023-24,1610612737,ATL,22300889,2024-03-05,ATL,NYK,1610612752,61,116,100,W
2023-24,1610612737,ATL,22300895,2024-03-06,CLE,ATL,1610612739,62,112,101,W
2023-24,1610612737,ATL,22300913,2024-03-08,ATL,MEM,1610612763,63,99,92,W
2023-24,1610612737,ATL,22300925,2024-03-10,NOP,ATL,1610612740,64,103,116,L
2023-24,1610612737,ATL,22300953,2024-03-13,ATL,POR,1610612757,65,102,106,L
2023-24,1610612737,ATL,22300966,2024-03-15,ATL,UTA,1610612762,66,122,124,L
2023-24,1610612737,ATL,22300982,2024-03-17,ATL,LAC,1610612746,67,110,93,W
2023-24,1610612737,ATL,22300990,2024-03-18,ATL,LAL,1610612747,68,105,136,L
2023-24,1610612737,ATL,22301010,2024-03-21,ATL,PHX,1610612756,69,115,128,L
