season,team_id,team,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2023-24,1610612738,BOS,42300101,2024-04-21,MIA,BOS,MIA,1610612748,114,94,W,20,rnd1,1
2023-24,1610612738,BOS,42300102,2024-04-24,MIA,BOS,MIA,1610612748,101,111,L,-10,rnd1,2
2023-24,1610612738,BOS,42300103,2024-04-27,BOS,MIA,MIA,1610612748,104,84,W,20,rnd1,3
2023-24,1610612738,BOS,42300104,2024-04-29,BOS,MIA,MIA,1610612748,102,88,W,14,rnd1,4
2023-24,1610612738,BOS,42300105,2024-05-01,MIA,BOS,MIA,1610612748,118,84,W,34,rnd1,5
2023-24,1610612738,BOS,42300201,2024-05-07,CLE,BOS,CLE,1610612739,120,95,W,25,sf,1
2023-24,1610612738,BOS,42300202,2024-05-09,CLE,BOS,CLE,1610612739,94,118,L,-24,sf,2
2023-24,1610612738,BOS,42300203,2024-05-11,BOS,CLE,CLE,1610612739,106,93,W,13,sf,3
2023-24,1610612738,BOS,42300204,2024-05-13,BOS,CLE,CLE,1610612739,109,102,W,7,sf,4
2023-24,1610612738,BOS,42300205,2024-05-15,CLE,BOS,CLE,1610612739,113,98,W,15,sf,5
2023-24,1610612738,BOS,42300301,2024-05-21,IND,BOS,IND,1610612754,133,128,W,5,conf,1
2023-24,1610612738,BOS,42300302,2024-05-23,IND,BOS,IND,1610612754,126,110,W,16,conf,2
2023-24,1610612738,BOS,42300303,2024-05-25,BOS,IND,IND,1610612754,114,111,W,3,conf,3
2023-24,1610612738,BOS,42300304,2024-05-27,BOS,IND,IND,1610612754,105,102,W,3,conf,4
2023-24,1610612738,BOS,42300401,2024-06-06,DAL,BOS,DAL,1610612742,107,89,W,18,finals,1
2023-24,1610612738,BOS,42300402,2024-06-09,DAL,BOS,DAL,1610612742,105,98,W,7,finals,2
2023-24,1610612738,BOS,42300403,2024-06-12,BOS,DAL,DAL,1610612742,106,99,W,7,finals,3
2023-24,1610612738,BOS,42300404,2024-06-14,BOS,DAL,DAL,1610612742,84,122,L,-38,finals,4
2023-24,1610612738,BOS,42300405,2024-06-17,DAL,BOS,DAL,1610612742,106,88,W,18,finals,5
2023-24,1610612739,CLE,42300131,2024-04-20,ORL,CLE,ORL,1610612753,97,83,W,14,rnd1,1
2023-24,1610612739,CLE,42300132,2024-04-22,ORL,CLE,ORL,1610612753,96,86,W,10,rnd1,2
2023-24,1610612739,CLE,42300133,2024-04-25,CLE,ORL,ORL,1610612753,83,121,L,-38,rnd1,3
