TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612737,Atlanta Hawks,ATL,82,82,0.304,989,2300,0.43,0.491,0.2,709,1516,0.468,0.104,280,784,0.357
1610612756,Phoenix Suns,PHX,82,82,0.304,916,2243,0.408,0.459,0.208,690,1535,0.45,0.096,226,708,0.319
1610612751,Brooklyn Nets,BKN,82,82,0.309,955,2149,0.444,0.509,0.197,678,1369,0.495,0.112,277,780,0.355
1610612746,LA Clippers,LAC,82,82,0.295,855,2085,0.41,0.47,0.194,607,1369,0.443,0.101,248,716,0.346
1610612765,Detroit Pistons,DET,81,81,0.293,790,2059,0.384,0.44,0.187,557,1317,0.423,0.106,233,742,0.314
1610612761,Toronto Raptors,TOR,82,82,0.266,736,1991,0.37,0.425,0.169,517,1263,0.409,0.097,219,728,0.301
1610612741,Chicago Bulls,CHI,81,81,0.281,809,1971,0.41,0.449,0.212,657,1490,0.441,0.069,152,481,0.316
1610612752,New York Knicks,NYK,82,82,0.269,747,1970,0.379,0.453,0.149,456,1090,0.418,0.12,291,880,0.331
1610612749,Milwaukee Bucks,MIL,82,82,0.264,745,1954,0.381,0.464,0.138,423,1021,0.414,0.126,322,933,0.345
1610612766,Charlotte Hornets,CHA,82,82,0.261,701,1926,0.364,0.428,0.152,453,1121,0.404,0.109,248,805,0.308
1610612742,Dallas Mavericks,DAL,82,82,0.275,737,1898,0.388,0.484,0.121,374,834,0.448,0.154,363,1064,0.341
1610612748,Miami Heat,MIA,82,82,0.27,761,1889,0.403,0.477,0.154,482,1078,0.447,0.116,279,811,0.344
1610612755,Philadelphia 76ers,PHI,82,82,0.27,743,1858,0.4,0.476,0.154,461,1056,0.437,0.117,282,802,0.352
1610612757,Portland Trail Blazers,POR,81,81,0.269,705,1856,0.38,0.472,0.126,363,873,0.416,0.142,342,983,0.348
1610612739,Cleveland Cavaliers,CLE,82,82,0.26,741,1818,0.408,0.5,0.135,404,941,0.429,0.126,337,877,0.384
1610612744,Golden State Warriors,GSW,81,81,0.248,695,1809,0.384,0.484,0.115,334,842,0.397,0.133,361,967,0.373
1610612764,Washington Wizards,WAS,82,82,0.252,723,1794,0.403,0.46,0.162,517,1153,0.448,0.09,206,641,0.321
1610612754,Indiana Pacers,IND,82,82,0.239,698,1754,0.398,0.497,0.115,352,842,0.418,0.124,346,912,0.379
1610612763,Memphis Grizzlies,MEM,82,82,0.231,683,1746,0.391,0.465,0.127,424,961,0.441,0.104,259,785,0.33
1610612750,Minnesota Timberwolves,MIN,81,81,0.245,666,1731,0.385,0.47,0.123,371,868,0.427,0.122,295,863,0.342
1610612753,Orlando Magic,ORL,82,82,0.244,644,1724,0.374,0.427,0.157,461,1112,0.415,0.087,183,612,0.299
1610612747,Los Angeles Lakers,LAL,82,82,0.236,645,1718,0.375,0.427,0.157,469,1144,0.41,0.079,176,574,0.307
1610612743,Denver Nuggets,DEN,82,82,0.242,643,1718,0.374,0.451,0.141,380,1000,0.38,0.101,263,718,0.366
1610612745,Houston Rockets,HOU,82,82,0.235,627,1709,0.367,0.449,0.116,347,844,0.411,0.119,280,865,0.324
1610612738,Boston Celtics,BOS,82,82,0.233,633,1699,0.373,0.469,0.1,306,730,0.419,0.133,327,969,0.337
1610612759,San Antonio Spurs,SAS,79,79,0.226,626,1648,0.38,0.422,0.159,486,1163,0.418,0.066,140,485,0.289
1610612762,Utah Jazz,UTA,82,82,0.221,624,1631,0.383,0.47,0.107,340,788,0.431,0.114,284,843,0.337
1610612760,Oklahoma City Thunder,OKC,82,82,0.215,669,1630,0.41,0.465,0.141,490,1073,0.457,0.073,179,557,0.321
1610612758,Sacramento Kings,SAC,82,82,0.224,641,1622,0.395,0.475,0.12,381,868,0.439,0.104,260,754,0.345
1610612740,New Orleans Pelicans,NOP,82,82,0.215,616,1541,0.4,0.45,0.151,462,1083,0.427,0.064,154,458,0.336
