season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2022-23,1610612766,CHA,Charlotte Hornets,22201218,2023-04-09,CHA @ CLE,W,48.0,9.0,10.0,6.0,56.0,25.0,12.0,13.0,42.0,0,0,0,0,159,2193,1696,2181,642,2174,955,1089,468,1,2022,2023,False,CLE,CHA,APR
2022-23,1610612766,CHA,Charlotte Hornets,22201202,2023-04-07,CHA vs. HOU,L,48.0,21.0,16.0,19.0,44.0,28.0,21.0,19.0,64.0,0,0,0,0,159,545,742,459,1702,2332,2149,1897,2162,1,2022,2023,True,CHA,HOU,APR
2022-23,1610612766,CHA,Charlotte Hornets,22201176,2023-04-04,CHA vs. TOR,L,48.0,10.0,8.0,9.0,36.0,22.0,13.0,20.0,50.0,0,0,0,0,159,2086,1967,1837,2215,1917,1116,2003,1108,1,2022,2023,True,CHA,TOR,APR
2022-23,1610612766,CHA,Charlotte Hornets,22201163,2023-04-02,CHA vs. TOR,L,48.0,7.0,15.0,17.0,44.0,28.0,13.0,22.0,90.0,0,0,0,0,159,2340,883,670,1702,2332,1116,2152,2459,1,2022,2023,True,CHA,TOR,APR
2022-23,1610612766,CHA,Charlotte Hornets,22201148,2023-03-31,CHA vs. CHI,L,48.0,10.0,8.0,15.0,38.0,29.0,16.0,19.0,48.0,0,0,0,0,159,2086,1967,927,2107,2362,1579,1897,931,1,2022,2023,True,CHA,CHI,MAR
2022-23,1610612766,CHA,Charlotte Hornets,22201134,2023-03-28,CHA @ OKC,W,48.0,15.0,12.0,16.0,72.0,23.0,15.0,17.0,74.0,0,0,0,0,159,1405,1346,800,42,2017,1435,1662,2420,1,2022,2023,False,OKC,CHA,MAR
2022-23,1610612766,CHA,Charlotte Hornets,22201113,2023-03-26,CHA vs. DAL,W,48.0,10.0,19.0,14.0,48.0,9.0,4.0,2.0,26.0,0,0,0,0,159,2086,395,1066,1354,184,50,12,12,1,2022,2023,True,CHA,DAL,MAR
2022-23,1610612766,CHA,Charlotte Hornets,22201101,2023-03-24,CHA @ DAL,W,48.0,11.0,12.0,15.0,50.0,9.0,9.0,7.0,56.0,0,0,0,0,159,1977,1346,927,1168,184,495,281,1660,1,2022,2023,False,DAL,CHA,MAR
2022-23,1610612766,CHA,Charlotte Hornets,22201095,2023-03-23,CHA @ NOP,L,48.0,7.0,7.0,18.0,44.0,20.0,19.0,13.0,62.0,0,0,0,0,159,2340,2112,565,1702,1660,1975,1089,2055,1,2022,2023,False,NOP,CHA,MAR
2022-23,1610612766,CHA,Charlotte Hornets,22201071,2023-03-20,CHA vs. IND,W,48.0,35.0,15.0,22.0,50.0,8.0,16.0,12.0,50.0,0,0,0,0,159,14,883,246,1168,122,1579,927,1108,1,2022,2023,True,CHA,IND,MAR
