team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd1,opp_pts_rank,plus_minus_rank,team
1610612738,Boston Celtics,8,5,3,0.625,39.35,31.0,68.0,0.456,7.0,23.0,0.304,18.0,23.0,0.783,10.0,22.0,32.0,20.0,10.0,4.0,4.0,2.0,32.0,17.0,87.0,-14.0,2,2,10,4,2,16,16,11,16,15,9,15,13,7,15,15,15,16,1,15,16,3,16,3,16,2,BOSTON CELTICS
1610612739,Cleveland Cavaliers,10,7,3,0.7,41.42333333333333,23.0,67.0,0.343,6.0,26.0,0.231,17.0,23.0,0.739,13.0,28.0,41.0,14.0,8.0,1.0,3.0,5.0,23.0,18.0,69.0,-21.0,1,1,10,3,1,15,15,3,13,16,5,14,13,6,16,16,16,14,2,8,14,1,15,2,15,1,CLEVELAND CAVALIERS
1610612744,Golden State Warriors,7,4,3,0.571,21.94333333333333,11.0,36.0,0.306,6.0,19.0,0.316,15.0,18.0,0.833,9.0,15.0,24.0,5.0,5.0,2.0,0.0,3.0,9.0,11.0,43.0,-7.0,3,3,10,5,4,10,12,2,13,14,10,12,12,9,14,13,14,9,3,9,1,2,11,5,12,5,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,4,4,0,1.0,12.866666666666667,5.0,21.0,0.238,2.0,7.0,0.286,8.0,9.0,0.889,5.0,10.0,15.0,2.0,5.0,0.0,2.0,1.0,5.0,4.0,20.0,-8.0,7,3,1,1,8,4,7,1,6,7,8,8,7,10,10,9,10,4,3,1,12,7,7,10,5,4,HOUSTON ROCKETS
1610612754,Indiana Pacers,5,1,4,0.2,13.013333333333334,10.0,22.0,0.455,5.0,14.0,0.357,12.0,17.0,0.706,1.0,10.0,11.0,5.0,2.0,2.0,3.0,0.0,5.0,9.0,37.0,21.0,4,9,15,13,7,8,8,10,12,13,12,11,11,5,3,9,7,9,8,9,14,13,7,7,10,16,INDIANA PACERS
1610612748,Miami Heat,2,1,1,0.5,4.983333333333333,4.0,11.0,0.364,0.0,2.0,0.0,5.0,5.0,1.0,4.0,3.0,7.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,13.0,3.0,14,9,2,6,14,3,3,5,1,2,1,5,5,12,7,3,4,2,8,1,4,13,4,12,3,10,MIAMI HEAT
1610612749,Milwaukee Bucks,4,2,2,0.5,16.2,12.0,24.0,0.5,4.0,8.0,0.5,21.0,26.0,0.808,4.0,12.0,16.0,6.0,5.0,0.0,1.0,2.0,9.0,19.0,49.0,6.0,7,6,6,6,6,12,10,14,10,8,13,16,16,8,7,11,11,11,3,1,4,3,11,1,13,12,MILWAUKEE BUCKS
1610612750,Minnesota Timberwolves,1,0,1,0.0,2.083333333333333,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,3.0,16,15,2,15,16,1,1,14,3,2,13,1,1,12,1,2,2,1,12,1,4,13,1,16,2,10,MINNESOTA TIMBERWOLVES
1610612740,New Orleans Pelicans,4,3,1,0.75,11.111666666666666,8.0,17.0,0.471,3.0,6.0,0.5,5.0,5.0,1.0,3.0,6.0,9.0,2.0,3.0,2.0,1.0,1.0,10.0,3.0,24.0,-12.0,7,5,2,2,10,7,6,12,8,5,13,5,5,12,6,6,5,4,6,9,4,7,14,12,7,3,NEW ORLEANS PELICANS
1610612760,Oklahoma City Thunder,3,1,2,0.333,9.881666666666666,6.0,14.0,0.429,1.0,6.0,0.167,9.0,10.0,0.9,1.0,8.0,9.0,3.0,1.0,0.0,1.0,1.0,4.0,7.0,22.0,2.0,11,9,6,11,12,6,5,8,3,5,3,10,8,11,3,7,5,6,12,1,4,7,6,8,6,9,OKLAHOMA CITY THUNDER
1610612755,Philadelphia 76ers,5,1,4,0.2,24.3,21.0,41.0,0.512,2.0,9.0,0.222,16.0,25.0,0.64,7.0,13.0,20.0,15.0,2.0,8.0,1.0,2.0,7.0,14.0,60.0,8.0,4,9,15,13,3,14,14,16,6,9,4,13,15,2,13,12,12,15,8,16,4,3,9,4,14,13,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,3,0,3,0.0,10.995,11.0,23.0,0.478,6.0,11.0,0.545,8.0,12.0,0.667,6.0,5.0,11.0,6.0,2.0,2.0,1.0,1.0,3.0,10.0,36.0,12.0,11,15,10,15,11,10,9,13,13,10,16,8,10,3,11,5,7,11,8,9,4,7,4,6,9,15,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,2,1,1,0.5,2.35,2.0,5.0,0.4,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,-3.0,14,9,2,6,15,1,2,6,1,1,1,1,4,3,1,1,1,2,15,1,1,13,2,14,1,6,SAN ANTONIO SPURS
1610612761,Toronto Raptors,5,2,3,0.4,20.54833333333333,16.0,36.0,0.444,4.0,12.0,0.333,6.0,11.0,0.545,4.0,16.0,20.0,7.0,3.0,2.0,2.0,2.0,9.0,7.0,42.0,9.0,4,6,10,10,5,13,12,9,10,11,11,7,9,1,7,14,12,13,6,9,12,3,11,8,11,14,TORONTO RAPTORS
1610612762,Utah Jazz,4,2,2,0.5,11.665,10.0,29.0,0.345,3.0,13.0,0.231,2.0,2.0,1.0,6.0,8.0,14.0,4.0,0.0,2.0,1.0,1.0,7.0,4.0,25.0,0.0,7,6,6,6,9,8,11,4,8,12,5,1,1,12,11,7,9,7,15,9,4,7,9,10,8,7,UTAH JAZZ
1610612764,Washington Wizards,3,1,2,0.333,6.448333333333333,5.0,12.0,0.417,1.0,4.0,0.25,2.0,2.0,1.0,2.0,4.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,13.0,1.0,11,9,6,11,13,4,4,7,3,4,7,1,1,12,5,4,3,7,12,1,1,7,2,14,3,8,WASHINGTON WIZARDS
