season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season,season_start,season_end
42024,1610612763,MEM,Memphis Grizzlies,Isolation,Defensive,0.4,4,0.068,0.938,0.4,0.125,0.094,0.125,0.0,0.438,0.42,32,30,10,25,15,2024-25,2024,2025
42024,1610612748,MIA,Miami Heat,Isolation,Defensive,0.0,4,0.075,1.129,0.519,0.032,0.097,0.032,0.0,0.484,0.63,31,35,14,27,13,2024-25,2024,2025
42024,1610612749,MIL,Milwaukee Bucks,Isolation,Defensive,0.133,5,0.084,1.022,0.5,0.133,0.111,0.133,0.0,0.489,0.544,45,46,17,34,17,2024-25,2024,2025
42024,1610612745,HOU,Houston Rockets,Isolation,Defensive,0.267,7,0.08,0.983,0.429,0.085,0.085,0.085,0.0,0.441,0.49,59,58,21,49,28,2024-25,2024,2025
42024,1610612765,DET,Detroit Pistons,Isolation,Defensive,0.6,6,0.108,0.901,0.439,0.099,0.099,0.07,0.0,0.451,0.456,71,64,25,57,32,2024-25,2024,2025
42024,1610612746,LAC,LA Clippers,Isolation,Defensive,0.2,7,0.093,0.986,0.5,0.114,0.143,0.114,0.029,0.471,0.537,70,69,27,54,27,2024-25,2024,2025
42024,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.933,5,0.162,0.805,0.333,0.103,0.034,0.092,0.0,0.391,0.36,87,70,25,75,50,2024-25,2024,2025
42024,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.867,9,0.093,0.82,0.418,0.135,0.135,0.112,0.022,0.416,0.448,89,73,28,67,39,2024-25,2024,2025
42024,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.333,5,0.167,0.976,0.38,0.143,0.036,0.107,0.024,0.44,0.408,84,82,27,71,44,2024-25,2024,2025
42024,1610612738,BOS,Boston Celtics,Isolation,Defensive,0.733,11,0.089,0.838,0.388,0.105,0.095,0.105,0.01,0.4,0.418,105,88,33,85,52,2024-25,2024,2025
42024,1610612744,GSW,Golden State Warriors,Isolation,Defensive,0.533,12,0.089,0.904,0.44,0.113,0.113,0.096,0.017,0.443,0.467,115,104,40,91,51,2024-25,2024,2025
42024,1610612752,NYK,New York Knicks,Isolation,Defensive,0.8,18,0.07,0.825,0.345,0.153,0.051,0.139,0.029,0.401,0.381,137,113,39,113,74,2024-25,2024,2025
42024,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,1.0,23,0.061,0.786,0.365,0.132,0.157,0.101,0.013,0.384,0.404,159,125,42,115,73,2024-25,2024,2025
42024,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.667,14,0.097,0.873,0.369,0.14,0.073,0.14,0.027,0.407,0.402,150,131,45,122,77,2024-25,2024,2025
42024,1610612750,MIN,Minnesota Timberwolves,Isolation,Defensive,0.467,15,0.099,0.912,0.365,0.151,0.069,0.151,0.013,0.428,0.417,159,145,46,126,80,2024-25,2024,2025
42024,1610612754,IND,Indiana Pacers,Isolation,Defensive,0.067,23,0.089,1.125,0.492,0.19,0.082,0.168,0.034,0.53,0.545,232,261,87,177,90,2024-25,2024,2025
