season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,game_week,pf,opp_pf,wl,differential
2017-18,1610612737,ATL,21700009,2017-10-18,ATL,DAL,1610612742,1,117,111,W,6
2017-18,1610612737,ATL,21700017,2017-10-20,ATL,CHA,1610612766,2,91,109,L,-18
2017-18,1610612737,ATL,21700038,2017-10-22,ATL,BKN,1610612751,3,104,116,L,-12
2017-18,1610612737,ATL,21700042,2017-10-23,ATL,MIA,1610612748,4,93,104,L,-11
2017-18,1610612737,ATL,21700065,2017-10-26,ATL,CHI,1610612741,5,86,91,L,-5
2017-18,1610612737,ATL,21700072,2017-10-27,DEN,ATL,1610612743,6,100,105,L,-5
2017-18,1610612737,ATL,21700085,2017-10-29,MIL,ATL,1610612749,7,106,117,L,-11
2017-18,1610612737,ATL,21700107,2017-11-01,ATL,PHI,1610612755,8,109,119,L,-10
2017-18,1610612737,ATL,21700123,2017-11-03,HOU,ATL,1610612745,9,104,119,L,-15
2017-18,1610612737,ATL,21700136,2017-11-05,ATL,CLE,1610612739,10,117,115,W,2
2017-18,1610612737,ATL,21700146,2017-11-06,BOS,ATL,1610612738,11,107,110,L,-3
2017-18,1610612737,ATL,21700169,2017-11-10,ATL,DET,1610612765,12,104,111,L,-7
2017-18,1610612737,ATL,21700177,2017-11-11,ATL,WAS,1610612764,13,94,113,L,-19
2017-18,1610612737,ATL,21700195,2017-11-13,ATL,NOP,1610612740,14,105,106,L,-1
2017-18,1610612737,ATL,21700204,2017-11-15,SAC,ATL,1610612758,15,126,80,W,46
2017-18,1610612737,ATL,21700230,2017-11-18,BOS,ATL,1610612738,16,99,110,L,-11
2017-18,1610612737,ATL,21700250,2017-11-20,ATL,SAS,1610612759,17,85,96,L,-11
2017-18,1610612737,ATL,21700256,2017-11-22,LAC,ATL,1610612746,18,103,116,L,-13
2017-18,1610612737,ATL,21700268,2017-11-24,NYK,ATL,1610612752,19,116,104,W,12
2017-18,1610612737,ATL,21700280,2017-11-25,TOR,ATL,1610612761,20,78,112,L,-34
2017-18,1610612737,ATL,21700313,2017-11-30,CLE,ATL,1610612739,21,114,121,L,-7
2017-18,1610612737,ATL,21700328,2017-12-02,ATL,BKN,1610612751,22,114,102,W,12
2017-18,1610612737,ATL,21700342,2017-12-04,BKN,ATL,1610612751,23,90,110,L,-20
2017-18,1610612737,ATL,21700355,2017-12-06,ATL,ORL,1610612753,24,106,110,L,-4
2017-18,1610612737,ATL,21700378,2017-12-09,ORL,ATL,1610612753,25,117,110,W,7
2017-18,1610612737,ATL,21700390,2017-12-10,ATL,NYK,1610612752,26,107,111,L,-4
2017-18,1610612737,ATL,21700397,2017-12-12,ATL,CLE,1610612739,27,114,123,L,-9
2017-18,1610612737,ATL,21700413,2017-12-14,DET,ATL,1610612765,28,91,105,L,-14
2017-18,1610612737,ATL,21700425,2017-12-15,ATL,MEM,1610612763,29,94,96,L,-2
2017-18,1610612737,ATL,21700443,2017-12-18,MIA,ATL,1610612748,30,110,104,W,6
2017-18,1610612737,ATL,21700455,2017-12-20,IND,ATL,1610612754,31,95,105,L,-10
2017-18,1610612737,ATL,21700477,2017-12-22,ATL,OKC,1610612760,32,117,120,L,-3
2017-18,1610612737,ATL,21700484,2017-12-23,DAL,ATL,1610612742,33,112,107,W,5
2017-18,1610612737,ATL,21700508,2017-12-27,WAS,ATL,1610612764,34,113,99,W,14
2017-18,1610612737,ATL,21700522,2017-12-29,ATL,TOR,1610612761,35,98,111,L,-13
2017-18,1610612737,ATL,21700533,2017-12-30,POR,ATL,1610612757,36,104,89,W,15
2017-18,1610612737,ATL,21700551,2018-01-02,ATL,PHX,1610612756,37,103,104,L,-1
2017-18,1610612737,ATL,21700576,2018-01-05,ATL,POR,1610612757,38,89,110,L,-21
2017-18,1610612737,ATL,21700590,2018-01-07,ATL,LAL,1610612747,39,113,132,L,-19
2017-18,1610612737,ATL,21700598,2018-01-08,ATL,LAC,1610612746,40,107,108,L,-1
2017-18,1610612737,ATL,21700612,2018-01-10,ATL,DEN,1610612743,41,110,97,W,13
2017-18,1610612737,ATL,21700621,2018-01-12,BKN,ATL,1610612751,42,105,110,L,-5
2017-18,1610612737,ATL,21700641,2018-01-15,SAS,ATL,1610612759,43,102,99,W,3
2017-18,1610612737,ATL,21700654,2018-01-17,NOP,ATL,1610612740,44,94,93,W,1
2017-18,1610612737,ATL,21700675,2018-01-20,CHI,ATL,1610612741,45,97,113,L,-16
2017-18,1610612737,ATL,21700688,2018-01-22,UTA,ATL,1610612762,46,104,90,W,14
2017-18,1610612737,ATL,21700705,2018-01-24,TOR,ATL,1610612761,47,93,108,L,-15
2017-18,1610612737,ATL,21700714,2018-01-26,ATL,CHA,1610612766,48,110,121,L,-11
2017-18,1610612737,ATL,21700726,2018-01-27,WAS,ATL,1610612764,49,104,129,L,-25
2017-18,1610612737,ATL,21700739,2018-01-29,MIN,ATL,1610612750,50,105,100,W,5
2017-18,1610612737,ATL,21700755,2018-01-31,CHA,ATL,1610612766,51,110,123,L,-13
2017-18,1610612737,ATL,21700767,2018-02-02,ATL,BOS,1610612738,52,110,119,L,-9
2017-18,1610612737,ATL,21700786,2018-02-04,ATL,NYK,1610612752,53,99,96,W,3
2017-18,1610612737,ATL,21700799,2018-02-06,MEM,ATL,1610612763,54,108,82,W,26
2017-18,1610612737,ATL,21700811,2018-02-08,ATL,ORL,1610612753,55,98,100,L,-2
2017-18,1610612737,ATL,21700819,2018-02-09,CLE,ATL,1610612739,56,107,123,L,-16
2017-18,1610612737,ATL,21700834,2018-02-11,DET,ATL,1610612765,57,118,115,W,3
2017-18,1610612737,ATL,21700848,2018-02-13,ATL,MIL,1610612749,58,92,97,L,-5
2017-18,1610612737,ATL,21700853,2018-02-14,ATL,DET,1610612765,59,98,104,L,-6
2017-18,1610612737,ATL,21700874,2018-02-23,ATL,IND,1610612754,60,93,116,L,-23
2017-18,1610612737,ATL,21700897,2018-02-26,LAL,ATL,1610612747,61,104,123,L,-19
2017-18,1610612737,ATL,21700915,2018-02-28,IND,ATL,1610612754,62,107,102,W,5
2017-18,1610612737,ATL,21700928,2018-03-02,GSW,ATL,1610612744,63,109,114,L,-5
2017-18,1610612737,ATL,21700943,2018-03-04,PHX,ATL,1610612756,64,113,112,W,1
2017-18,1610612737,ATL,21700958,2018-03-06,ATL,TOR,1610612761,65,90,106,L,-16
2017-18,1610612737,ATL,21700978,2018-03-09,ATL,IND,1610612754,66,87,112,L,-25
2017-18,1610612737,ATL,21700993,2018-03-11,CHI,ATL,1610612741,67,122,129,L,-7
2017-18,1610612737,ATL,21701007,2018-03-13,OKC,ATL,1610612760,68,107,119,L,-12
2017-18,1610612737,ATL,21701021,2018-03-15,CHA,ATL,1610612766,69,117,129,L,-12
2017-18,1610612737,ATL,21701041,2018-03-17,ATL,MIL,1610612749,70,117,122,L,-5
2017-18,1610612737,ATL,21701062,2018-03-20,ATL,UTA,1610612762,71,99,94,W,5
2017-18,1610612737,ATL,21701077,2018-03-22,ATL,SAC,1610612758,72,90,105,L,-15
2017-18,1610612737,ATL,21701087,2018-03-23,ATL,GSW,1610612744,73,94,106,L,-12
2017-18,1610612737,ATL,21701101,2018-03-25,ATL,HOU,1610612745,74,99,118,L,-19
2017-18,1610612737,ATL,21701120,2018-03-28,ATL,MIN,1610612750,75,114,126,L,-12
2017-18,1610612737,ATL,21701130,2018-03-30,PHI,ATL,1610612755,76,91,101,L,-10
2017-18,1610612737,ATL,21701147,2018-04-01,ORL,ATL,1610612753,77,94,88,W,6
2017-18,1610612737,ATL,21701158,2018-04-03,ATL,MIA,1610612748,78,98,101,L,-3
2017-18,1610612737,ATL,21701172,2018-04-04,MIA,ATL,1610612748,79,86,115,L,-29
2017-18,1610612737,ATL,21701184,2018-04-06,ATL,WAS,1610612764,80,103,97,W,6
2017-18,1610612737,ATL,21701202,2018-04-08,ATL,BOS,1610612738,81,112,106,W,6
2017-18,1610612737,ATL,21701214,2018-04-10,PHI,ATL,1610612755,82,113,121,L,-8
2017-18,1610612751,BKN,21700004,2017-10-18,BKN,IND,1610612754,1,131,140,L,-9
2017-18,1610612751,BKN,21700022,2017-10-20,ORL,BKN,1610612753,2,126,121,W,5
2017-18,1610612751,BKN,21700038,2017-10-22,ATL,BKN,1610612737,3,116,104,W,12
2017-18,1610612751,BKN,21700050,2017-10-24,BKN,ORL,1610612753,4,121,125,L,-4
2017-18,1610612751,BKN,21700058,2017-10-25,CLE,BKN,1610612739,5,112,107,W,5
2017-18,1610612751,BKN,21700073,2017-10-27,BKN,NYK,1610612752,6,86,107,L,-21
2017-18,1610612751,BKN,21700087,2017-10-29,DEN,BKN,1610612743,7,111,124,L,-13
2017-18,1610612751,BKN,21700102,2017-10-31,PHX,BKN,1610612756,8,114,122,L,-8
2017-18,1610612751,BKN,21700130,2017-11-03,BKN,LAL,1610612747,9,112,124,L,-12
2017-18,1610612751,BKN,21700147,2017-11-06,BKN,PHX,1610612756,10,98,92,W,6
2017-18,1610612751,BKN,21700155,2017-11-07,BKN,DEN,1610612743,11,104,112,L,-8
2017-18,1610612751,BKN,21700176,2017-11-10,BKN,POR,1610612757,12,101,97,W,4
2017-18,1610612751,BKN,21700187,2017-11-11,BKN,UTA,1610612762,13,106,114,L,-8
2017-18,1610612751,BKN,21700201,2017-11-14,BOS,BKN,1610612738,14,102,109,L,-7
2017-18,1610612751,BKN,21700219,2017-11-17,UTA,BKN,1610612762,15,118,107,W,11
2017-18,1610612751,BKN,21700236,2017-11-19,GSW,BKN,1610612744,16,111,118,L,-7
2017-18,1610612751,BKN,21700254,2017-11-22,BKN,CLE,1610612739,17,109,119,L,-10
2017-18,1610612751,BKN,21700267,2017-11-24,POR,BKN,1610612757,18,125,127,L,-2
2017-18,1610612751,BKN,21700289,2017-11-26,BKN,MEM,1610612763,19,98,88,W,10
2017-18,1610612751,BKN,21700294,2017-11-27,BKN,HOU,1610612745,20,103,117,L,-14
2017-18,1610612751,BKN,21700310,2017-11-29,BKN,DAL,1610612742,21,109,104,W,5
2017-18,1610612751,BKN,21700328,2017-12-02,ATL,BKN,1610612737,22,102,114,L,-12
2017-18,1610612751,BKN,21700342,2017-12-04,BKN,ATL,1610612737,23,110,90,W,20
2017-18,1610612751,BKN,21700365,2017-12-07,OKC,BKN,1610612760,24,100,95,W,5
2017-18,1610612751,BKN,21700376,2017-12-09,MIA,BKN,1610612748,25,89,101,L,-12
2017-18,1610612751,BKN,21700400,2017-12-12,WAS,BKN,1610612764,26,103,98,W,5
2017-18,1610612751,BKN,21700414,2017-12-14,NYK,BKN,1610612752,27,104,111,L,-7
2017-18,1610612751,BKN,21700424,2017-12-15,BKN,TOR,1610612761,28,87,120,L,-33
2017-18,1610612751,BKN,21700439,2017-12-17,IND,BKN,1610612754,29,97,109,L,-12
2017-18,1610612751,BKN,21700457,2017-12-20,SAC,BKN,1610612758,30,99,104,L,-5
2017-18,1610612751,BKN,21700473,2017-12-22,WAS,BKN,1610612764,31,119,84,W,35
2017-18,1610612751,BKN,21700482,2017-12-23,BKN,IND,1610612754,32,119,123,L,-4
2017-18,1610612751,BKN,21700502,2017-12-26,BKN,SAS,1610612759,33,97,109,L,-12
2017-18,1610612751,BKN,21700511,2017-12-27,BKN,NOP,1610612740,34,113,128,L,-15
2017-18,1610612751,BKN,21700523,2017-12-29,BKN,MIA,1610612748,35,111,87,W,24
2017-18,1610612751,BKN,21700539,2017-12-31,BKN,BOS,1610612738,36,105,108,L,-3
2017-18,1610612751,BKN,21700545,2018-01-01,ORL,BKN,1610612753,37,98,95,W,3
2017-18,1610612751,BKN,21700557,2018-01-03,MIN,BKN,1610612750,38,98,97,W,1
2017-18,1610612751,BKN,21700579,2018-01-06,BOS,BKN,1610612738,39,85,87,L,-2
2017-18,1610612751,BKN,21700592,2018-01-08,TOR,BKN,1610612761,40,113,114,L,-1
2017-18,1610612751,BKN,21700606,2018-01-10,DET,BKN,1610612765,41,80,114,L,-34
2017-18,1610612751,BKN,21700621,2018-01-12,BKN,ATL,1610612737,42,110,105,W,5
2017-18,1610612751,BKN,21700630,2018-01-13,BKN,WAS,1610612764,43,113,119,L,-6
2017-18,1610612751,BKN,21700642,2018-01-15,NYK,BKN,1610612752,44,104,119,L,-15
2017-18,1610612751,BKN,21700655,2018-01-17,SAS,BKN,1610612759,45,95,100,L,-5
2017-18,1610612751,BKN,21700668,2018-01-19,MIA,BKN,1610612748,46,101,95,W,6
2017-18,1610612751,BKN,21700685,2018-01-21,BKN,DET,1610612765,47,101,100,W,1
2017-18,1610612751,BKN,21700697,2018-01-23,BKN,OKC,1610612760,48,108,109,L,-1
2017-18,1610612751,BKN,21700719,2018-01-26,BKN,MIL,1610612749,49,91,116,L,-25
2017-18,1610612751,BKN,21700729,2018-01-27,BKN,MIN,1610612750,50,97,111,L,-14
2017-18,1610612751,BKN,21700745,2018-01-30,BKN,NYK,1610612752,51,95,111,L,-16
2017-18,1610612751,BKN,21700756,2018-01-31,PHI,BKN,1610612755,52,116,108,W,8
2017-18,1610612751,BKN,21700768,2018-02-02,LAL,BKN,1610612747,53,99,102,L,-3
2017-18,1610612751,BKN,21700785,2018-02-04,MIL,BKN,1610612749,54,94,109,L,-15
2017-18,1610612751,BKN,21700800,2018-02-06,HOU,BKN,1610612745,55,113,123,L,-10
2017-18,1610612751,BKN,21700805,2018-02-07,BKN,DET,1610612765,56,106,115,L,-9
2017-18,1610612751,BKN,21700826,2018-02-10,NOP,BKN,1610612740,57,128,138,L,-10
2017-18,1610612751,BKN,21700843,2018-02-12,LAC,BKN,1610612746,58,101,114,L,-13
2017-18,1610612751,BKN,21700856,2018-02-14,IND,BKN,1610612754,59,103,108,L,-5
2017-18,1610612751,BKN,21700867,2018-02-22,BKN,CHA,1610612766,60,96,111,L,-15
2017-18,1610612751,BKN,21700899,2018-02-26,CHI,BKN,1610612741,61,104,87,W,17
2017-18,1610612751,BKN,21700908,2018-02-27,BKN,CLE,1610612739,62,123,129,L,-6
2017-18,1610612751,BKN,21700924,2018-03-01,BKN,SAC,1610612758,63,111,116,L,-5
2017-18,1610612751,BKN,21700948,2018-03-04,BKN,LAC,1610612746,64,120,123,L,-3
2017-18,1610612751,BKN,21700963,2018-03-06,BKN,GSW,1610612744,65,101,114,L,-13
2017-18,1610612751,BKN,21700972,2018-03-08,BKN,CHA,1610612766,66,125,111,W,14
2017-18,1610612751,BKN,21700999,2018-03-11,PHI,BKN,1610612755,67,97,120,L,-23
2017-18,1610612751,BKN,21701008,2018-03-13,TOR,BKN,1610612761,68,102,116,L,-14
2017-18,1610612751,BKN,21701030,2018-03-16,BKN,PHI,1610612755,69,116,120,L,-4
2017-18,1610612751,BKN,21701037,2018-03-17,DAL,BKN,1610612742,70,114,106,W,8
2017-18,1610612751,BKN,21701053,2018-03-19,MEM,BKN,1610612763,71,118,115,W,3
2017-18,1610612751,BKN,21701067,2018-03-21,CHA,BKN,1610612766,72,105,111,L,-6
2017-18,1610612751,BKN,21701082,2018-03-23,BKN,TOR,1610612761,73,112,116,L,-4
2017-18,1610612751,BKN,21701094,2018-03-25,CLE,BKN,1610612739,74,114,121,L,-7
2017-18,1610612751,BKN,21701117,2018-03-28,BKN,ORL,1610612753,75,111,104,W,7
2017-18,1610612751,BKN,21701141,2018-03-31,BKN,MIA,1610612748,76,110,109,W,1
2017-18,1610612751,BKN,21701148,2018-04-01,DET,BKN,1610612765,77,96,108,L,-12
2017-18,1610612751,BKN,21701157,2018-04-03,BKN,PHI,1610612755,78,95,121,L,-26
2017-18,1610612751,BKN,21701178,2018-04-05,BKN,MIL,1610612749,79,119,111,W,8
2017-18,1610612751,BKN,21701193,2018-04-07,BKN,CHI,1610612741,80,124,96,W,28
2017-18,1610612751,BKN,21701205,2018-04-09,CHI,BKN,1610612741,81,114,105,W,9
2017-18,1610612751,BKN,21701219,2018-04-11,BKN,BOS,1610612738,82,97,110,L,-13
2017-18,1610612738,BOS,21700001,2017-10-17,BOS,CLE,1610612739,1,99,102,L,-3
2017-18,1610612738,BOS,21700007,2017-10-18,MIL,BOS,1610612749,2,100,108,L,-8
2017-18,1610612738,BOS,21700019,2017-10-20,BOS,PHI,1610612755,3,102,92,W,10
2017-18,1610612738,BOS,21700051,2017-10-24,NYK,BOS,1610612752,4,110,89,W,21
2017-18,1610612738,BOS,21700067,2017-10-26,BOS,MIL,1610612749,5,96,89,W,7
2017-18,1610612738,BOS,21700078,2017-10-28,BOS,MIA,1610612748,6,96,90,W,6
2017-18,1610612738,BOS,21700092,2017-10-30,SAS,BOS,1610612759,7,108,94,W,14
2017-18,1610612738,BOS,21700109,2017-11-01,SAC,BOS,1610612758,8,113,86,W,27
2017-18,1610612738,BOS,21700129,2017-11-03,BOS,OKC,1610612760,9,101,94,W,7
2017-18,1610612738,BOS,21700138,2017-11-05,BOS,ORL,1610612753,10,104,88,W,16
2017-18,1610612738,BOS,21700146,2017-11-06,BOS,ATL,1610612737,11,110,107,W,3
2017-18,1610612738,BOS,21700161,2017-11-08,LAL,BOS,1610612747,12,107,96,W,11
2017-18,1610612738,BOS,21700170,2017-11-10,CHA,BOS,1610612766,13,90,87,W,3
2017-18,1610612738,BOS,21700188,2017-11-12,TOR,BOS,1610612761,14,95,94,W,1
2017-18,1610612738,BOS,21700201,2017-11-14,BOS,BKN,1610612751,15,109,102,W,7
2017-18,1610612738,BOS,21700215,2017-11-16,GSW,BOS,1610612744,16,92,88,W,4
2017-18,1610612738,BOS,21700230,2017-11-18,BOS,ATL,1610612737,17,110,99,W,11
2017-18,1610612738,BOS,21700249,2017-11-20,BOS,DAL,1610612742,18,110,102,W,8
2017-18,1610612738,BOS,21700257,2017-11-22,BOS,MIA,1610612748,19,98,104,L,-6
2017-18,1610612738,BOS,21700269,2017-11-24,ORL,BOS,1610612753,20,118,103,W,15
2017-18,1610612738,BOS,21700281,2017-11-25,BOS,IND,1610612754,21,108,98,W,10
2017-18,1610612738,BOS,21700292,2017-11-27,DET,BOS,1610612765,22,108,118,L,-10
2017-18,1610612738,BOS,21700314,2017-11-30,PHI,BOS,1610612755,23,108,97,W,11
2017-18,1610612738,BOS,21700326,2017-12-02,PHX,BOS,1610612756,24,116,111,W,5
2017-18,1610612738,BOS,21700343,2017-12-04,MIL,BOS,1610612749,25,111,100,W,11
2017-18,1610612738,BOS,21700356,2017-12-06,DAL,BOS,1610612742,26,97,90,W,7
2017-18,1610612738,BOS,21700374,2017-12-08,BOS,SAS,1610612759,27,102,105,L,-3
2017-18,1610612738,BOS,21700386,2017-12-10,BOS,DET,1610612765,28,91,81,W,10
