season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2015-16,1610612759,41500151,2016-04-17,MEM,SAS,1610612763,106,74,W,rnd1,1
2015-16,1610612759,41500152,2016-04-19,MEM,SAS,1610612763,94,68,W,rnd1,2
2015-16,1610612759,41500153,2016-04-22,SAS,MEM,1610612763,96,87,W,rnd1,3
2015-16,1610612759,41500154,2016-04-24,SAS,MEM,1610612763,116,95,W,rnd1,4
2015-16,1610612759,41500231,2016-04-30,OKC,SAS,1610612760,124,92,W,sf,1
2015-16,1610612759,41500232,2016-05-02,OKC,SAS,1610612760,97,98,L,sf,2
2015-16,1610612759,41500233,2016-05-06,SAS,OKC,1610612760,100,96,W,sf,3
2015-16,1610612759,41500234,2016-05-08,SAS,OKC,1610612760,97,111,L,sf,4
2015-16,1610612759,41500235,2016-05-10,OKC,SAS,1610612760,91,95,L,sf,5
2015-16,1610612759,41500236,2016-05-12,SAS,OKC,1610612760,99,113,L,sf,6
